data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,6.01,Caixa Líquido das Atividades Operacionais,1746553.0
2022-03-31,T1,6.01.01,Caixa Gerado pelas Operações,459075.0
2022-03-31,T1,6.01.01.01,Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro,-19040.0
2022-03-31,T1,6.01.01.02,Ajustes ao Lucro ou Prejuízo,478115.0
2022-03-31,T1,6.01.02,Variações nos Ativos e Passivos,1287478.0
2022-03-31,T1,6.01.03,Outros,0.0
2022-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-64287.0
2022-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-187078.0
2022-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,-88.0
2022-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,1495100.0
2022-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,656307.0
2022-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,2151407.0
2022-06-30,T2,6.01,Caixa Líquido das Atividades Operacionais,2898235.0
2022-06-30,T2,6.01.01,Caixa Gerado pelas Operações,769984.0
2022-06-30,T2,6.01.01.01,Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro,56859.0
2022-06-30,T2,6.01.01.02,Ajustes ao Lucro ou Prejuízo,713125.0
2022-06-30,T2,6.01.02,Variações nos Ativos e Passivos,2128251.0
2022-06-30,T2,6.01.03,Outros,0.0
2022-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-117965.0
2022-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,142182.0
2022-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,-3804.0
2022-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,2918648.0
2022-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,656307.0
2022-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,3574955.0
2022-09-30,T3,6.01,Caixa Líquido das Atividades Operacionais,524117.0
2022-09-30,T3,6.01.01,Caixa Gerado pelas Operações,1129868.0
2022-09-30,T3,6.01.01.01,Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro,-183021.0
2022-09-30,T3,6.01.01.02,Ajustes ao Lucro ou Prejuízo,1312889.0
2022-09-30,T3,6.01.02,Variações nos Ativos e Passivos,-605751.0
2022-09-30,T3,6.01.03,Outros,0.0
2022-09-30,T3,6.02,Caixa Líquido Atividades de Investimento,-201364.0
2022-09-30,T3,6.03,Caixa Líquido Atividades de Financiamento,836545.0
2022-09-30,T3,6.04,Variação Cambial s/ Caixa e Equivalentes,-7153.0
2022-09-30,T3,6.05,Aumento (Redução) de Caixa e Equivalentes,1152145.0
2022-09-30,T3,6.05.01,Saldo Inicial de Caixa e Equivalentes,656307.0
2022-09-30,T3,6.05.02,Saldo Final de Caixa e Equivalentes,1808452.0
2025-03-31,T1,6.01,Caixa Líquido das Atividades Operacionais,-2473306.0
2025-03-31,T1,6.01.01,Caixa Gerado pelas Operações,762255.0
2025-03-31,T1,6.01.01.01,Lucro ou Prejuízo Líquido antes dos Tributos sobre o Lucro,340918.0
2025-03-31,T1,6.01.01.02,Ajustes ao Lucro ou Prejuízo,421337.0
2025-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-3235561.0
2025-03-31,T1,6.01.03,Outros,0.0
2025-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-93859.0
2025-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,804171.0
2025-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,1289.0
2025-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-1761705.0
2025-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,2029253.0
2025-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,267548.0
