cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1
3.01,Receitas da Intermediação Financeira,2742848.0,2929559.0,2748523.0,3012804.0,3101881.0,3373121.0,3456125.0,1349016.0,1557893.0,1614713.0,1605377.0,1663470.0,1011899.0,1939832.0,-325143.0,2030086.0,2305278.0,2201145.0,2372847.0,3095141.0
3.02,Despesas da Intermediação Financeira,-1493649.0,-1596364.0,-1147531.0,-794880.0,-808631.0,-807836.0,-994973.0,-892774.0,-1015880.0,-859015.0,-1499062.0,-995173.0,-617710.0,-1076935.0,416641.0,-1040779.0,-1111752.0,-1513439.0,-1469643.0,-1710815.0
3.03,Resultado Bruto Intermediação Financeira,1249199.0,1333195.0,1600992.0,2217924.0,2293250.0,2565285.0,2461152.0,456242.0,542013.0,755698.0,106315.0,668297.0,394189.0,862897.0,91498.0,989307.0,1193526.0,687706.0,903204.0,1384326.0
3.04,Outras Despesas/Receitas Operacionais,-1101170.0,-1137342.0,-1257963.0,-1649253.0,-1713040.0,-1947958.0,-2778493.0,-475533.0,-465805.0,-995446.0,-29222.0,-858163.0,-62288.0,-956719.0,95323.0,-1114096.0,-1154493.0,-512469.0,-582685.0,-1043408.0
3.05,Resultado Antes dos Tributos sobre o Lucro,151027.0,170443.0,219070.0,324211.0,417146.0,423379.0,-407446.0,9130.0,76231.0,-94616.0,126839.0,-92607.0,212492.0,-31507.0,101161.0,-64894.0,40064.0,111307.0,224542.0,199303.0
3.06,Imposto de Renda e Contribuição Social,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-1812.0,-7254.0,-17686.0,-420.0,-1606.0,0.0,2026.0,0.0,0.0,0.0,0.0,0.0
3.07,Resultado Líquido Operações Continuadas,151027.0,170443.0,219070.0,324211.0,417146.0,423379.0,-407446.0,9200.0,74419.0,-101870.0,109153.0,-93027.0,210886.0,-31507.0,103187.0,-64894.0,40064.0,111307.0,224542.0,199303.0
3.08,Resultado Líquido Operações Descontinuadas,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro/Prejuízo Consolidado do Período,,,,,,423379.0,-407446.0,9200.0,74419.0,-101870.0,109153.0,-93027.0,210886.0,-31507.0,103187.0,-64894.0,40064.0,111307.0,224542.0,199303.0
3.99,Lucro por Ação (Geral),0.0,3.79,0.0,8.46679,10.60868,10.6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1333.0,0.0,0.0,0.0
3.99.01.01,LPA - Ações Ordinárias (ON),,3.79,0.0,8.46679,10.60868,10.6396,0.0,,,,,,,,,,,,,
3.99.01.02,LPA - Ações Preferenciais (PN),,4.17,0.0,8.46679,10.60868,10.6396,,,,,,,,,,,,,,
