data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receitas da Intermediação Financeira,2742848.0
2015-12-31,T4,3.01.01,Receitas de Juros e Similares,2670754.0
2015-12-31,T4,3.01.02,Outros Ganhso/Perdas Líquidos com Empréstimos e Adiantamentos a Clientes,60962.0
2015-12-31,T4,3.01.03,Resultado com Operações de Crédito,7036.0
2015-12-31,T4,3.01.04,Ganho/Perda Líquidos com Ativos Mantidos para Venda,4096.0
2015-12-31,T4,3.02,Despesas da Intermediação Financeira,-1493649.0
2015-12-31,T4,3.02.01,Despesa com Juros e Similares,-1053139.0
2015-12-31,T4,3.02.02,Perdas por Redução ao Valor Recuperável de Empréstimos e Adiantamento a Clientes,-410497.0
2015-12-31,T4,3.02.03,Despesas de Depreciação e Amortização,-30013.0
2015-12-31,T4,3.03,Resultado Bruto Intermediação Financeira,1249199.0
2015-12-31,T4,3.04,Outras Despesas/Receitas Operacionais,-1101170.0
2015-12-31,T4,3.04.01,Receitas de Prestação de Serviços,315516.0
2015-12-31,T4,3.04.02,Despesas de Pessoal,-779674.0
2015-12-31,T4,3.04.03,Outras Despesas Administrativas,-426960.0
2015-12-31,T4,3.04.03.01,Despesas de Depreciação e Amortização,-30545.0
2015-12-31,T4,3.04.03.02,Outras Despesas Administrativas,-396415.0
2015-12-31,T4,3.04.04,Despesas Tributárias,-120572.0
2015-12-31,T4,3.04.05,Outras Receitas Operacionais,176713.0
2015-12-31,T4,3.04.06,Outras Despesas Operacionais,-266193.0
2015-12-31,T4,3.04.06.01,Ganhos/Perdas com Liquidação de Ativos,0.0
2015-12-31,T4,3.04.06.02,Outras Despesas Operacionais,0.0
2015-12-31,T4,3.04.07,Resultado da Equivalência Patrimonial,0.0
2015-12-31,T4,3.05,Resultado Antes dos Tributos sobre o Lucro,148029.0
2015-12-31,T4,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,2998.0
2015-12-31,T4,3.06.01,Corrente,-88028.0
2015-12-31,T4,3.06.02,Diferido,91026.0
2015-12-31,T4,3.07,Resultado Líquido das Operações Continuadas,151027.0
2015-12-31,T4,3.08,Resultado Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.09,Lucro/Prejuízo Consolidado do Período,151027.0
2015-12-31,T4,3.09.01,Atribuído a Sócios da Empresa Controladora,133442.0
2015-12-31,T4,3.09.02,Atribuído a Sócios Não Controladores,17585.0
2015-12-31,T4,3.99,Lucro por Ação - (R$ / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,3.6756
2015-12-31,T4,3.99.02.02,PN,3.6756
2016-12-31,T4,3.01,Receitas da Intermediação Financeira,2929559.0
2016-12-31,T4,3.01.01,Receitas de Juros e Similares,2860933.0
2016-12-31,T4,3.01.02,Outros Ganhos/Perdas Líquidas com Empréstimos e Adiantamentos e Clientes,84831.0
2016-12-31,T4,3.01.03,Resultado com Operações de Câmbio,662.0
2016-12-31,T4,3.01.04,Ganho/Perda Liquidos com Ativos Mantidos para Venda,0.0
2016-12-31,T4,3.01.05,Outros ganhos e perdas com ativos financeiros,-16867.0
2016-12-31,T4,3.02,Despesas da Intermediação Financeira,-1596364.0
2016-12-31,T4,3.02.01,Despesa com Juros Similares,-1088097.0
2016-12-31,T4,3.02.02,Perdas por Redução ao Valor Recuperável de Empréstimos e Adiantamentos a Clientes,-508267.0
2016-12-31,T4,3.03,Resultado Bruto Intermediação Financeira,1333195.0
2016-12-31,T4,3.04,Outras Despesas/Receitas Operacionais,-1137342.0
2016-12-31,T4,3.04.01,Receitas de Prestação de Serviços,325236.0
2016-12-31,T4,3.04.02,Despesas de Pessoal,-916923.0
2016-12-31,T4,3.04.03,Outras Despesas Administrativas,-447366.0
2016-12-31,T4,3.04.03.01,Despesas de Depreciação e Amortização,-43025.0
2016-12-31,T4,3.04.03.02,Outras Despesas Administrativas,-404341.0
2016-12-31,T4,3.04.04,Despesas Tributárias,-132003.0
2016-12-31,T4,3.04.05,Outras Receitas Operacionais,314374.0
2016-12-31,T4,3.04.06,Outras Despesas Operacionais,-280660.0
2016-12-31,T4,3.04.06.01,Ganhos/Perdas com Liquidação de Ativos,0.0
2016-12-31,T4,3.04.06.02,Outras Despesas Operacionais,-280660.0
2016-12-31,T4,3.04.07,Resultado da Equivalência Patrimonial,0.0
2016-12-31,T4,3.05,Resultado Antes dos Tributos sobre o Lucro,195853.0
2016-12-31,T4,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-25410.0
2016-12-31,T4,3.06.01,Corrente,-70369.0
2016-12-31,T4,3.06.02,Diferido,44959.0
2016-12-31,T4,3.07,Resultado Líquido das Operações Continuadas,170443.0
2016-12-31,T4,3.08,Resultado Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,3.09,Lucro/Prejuízo Consolidado do Período,170443.0
2016-12-31,T4,3.09.01,Atribuído a Sócios da Empresa Controladora,140585.0
2016-12-31,T4,3.09.02,Atribuído a Sócios Não Controladores,29858.0
2016-12-31,T4,3.99,Lucro por Ação - (R$ / Ação),0.0
2016-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2016-12-31,T4,3.99.01.01,ON,3.79
2016-12-31,T4,3.99.01.02,PN,4.17
2016-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2016-12-31,T4,3.99.02.01,ON,0.0
2016-12-31,T4,3.99.02.02,PN,0.0
2017-12-31,T4,3.01,Receitas da Intermediação Financeira,2748523.0
2017-12-31,T4,3.01.01,Receita de Juros e Similares,2681340.0
2017-12-31,T4,3.01.02,Outros Ganhos/Perdas Líquidas com Empréstimos e adiantamentos e Clientes,100327.0
2017-12-31,T4,3.01.03,Resultado com Operações de Câmbio,1336.0
2017-12-31,T4,3.01.04,Ganho/Perda Líquidos com Ativos Mantidos para Venda,0.0
2017-12-31,T4,3.01.05,Outros Ganhos e Perdas com Ativos Financeiros,-34480.0
2017-12-31,T4,3.02,Despesas da Intermediação Financeira,-1147531.0
2017-12-31,T4,3.02.01,Despesas com Juros Skimilares,-806649.0
2017-12-31,T4,3.02.02,Perdas por Redução ao Valor recuperável de Empréstimos e Adiantamentos a Clientes,-340882.0
2017-12-31,T4,3.03,Resultado Bruto Intermediação Financeira,1600992.0
2017-12-31,T4,3.04,Outras Despesas/Receitas Operacionais,-1257963.0
2017-12-31,T4,3.04.01,Receitas de Prestação de Serviços,320937.0
2017-12-31,T4,3.04.02,Despesas de Pessoal,-891011.0
2017-12-31,T4,3.04.03,Outras Despesas Administrativas,-453232.0
2017-12-31,T4,3.04.03.01,Despesas de Depreciação e Amortização,-50110.0
2017-12-31,T4,3.04.03.02,Outras Despesas Administrativas,-402445.0
2017-12-31,T4,3.04.03.03,Ganhos/Perdas Líquidos com Ativos Mantidos para Venda,-677.0
2017-12-31,T4,3.04.04,Despesas Tributárias,-141856.0
2017-12-31,T4,3.04.05,Outras Receitas Operacionais,148903.0
2017-12-31,T4,3.04.06,Outras Despesas Operacionais,-241704.0
2017-12-31,T4,3.04.06.02,Outras Despesas Operacionais,-241704.0
2017-12-31,T4,3.04.07,Resultado da Equivalência Patrimonial,0.0
2017-12-31,T4,3.05,Resultado Antes dos Tributos sobre o Lucro,343029.0
2017-12-31,T4,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-123959.0
2017-12-31,T4,3.06.01,Corrente,-102690.0
2017-12-31,T4,3.06.02,Diferido,-21269.0
2017-12-31,T4,3.07,Resultado Líquido das Operações Continuadas,219070.0
2017-12-31,T4,3.08,Resultado Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.08.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.08.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-12-31,T4,3.09,Lucro/Prejuízo Consolidado do Período,219070.0
2017-12-31,T4,3.09.01,Atribuído a Sócios da Empresa Controladora,200457.0
2017-12-31,T4,3.09.02,Atribuído a Sócios Não Controladores,18613.0
2017-12-31,T4,3.99,Lucro por Ação - (R$ / Ação),0.0
2017-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2017-12-31,T4,3.99.01.01,ON,0.0
2017-12-31,T4,3.99.01.02,PN,0.0
2017-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2017-12-31,T4,3.99.02.01,ON,0.0
2017-12-31,T4,3.99.02.02,PN,0.0
2018-12-31,T4,3.01,Receitas da Intermediação Financeira,3012804.0
2018-12-31,T4,3.01.01,Receitas com Juros e Similares,2637796.0
2018-12-31,T4,3.01.02,Outros Ganhos/Perdas Líquidos com empréstimos e adiantamentos a clientes,0.0
2018-12-31,T4,3.01.03,Outros Ganhos/Perdas Líquidos com Ativos Financeiros,0.0
2018-12-31,T4,3.01.04,Ganhos/Perdas Líquidos com Ativos Mantidos até o Vencimento,1622.0
2018-12-31,T4,3.01.05,Receita de Tarifas e Comissões,368843.0
2018-12-31,T4,3.01.06,Resultado com Operações de Câmbio,4543.0
2018-12-31,T4,3.02,Despesas da Intermediação Financeira,-794880.0
2018-12-31,T4,3.02.01,Despesas com Juros e Similares,-658285.0
2018-12-31,T4,3.02.02,Provisão para Perdas de Crédito Esperadas,-114865.0
2018-12-31,T4,3.02.03,Despesas de Tarifas e Comissões,-21730.0
2018-12-31,T4,3.03,Resultado Bruto Intermediação Financeira,2217924.0
2018-12-31,T4,3.04,Outras Despesas/Receitas Operacionais,-1649253.0
2018-12-31,T4,3.04.01,Receitas de Prestação de Serviços,0.0
2018-12-31,T4,3.04.02,Despesas de Pessoal,-894612.0
2018-12-31,T4,3.04.03,Outras Despesas Administrativas,-453127.0
2018-12-31,T4,3.04.03.01,Despesas de Depreciação e Amortização,-62933.0
2018-12-31,T4,3.04.03.02,Outras Despesas Administrativas,-390194.0
