data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,1,Ativo Total,12415.0
2010-12-31,T4,1.01,Ativo Circulante,7004.0
2010-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,196.0
2010-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2010-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.01.03,Contas a Receber,2280.0
2010-12-31,T4,1.01.03.01,Clientes,2280.0
2010-12-31,T4,1.01.03.01.01,Contas a Receber,2034.0
2010-12-31,T4,1.01.03.01.02,Contas a Receber s/ Cessão de Direitos,246.0
2010-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2010-12-31,T4,1.01.04,Estoques,3892.0
2010-12-31,T4,1.01.04.01,Estoques de Imóveis,3892.0
2010-12-31,T4,1.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.01.06,Tributos a Recuperar,634.0
2010-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,634.0
2010-12-31,T4,1.01.07,Despesas Antecipadas,2.0
2010-12-31,T4,1.01.08,Outros Ativos Circulantes,0.0
2010-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.01.08.03,Outros,0.0
2010-12-31,T4,1.01.08.03.01,Adiantamentos Diversos e a Fornecedores,0.0
2010-12-31,T4,1.01.08.03.02,Outras Contas,0.0
2010-12-31,T4,1.02,Ativo Não Circulante,5411.0
2010-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,4430.0
2010-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.02.01.03,Contas a Receber,2829.0
2010-12-31,T4,1.02.01.03.01,Clientes,2772.0
2010-12-31,T4,1.02.01.03.02,Outras Contas a Receber,57.0
2010-12-31,T4,1.02.01.04,Estoques,1222.0
2010-12-31,T4,1.02.01.04.01,Estoques de Imóveis,1222.0
2010-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.02.01.06,Tributos Diferidos,0.0
2010-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2010-12-31,T4,1.02.01.07,Despesas Antecipadas,0.0
2010-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
2010-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2010-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2010-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2010-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,379.0
2010-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.02.01.09.03,Depósitos Judiciais,379.0
2010-12-31,T4,1.02.01.09.04,Outras Contas,0.0
2010-12-31,T4,1.02.02,Investimentos,835.0
2010-12-31,T4,1.02.02.01,Participações Societárias,0.0
2010-12-31,T4,1.02.02.01.01,Participações em Coligadas,0.0
2010-12-31,T4,1.02.02.01.04,Outras Participações Societárias,0.0
2010-12-31,T4,1.02.02.02,Propriedades para Investimento,835.0
2010-12-31,T4,1.02.02.02.01,Outros Investimentos,835.0
2010-12-31,T4,1.02.03,Imobilizado,33.0
2010-12-31,T4,1.02.03.01,Imobilizado em Operação,0.0
2010-12-31,T4,1.02.03.02,Imobilizado Arrendado,0.0
2010-12-31,T4,1.02.03.03,Imobilizado em Andamento,33.0
2010-12-31,T4,1.02.04,Intangível,113.0
2010-12-31,T4,1.02.04.01,Intangíveis,113.0
2010-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2010-12-31,T4,1.02.04.01.02,Outros Intangíveis,113.0
2010-12-31,T4,1.02.04.02,Goodwill,0.0
2011-12-31,T4,1,Ativo Total,24477.0
2011-12-31,T4,1.01,Ativo Circulante,19738.0
2011-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,707.0
2011-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2011-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2011-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2011-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2011-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2011-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2011-12-31,T4,1.01.03,Contas a Receber,2245.0
2011-12-31,T4,1.01.03.01,Clientes,2245.0
2011-12-31,T4,1.01.03.01.01,Contas a Receber,1999.0
2011-12-31,T4,1.01.03.01.02,Contas a Receber s/ Cessão de Direitos,246.0
2011-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2011-12-31,T4,1.01.04,Estoques,15862.0
2011-12-31,T4,1.01.04.01,Estoques de Imóveis,15862.0
2011-12-31,T4,1.01.05,Ativos Biológicos,0.0
2011-12-31,T4,1.01.06,Tributos a Recuperar,914.0
2011-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,914.0
2011-12-31,T4,1.01.07,Despesas Antecipadas,2.0
2011-12-31,T4,1.01.08,Outros Ativos Circulantes,8.0
2011-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2011-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2011-12-31,T4,1.01.08.03,Outros,8.0
2011-12-31,T4,1.01.08.03.01,Adiantamentos Diversos e a Fornecedores,0.0
2011-12-31,T4,1.01.08.03.02,Outras Contas,8.0
2011-12-31,T4,1.02,Ativo Não Circulante,4739.0
2011-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,3787.0
2011-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2011-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2011-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2011-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2011-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2011-12-31,T4,1.02.01.03,Contas a Receber,2376.0
2011-12-31,T4,1.02.01.03.01,Clientes,2323.0
2011-12-31,T4,1.02.01.03.02,Outras Contas a Receber,53.0
2011-12-31,T4,1.02.01.04,Estoques,1023.0
2011-12-31,T4,1.02.01.04.01,Estoques de Imóveis,1023.0
2011-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2011-12-31,T4,1.02.01.06,Tributos Diferidos,0.0
2011-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2011-12-31,T4,1.02.01.07,Despesas Antecipadas,0.0
2011-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
2011-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2011-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2011-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2011-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,388.0
2011-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2011-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2011-12-31,T4,1.02.01.09.03,Depósitos Judiciais,388.0
2011-12-31,T4,1.02.01.09.04,Outras Contas,0.0
2011-12-31,T4,1.02.02,Investimentos,835.0
2011-12-31,T4,1.02.02.01,Participações Societárias,835.0
2011-12-31,T4,1.02.02.01.01,Participações em Coligadas,0.0
2011-12-31,T4,1.02.02.01.04,Outras Participações Societárias,835.0
2011-12-31,T4,1.02.02.02,Propriedades para Investimento,0.0
2011-12-31,T4,1.02.02.02.01,Outros Investimentos,0.0
2011-12-31,T4,1.02.03,Imobilizado,17.0
2011-12-31,T4,1.02.03.01,Imobilizado em Operação,0.0
2011-12-31,T4,1.02.03.02,Imobilizado Arrendado,0.0
2011-12-31,T4,1.02.03.03,Imobilizado em Andamento,17.0
2011-12-31,T4,1.02.04,Intangível,100.0
2011-12-31,T4,1.02.04.01,Intangíveis,100.0
2011-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2011-12-31,T4,1.02.04.01.02,Outros Intangíveis,100.0
2011-12-31,T4,1.02.04.02,Goodwill,0.0
2012-12-31,T4,1,Ativo Total,28943.0
2012-12-31,T4,1.01,Ativo Circulante,24100.0
2012-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,1765.0
2012-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2012-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2012-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2012-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2012-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2012-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2012-12-31,T4,1.01.03,Contas a Receber,4479.0
2012-12-31,T4,1.01.03.01,Clientes,4479.0
2012-12-31,T4,1.01.03.01.01,Contas a Receber,4479.0
2012-12-31,T4,1.01.03.01.02,Contas a Receber s/ Cessão de Direitos,0.0
2012-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2012-12-31,T4,1.01.04,Estoques,16413.0
2012-12-31,T4,1.01.04.01,Estoques de Imóveis,16413.0
2012-12-31,T4,1.01.05,Ativos Biológicos,0.0
2012-12-31,T4,1.01.06,Tributos a Recuperar,1436.0
2012-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,1436.0
2012-12-31,T4,1.01.07,Despesas Antecipadas,0.0
