data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,1558.0
2010-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-1032.0
2010-03-31,T1,3.03,Resultado Bruto,526.0
2010-03-31,T1,3.04,Despesas/Receitas Operacionais,-767.0
2010-03-31,T1,3.04.01,Despesas com Vendas,-10.0
2010-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-699.0
2010-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-03-31,T1,3.04.04,Outras Receitas Operacionais,0.0
2010-03-31,T1,3.04.05,Outras Despesas Operacionais,-58.0
2010-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-241.0
2010-03-31,T1,3.06,Resultado Financeiro,-727.0
2010-03-31,T1,3.06.01,Receitas Financeiras,194.0
2010-03-31,T1,3.06.02,Despesas Financeiras,-921.0
2010-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,-968.0
2010-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-2.0
2010-03-31,T1,3.08.01,Corrente,0.0
2010-03-31,T1,3.08.02,Diferido,0.0
2010-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,-970.0
2010-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,-970.0
2010-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,-970.0
2010-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,0.0
2010-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2010-03-31,T1,3.99.01.01,ON,-14.06
2010-03-31,T1,3.99.01.02,PN,-14.06
2010-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2010-03-31,T1,3.99.02.01,ON,-14.06
2010-03-31,T1,3.99.02.02,PN,-14.06
2010-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,1789.0
2010-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-1326.0
2010-06-30,T2,3.03,Resultado Bruto,463.0
2010-06-30,T2,3.04,Despesas/Receitas Operacionais,-773.0
2010-06-30,T2,3.04.01,Despesas com Vendas,-5.0
2010-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-768.0
2010-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-06-30,T2,3.04.04,Outras Receitas Operacionais,0.0
2010-06-30,T2,3.04.05,Outras Despesas Operacionais,0.0
2010-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-310.0
2010-06-30,T2,3.06,Resultado Financeiro,-3342.0
2010-06-30,T2,3.06.01,Receitas Financeiras,41.0
2010-06-30,T2,3.06.02,Despesas Financeiras,-3383.0
2010-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,-3652.0
2010-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-4.0
2010-06-30,T2,3.08.01,Corrente,-4.0
2010-06-30,T2,3.08.02,Diferido,0.0
2010-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,-3656.0
2010-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,-3656.0
2010-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,-3656.0
2010-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,0.0
2010-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2010-06-30,T2,3.99.01.01,ON,-52.99
2010-06-30,T2,3.99.01.02,PN,-52.99
2010-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2010-06-30,T2,3.99.02.01,ON,-52.99
2010-06-30,T2,3.99.02.02,PN,-52.99
2010-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,2506.0
2010-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-850.0
2010-09-30,T3,3.03,Resultado Bruto,1656.0
