cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,76773.0,80093.0,88162.0,40891.0,69639.0,69270.0,83990.0,53490.0,70756.0,65375.0,65606.0,57727.0,64068.0,59758.0,64002.0,59661.0,55584.0,51986.0,59725.0,52541.0,53459.0,8428.0,36973.0,57639.0,42020.0,39651.0,67626.0,90801.0,79779.0,102406.0,131224.0,126995.0,113975.0,117431.0,120163.0,107592.0,110090.0,112884.0,124306.0,90614.0,97864.0,99646.0,105609.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-40780.0,-49501.0,-53500.0,-26600.0,-44263.0,-44517.0,-50907.0,-31588.0,-40584.0,-39742.0,-40110.0,-36414.0,-37308.0,-35065.0,-38027.0,-36084.0,-31313.0,-28365.0,-33841.0,-29462.0,-27954.0,-4720.0,-20570.0,-32828.0,-22335.0,-20162.0,-35705.0,-49318.0,-44486.0,-57490.0,-71978.0,-68351.0,-59131.0,-60359.0,-62082.0,-59956.0,-53145.0,-56654.0,-63508.0,-47960.0,-49603.0,-50495.0,-54412.0
3.03,Resultado Bruto,35993.0,30592.0,34662.0,14291.0,25376.0,24753.0,33083.0,21902.0,30172.0,25633.0,25496.0,21313.0,26760.0,24693.0,25975.0,23577.0,24271.0,23621.0,25884.0,23079.0,25505.0,3708.0,16403.0,24811.0,19685.0,19489.0,31921.0,41483.0,35293.0,44916.0,59246.0,58644.0,54844.0,57072.0,58081.0,47636.0,56945.0,56230.0,60798.0,42654.0,48261.0,49151.0,51197.0
3.04,Despesas/Receitas Operacionais,-22208.0,-27073.0,-36165.0,-4562.0,-19300.0,-17456.0,-25616.0,-31390.0,-18945.0,-22081.0,-17425.0,-24217.0,-18371.0,-18985.0,-15071.0,-19641.0,-15334.0,-16313.0,-16832.0,-10432.0,-18154.0,-19279.0,-1968.0,-15168.0,-16985.0,-16073.0,-16829.0,-26599.0,-20330.0,-23028.0,-28522.0,-37043.0,-26977.0,-27702.0,-31065.0,-33817.0,-27499.0,-28977.0,-34218.0,-30792.0,-28339.0,-28901.0,-32277.0
3.04.02,Despesas Gerais e Administrativas,-6396.0,-7104.0,-8064.0,-14439.0,-6452.0,-6724.0,-7082.0,-7132.0,-6624.0,-6833.0,-6814.0,-8572.0,-6488.0,-6659.0,-6006.0,-8140.0,-6420.0,-6344.0,-6430.0,-6937.0,-6228.0,-4873.0,-4956.0,-8570.0,-6415.0,-5606.0,-6319.0,-8708.0,-7430.0,-8331.0,-8389.0,-13491.0,-8696.0,-9042.0,-10070.0,-12435.0,-9801.0,-10197.0,-9878.0,-10227.0,-10893.0,-11119.0,-11353.0
3.04.05,Outras Despesas Operacionais,0.0,-1601.0,-6681.0,-8282.0,-130.0,-636.0,-5135.0,-5901.0,0.0,-2136.0,-1315.0,-3451.0,0.0,-2029.0,-1034.0,-3063.0,0.0,-1137.0,-2302.0,-3439.0,-2705.0,-7370.0,-14916.0,-4248.0,-2811.0,-3741.0,-2763.0,-15634.0,-1673.0,-771.0,-3955.0,-11755.0,-2824.0,-4072.0,-3955.0,-6606.0,-1556.0,-2175.0,-4034.0,-3938.0,-2637.0,-2071.0,-2121.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,13785.0,3519.0,-1503.0,18853.0,6076.0,7297.0,7467.0,-9488.0,11227.0,3552.0,8071.0,-2904.0,8389.0,5708.0,10904.0,3936.0,8937.0,7308.0,9052.0,12647.0,7351.0,-15571.0,14435.0,9643.0,2700.0,3416.0,15092.0,14884.0,14963.0,21888.0,30724.0,21601.0,27867.0,29370.0,27016.0,13819.0,29446.0,27253.0,26580.0,11862.0,19922.0,20250.0,18920.0
3.06,Resultado Financeiro,-11576.0,-12288.0,-15890.0,-20745.0,-18155.0,-9861.0,-8304.0,-8289.0,-9113.0,-9551.0,-10004.0,17693.0,-3980.0,-3186.0,-5627.0,-6692.0,-4532.0,-3625.0,-4676.0,-12671.0,1231.0,-1807.0,20153.0,-4149.0,-1601.0,-6134.0,-1224.0,-5835.0,-7239.0,-3961.0,-4970.0,-13274.0,-4395.0,-6264.0,-3844.0,-10153.0,1023.0,1039.0,519.0,1827.0,1438.0,1568.0,752.0
