cd_conta,ds_conta
3.01,Receita de Venda de Bens e/ou Serviços
3.02,Custo dos Bens e/ou Serviços Vendidos
3.03,Resultado Bruto
3.04,Despesas/Receitas Operacionais
3.05,Resultado Antes do Resultado Financeiro e dos Tributos
3.06,Resultado Financeiro
3.07,Resultado Antes dos Tributos sobre o Lucro
3.08,Imposto de Renda e Contribuição Social sobre o Lucro
3.09,Resultado Líquido das Operações Continuadas
3.10,Resultado Líquido de Operações Descontinuadas
3.11,Lucro/Prejuízo Consolidado do Período
3.99,Lucro por Ação (Reais/Ação)
