cd_conta,conta,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,10241477.0,10504193.0,11290078.0,11965227.0,11896356.0,12239229.0,12616463.0,12274705.0,13163678.0,13606442.0,13494893.0,13561932.0,13332568.0,13776828.0,13557128.0,13833020.0,13359765.0,13339421.0,13876752.0
1.01,Ativo Circulante,3233874.0,3621683.0,4296765.0,4454983.0,4327275.0,4506104.0,4899440.0,4270276.0,4958359.0,5397729.0,4912745.0,4862397.0,4563687.0,4928216.0,4622715.0,4561891.0,4185283.0,4200378.0,4603207.0
1.01.01,Caixa e Equivalentes de Caixa,514624.0,295606.0,686305.0,1449345.0,1263009.0,1126218.0,1177051.0,849082.0,886063.0,1028182.0,936993.0,1350229.0,1072892.0,1580294.0,1283691.0,1141965.0,653158.0,580316.0,1100123.0
1.01.02,Aplicações Financeiras,354523.0,424467.0,692595.0,337350.0,321812.0,356142.0,457191.0,339846.0,410371.0,344498.0,389545.0,379042.0,365952.0,383528.0,380606.0,385122.0,204536.0,93034.0,108690.0
1.01.03,Contas a Receber,643793.0,666683.0,757753.0,698249.0,684948.0,571074.0,526628.0,496305.0,544835.0,518193.0,502006.0,382443.0,429215.0,463175.0,517735.0,493535.0,639345.0,669568.0,644585.0
1.01.04,Estoques,1243928.0,1578755.0,1631455.0,1592312.0,1640863.0,1797367.0,1865233.0,1881369.0,2088605.0,2322083.0,2137330.0,1937254.0,1920179.0,1865495.0,1940104.0,2162597.0,2306431.0,2353614.0,2232482.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,431713.0,440599.0,424970.0,294434.0,312418.0,540895.0,669502.0,419791.0,467626.0,478244.0,443525.0,360968.0,365430.0,357759.0,290951.0,247779.0,260512.0,286895.0,245405.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,45293.0,215573.0,103687.0,83293.0,104225.0,114408.0,203835.0,283883.0,560859.0,706529.0,503346.0,452461.0,410019.0,277965.0,209628.0,130893.0,121301.0,216951.0,271922.0
1.02,Ativo Não Circulante,7007603.0,6882510.0,6993313.0,7510244.0,7569081.0,7733125.0,7717023.0,7643837.0,8205319.0,8208713.0,8582148.0,8699535.0,8768881.0,8848612.0,8934413.0,9271129.0,9174482.0,9139043.0,9273545.0
1.02.01,Ativo Realizável a Longo Prazo,1200899.0,1032144.0,1119748.0,1112204.0,983699.0,953087.0,920383.0,1156568.0,1086817.0,1125009.0,1430027.0,1544393.0,1566596.0,1616530.0,1617114.0,1740393.0,1567064.0,1551349.0,1570449.0
1.02.02,Investimentos,174853.0,197939.0,176233.0,204972.0,234296.0,216147.0,232437.0,0.0,360833.0,301769.0,242658.0,277133.0,275986.0,204736.0,238279.0,237791.0,270128.0,182334.0,217855.0
1.02.03,Imobilizado,4957829.0,4984230.0,5038773.0,5195145.0,5254914.0,5481297.0,5499134.0,5530485.0,5814148.0,5850551.0,5994292.0,5976694.0,6036729.0,6135207.0,6203573.0,6424800.0,6462206.0,6530960.0,6622219.0
1.02.04,Intangível,674022.0,668197.0,658559.0,997923.0,1096172.0,1082594.0,1065069.0,956784.0,943521.0,931384.0,915171.0,901315.0,889570.0,892139.0,875447.0,868145.0,875084.0,874400.0,863022.0
