data_fim,trimestre,cd_conta,ds_conta,valor_mil
2021-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,373027.0
2021-03-31,T1,6.01.01,Caixa Gerado nas Operações,516469.0
2021-03-31,T1,6.01.01.01,Lucro (prejuízo) antes do IR e da CS,-126777.0
2021-03-31,T1,6.01.01.02,"Juros, variações cambiais e monetárias",149569.0
2021-03-31,T1,6.01.01.03,Equivalencia Patrimonial,17169.0
2021-03-31,T1,6.01.01.04,"Depreciação, amortização e exaustão",113100.0
2021-03-31,T1,6.01.01.05,Contratos futuros de energia,-10720.0
2021-03-31,T1,6.01.01.06,Instrumentos financeiros derivativos,239082.0
2021-03-31,T1,6.01.01.07,Perda liquida na venda de investimentos,0.0
2021-03-31,T1,6.01.01.08,Reconh de ganho por compra vantajosa na aquisição de investimento,0.0
2021-03-31,T1,6.01.01.09,Impairment,122943.0
2021-03-31,T1,6.01.01.10,"Constituições de provisões, liquidas",12103.0
2021-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-67545.0
2021-03-31,T1,6.01.02.01,Aplicações financeiras,282705.0
2021-03-31,T1,6.01.02.02,Instrumentos financeiros derivativos,-134053.0
2021-03-31,T1,6.01.02.03,Contas a receber Clientes,-167536.0
2021-03-31,T1,6.01.02.04,Estoques,-170399.0
2021-03-31,T1,6.01.02.05,Tributos a recuperar,44565.0
2021-03-31,T1,6.01.02.06,Partes relacionadas,350.0
2021-03-31,T1,6.01.02.07,Depósitos judiciais,-22.0
2021-03-31,T1,6.01.02.08,Demais créditos e outros ativos,31379.0
2021-03-31,T1,6.01.02.09,Fornecedores,85340.0
2021-03-31,T1,6.01.02.10,Risco sacado a pagar,-4702.0
2021-03-31,T1,6.01.02.11,Salarios e encargos sociais,-64817.0
2021-03-31,T1,6.01.02.12,Tributos a recolher,-4586.0
2021-03-31,T1,6.01.02.13,"Pagamentos processos tributários, civeis e trabalhistas",-5573.0
2021-03-31,T1,6.01.02.14,Demais obrigações e outros passivos,39804.0
2021-03-31,T1,6.01.03,Outros,-75897.0
2021-03-31,T1,6.01.03.01,"Juros pagos s/ emprestimos, financiamentos e uso  do bem público - UBP",-25451.0
2021-03-31,T1,6.01.03.02,IR e CS Pagos,-50446.0
2021-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-84109.0
2021-03-31,T1,6.02.01,Aquisição deimobilizado e intangivel,-84109.0
2021-03-31,T1,6.02.02,Aquisição de investimento,0.0
2021-03-31,T1,6.02.03,Receb pela venda de ativos,0.0
2021-03-31,T1,6.02.04,Dividendos recebido,0.0
2021-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-406732.0
2021-03-31,T1,6.03.01,Captação de recursos,0.0
2021-03-31,T1,6.03.02,Amortização de emprestimos e financiamentos,-26894.0
2021-03-31,T1,6.03.03,Redução de capital,-380500.0
2021-03-31,T1,6.03.04,Instrumentos financeiros derivativos,4748.0
2021-03-31,T1,6.03.05,Liquidação de arrendamentos,-4086.0
2021-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-117814.0
2021-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,632438.0
2021-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,514624.0
2021-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,338340.0
2021-06-30,T2,6.01.01,Caixa Gerado nas Operações,1093998.0
2021-06-30,T2,6.01.01.01,Lucro (prejuizo) antes do IR e da CS,451273.0
2021-06-30,T2,6.01.01.02,"Juros, variações monetarias e cambiais",99397.0
2021-06-30,T2,6.01.01.03,Equivalencia Patrimonial,104.0
2021-06-30,T2,6.01.01.04,"Depreciação, amortização e exaustão",239241.0
2021-06-30,T2,6.01.01.05,Contratos futuros de energia,-213338.0
2021-06-30,T2,6.01.01.06,Perda na venda de ativos,0.0
2021-06-30,T2,6.01.01.07,Instrumentos financeiros derivativos,317902.0
2021-06-30,T2,6.01.01.08,Reconh de ganho por compra vantajosa na aquis de investimentos,0.0
2021-06-30,T2,6.01.01.09,Reconh de credito da exclusao do ICMS DA BASE de calculo do PIS/COFINS,0.0
2021-06-30,T2,6.01.01.10,IMPAIRMENT,139700.0
2021-06-30,T2,6.01.01.11,Constituição (Reversão) de provisões líquidas,59719.0
2021-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-617277.0
2021-06-30,T2,6.01.02.01,Aplicações financeiras,200743.0
2021-06-30,T2,6.01.02.02,Contas a receber de clientes,-189853.0
2021-06-30,T2,6.01.02.03,Estoques,-505190.0
2021-06-30,T2,6.01.02.04,Tributos a recuperar,71335.0
2021-06-30,T2,6.01.02.05,Depositos judiciais,-760.0
2021-06-30,T2,6.01.02.06,Instrumentos Financeiros derivativos,-320009.0
2021-06-30,T2,6.01.02.07,Demais créditos e outros ativos,19420.0
2021-06-30,T2,6.01.02.08,Fornecedores,97493.0
2021-06-30,T2,6.01.02.09,Risco sacado a pagar,19220.0
2021-06-30,T2,6.01.02.10,Salarios e encargos a pagar,-44993.0
2021-06-30,T2,6.01.02.11,Tributos a recolher,-22371.0
2021-06-30,T2,6.01.02.12,"Pagamento dos processos tributarios, civeis e trabalhistas",-15219.0
2021-06-30,T2,6.01.02.13,Partes relacionadas,5333.0
2021-06-30,T2,6.01.02.14,Demais obrigações e outros passivos,67574.0
2021-06-30,T2,6.01.03,Outros,-138381.0
2021-06-30,T2,6.01.03.01,"Juros pagos s/ emprestimos, financiamento e uso bem publico",-87935.0
2021-06-30,T2,6.01.03.02,IR e CS Pagos,-50446.0
2021-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-190267.0
2021-06-30,T2,6.02.01,Aquisição de imobilizado e intangivel,-190586.0
2021-06-30,T2,6.02.02,Aquisição de investimento,0.0
2021-06-30,T2,6.02.03,Aumento de capital em investida,0.0
2021-06-30,T2,6.02.04,Dividendos recebidos,0.0
2021-06-30,T2,6.02.05,Recebimento pela venda de ativos,0.0
2021-06-30,T2,6.02.06,Efeito no caixa de empresa adquirida e incluída na consolidação,319.0
2021-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-484905.0
2021-06-30,T2,6.03.01,Captação de recurso,0.0
2021-06-30,T2,6.03.02,Amortização de emprestimo e financiamento,-32001.0
2021-06-30,T2,6.03.03,INstrumentos financeiros derivativos,6493.0
2021-06-30,T2,6.03.04,Redução de capital,-426238.0
2021-06-30,T2,6.03.05,Liquidação de arrendamento,-33159.0
2021-06-30,T2,6.03.06,Dividendos pagos,0.0
2021-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2021-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-336832.0
2021-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,632438.0
2021-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,295606.0
2021-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,236903.0
2021-09-30,T3,6.01.01,Caixa Gerado nas Operações,1016065.0
2021-09-30,T3,6.01.01.01,Lucro (prejuízo) antes do IR e da CS,363841.0
2021-09-30,T3,6.01.01.02,"Juros, variações monetárias e cambiais",282433.0
2021-09-30,T3,6.01.01.03,Equivalencia Patrimonial,17751.0
2021-09-30,T3,6.01.01.04,"Depreciação, amortização e exaustão",376385.0
2021-09-30,T3,6.01.01.05,Contratos futuros de energia,-198852.0
2021-09-30,T3,6.01.01.06,Perda na venda de ativos,5049.0
