data_fim,trimestre,cd_conta,ds_conta,valor_mil
2018-12-31,T4,1,Ativo Total,3478337.0
2018-12-31,T4,1.01,Ativo Circulante,2195569.0
2018-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,446006.0
2018-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2018-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2018-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2018-12-31,T4,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2018-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2018-12-31,T4,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2018-12-31,T4,1.01.03,Contas a Receber,1142836.0
2018-12-31,T4,1.01.03.01,Clientes,1142836.0
2018-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2018-12-31,T4,1.01.04,Estoques,490614.0
2018-12-31,T4,1.01.05,Ativos Biológicos,0.0
2018-12-31,T4,1.01.06,Tributos a Recuperar,42847.0
2018-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,42847.0
2018-12-31,T4,1.01.06.01.01,Imposto de Renda e Contribuição Social a Recuperar,25710.0
2018-12-31,T4,1.01.06.01.02,Outros,17137.0
2018-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2018-12-31,T4,1.01.08,Outros Ativos Circulantes,73266.0
2018-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2018-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2018-12-31,T4,1.01.08.03,Outros,73266.0
2018-12-31,T4,1.01.08.03.01,Outros Créditos,17940.0
2018-12-31,T4,1.01.08.03.02,Instrumentos Financeiros Derivativos,55067.0
2018-12-31,T4,1.01.08.03.03,Partes Relacionadas,259.0
2018-12-31,T4,1.02,Ativo Não Circulante,1282768.0
2018-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,448943.0
2018-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2018-12-31,T4,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
