data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-03-31,T1,1,Ativo Total,5432673.0
2019-03-31,T1,1.01,Ativo Circulante,1772454.0
2019-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,134884.0
2019-03-31,T1,1.01.02,Aplicações Financeiras,0.0
2019-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2019-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2019-03-31,T1,1.01.02.01.02,Títulos Designados a Valor Justo,0.0
2019-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2019-03-31,T1,1.01.02.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2019-03-31,T1,1.01.03,Contas a Receber,755231.0
2019-03-31,T1,1.01.03.01,Clientes,755231.0
2019-03-31,T1,1.01.03.02,Outras Contas a Receber,0.0
2019-03-31,T1,1.01.04,Estoques,605202.0
2019-03-31,T1,1.01.05,Ativos Biológicos,0.0
2019-03-31,T1,1.01.06,Tributos a Recuperar,246461.0
2019-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,246461.0
2019-03-31,T1,1.01.06.01.01,Imposto de Renda e Contribuição Social a Recuperar,21455.0
2019-03-31,T1,1.01.06.01.02,Outros,225006.0
2019-03-31,T1,1.01.07,Despesas Antecipadas,0.0
2019-03-31,T1,1.01.08,Outros Ativos Circulantes,30676.0
2019-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2019-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2019-03-31,T1,1.01.08.03,Outros,30676.0
2019-03-31,T1,1.01.08.03.01,Outros Créditos,27923.0
2019-03-31,T1,1.01.08.03.02,Instrumentos financeiros derivativos,2717.0
2019-03-31,T1,1.01.08.03.03,Partes relacionadas,36.0
2019-03-31,T1,1.02,Ativo Não Circulante,3660219.0
2019-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,1126249.0
2019-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,0.0
2019-03-31,T1,1.02.01.01.01,Títulos Designados a Valor Justo,0.0
2019-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes,0.0
2019-03-31,T1,1.02.01.03,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2019-03-31,T1,1.02.01.04,Contas a Receber,0.0
2019-03-31,T1,1.02.01.04.01,Clientes,0.0
2019-03-31,T1,1.02.01.04.02,Outras Contas a Receber,0.0
2019-03-31,T1,1.02.01.05,Estoques,0.0
2019-03-31,T1,1.02.01.06,Ativos Biológicos,0.0
2019-03-31,T1,1.02.01.07,Tributos Diferidos,0.0
2019-03-31,T1,1.02.01.07.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2019-03-31,T1,1.02.01.08,Despesas Antecipadas,0.0
