cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1041151.0,1269540.0,1251844.0,1722641.0,976850.0,294492.0,1067151.0,1746993.0,776076.0,1175590.0,1339406.0,1862133.0,1197024.0,1630240.0,1407540.0,1948746.0,1240577.0,1642961.0,1542676.0,2293103.0,1453008.0,1831609.0,1799811.0,2552111.0,1612082.0,2058463.0,1840861.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-539921.0,-649566.0,-664245.0,-863333.0,-500519.0,-151237.0,-612126.0,-924977.0,-425079.0,-627154.0,-740069.0,-963595.0,-629605.0,-793784.0,-713691.0,-940361.0,-616056.0,-763621.0,-745433.0,-1071939.0,-682659.0,-805792.0,-821302.0,-1150217.0,-740084.0,-891586.0,-834931.0
3.03,Resultado Bruto,501230.0,619974.0,587599.0,859308.0,476331.0,143255.0,455025.0,822016.0,350997.0,548436.0,599337.0,898538.0,567419.0,836456.0,693849.0,1008385.0,624521.0,879340.0,797243.0,1221164.0,770349.0,1025817.0,978509.0,1401894.0,871998.0,1166877.0,1005930.0
3.04,Despesas/Receitas Operacionais,-109603.0,-547862.0,-529729.0,-347833.0,-526250.0,-387740.0,-494227.0,-652648.0,-520090.0,-462696.0,-639956.0,-681768.0,-738362.0,-747197.0,-696211.0,-656159.0,-717716.0,-777409.0,-769057.0,-863638.0,-714467.0,-805308.0,-850553.0,-996996.0,-798251.0,-787607.0,-856289.0
3.04.02,Despesas Gerais e Administrativas,-127820.0,-136682.0,-113241.0,-48004.0,-108722.0,-110732.0,-114985.0,-157265.0,-78060.0,-131697.0,-136083.0,-142041.0,-175828.0,-163228.0,-160121.0,-183469.0,-170160.0,-196113.0,-193567.0,-226225.0,-203767.0,-203526.0,-223986.0,-256034.0,-218236.0,-251412.0,-233968.0
3.04.05,Outras Despesas Operacionais,-639756.0,-348.0,0.0,-632353.0,-6613.0,-9445.0,-59604.0,-15783.0,-582.0,-47495.0,-3815.0,-26370.0,-12795.0,-20655.0,-30565.0,-37524.0,-46552.0,-63446.0,-73257.0,-61963.0,-57120.0,-73138.0,-56572.0,-60805.0,-30377.0,-46420.0,-32931.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,-492.0,-1194.0,-12192.0,-20847.0,-30038.0,-44124.0,-58962.0,-64192.0,-56600.0,-41004.0,-69052.0,-42891.0,-49495.0,-29640.0,-40153.0,-27824.0
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,610833.0,72112.0,57870.0,292269.0,-49919.0,-244485.0,-39202.0,169368.0,-169093.0,85740.0,-40619.0,216770.0,-170943.0,89259.0,-2362.0,352226.0,-93195.0,101931.0,28186.0,357526.0,55882.0,220509.0,127956.0,404898.0,73747.0,379270.0,149641.0
3.06,Resultado Financeiro,528211.0,-32576.0,-28824.0,-77869.0,-38990.0,-41157.0,-13091.0,1803.0,-38288.0,18642.0,-41787.0,-30374.0,-68568.0,-95620.0,-101541.0,-45727.0,-100980.0,-104599.0,-110925.0,-112179.0,-3899.0,-101509.0,-92127.0,-98791.0,-77143.0,-87076.0,-72457.0
