data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,3344728.0
2015-12-31,T4,2.01,Passivo Circulante,1375506.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,40518.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,40518.0
2015-12-31,T4,2.01.01.02.01,Folha de Pagamento,0.0
2015-12-31,T4,2.01.01.02.03,Benefício a Empregados,0.0
2015-12-31,T4,2.01.02,Fornecedores,322035.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,322035.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,264796.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,39377.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,13336.0
2015-12-31,T4,2.01.03.01.02,Outras Obrigações Fiscais Federais,26041.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,223830.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,1589.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,71893.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,55325.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,55325.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.01.04.02,Debêntures,16568.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,667096.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.02,Outros,667096.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,30871.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Superávit de Baixa Renda,0.0
2015-12-31,T4,2.01.05.02.05,Encargos Regulatórios,118605.0
2015-12-31,T4,2.01.05.02.06,Benefícios Pós Emprego,69465.0
2015-12-31,T4,2.01.05.02.07,Pesquisa e Desenvolvimento,0.0
2015-12-31,T4,2.01.05.02.08,Programa de Eficiência Energética,0.0
2015-12-31,T4,2.01.05.02.09,Contribuição de Iluminação Pública,135107.0
2015-12-31,T4,2.01.05.02.10,"Valores a Pagar de Parcela ""A"" e Outros Itens Financeiros",279627.0
2015-12-31,T4,2.01.05.02.15,Outras Obrigações,33421.0
2015-12-31,T4,2.01.06,Provisões,9168.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,9168.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.01.06.01.05,Provisões Regulatórias,0.0
2015-12-31,T4,2.01.06.01.06,Outras Provisões,0.0
2015-12-31,T4,2.01.06.02,Outras Provisões,0.0
2015-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2015-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,2.02,Passivo Não Circulante,1148401.0
2015-12-31,T4,2.02.01,Empréstimos e Financiamentos,336190.0
2015-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,223619.0
2015-12-31,T4,2.02.01.01.01,Em Moeda Nacional,223619.0
2015-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,0.0
2015-12-31,T4,2.02.01.02,Debêntures,112571.0
2015-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.02.02,Outras Obrigações,469318.0
2015-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.02,Outros,469318.0
2015-12-31,T4,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
