data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,587469.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-515261.0
2015-03-31,T1,3.03,Resultado Bruto,72208.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-64432.0
2015-03-31,T1,3.04.01,Despesas com Vendas,-29350.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-37702.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,15351.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,-15084.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,2353.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,7776.0
2015-03-31,T1,3.06,Resultado Financeiro,-41152.0
2015-03-31,T1,3.06.01,Receitas Financeiras,16985.0
2015-03-31,T1,3.06.02,Despesas Financeiras,-58137.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,-33376.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-23271.0
2015-03-31,T1,3.08.01,Corrente,-1104.0
2015-03-31,T1,3.08.02,Diferido,-22167.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,-56647.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,-56647.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,-57160.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,513.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,-6.2245
2015-03-31,T1,3.99.01.02,PNA,-6.2245
2015-03-31,T1,3.99.01.03,PNB,-6.2245
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-03-31,T1,3.99.02.01,ON,-6.2245
2015-03-31,T1,3.99.02.02,PNA,-6.2245
2015-03-31,T1,3.99.02.03,PNB,-6.2245
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,584296.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-455616.0
2015-06-30,T2,3.02.01,Custo com Energia Elétrica Comprada para Revenda,-369002.0
2015-06-30,T2,3.02.02,Custo de Operação,-81789.0
2015-06-30,T2,3.02.03,Custo do Serviços Prestado a Terceiros,-4825.0
2015-06-30,T2,3.03,Resultado Bruto,128680.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,-78650.0
2015-06-30,T2,3.04.01,Despesas com Vendas,-34135.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-39118.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,14078.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,-16727.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,-2748.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,50030.0
2015-06-30,T2,3.06,Resultado Financeiro,-7427.0
2015-06-30,T2,3.06.01,Receitas Financeiras,17507.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-24934.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,42603.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-22469.0
2015-06-30,T2,3.08.01,Corrente,-2824.0
2015-06-30,T2,3.08.02,Diferido,-19645.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,20134.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,20134.0
