cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,587469.0,584296.0,616934.0,638504.0,549025.0,530260.0,451458.0,583811.0,532478.0,574108.0,774393.0,839507.0,563166.0,655310.0,738430.0,633304.0,645513.0,663868.0,659872.0,24095.0,578028.0,197429.0,69839.0,75042.0,96606.0,101601.0,80213.0,133104.0,80425.0,28475.0,92560.0,82536.0,85877.0,91598.0,95002.0,80358.0,82180.0,92829.0,135294.0,128514.0,123057.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-515261.0,-455616.0,-548033.0,-454346.0,-460148.0,-485865.0,-426800.0,-463617.0,-418804.0,-447474.0,-645512.0,-703197.0,-475032.0,-528828.0,-682302.0,-523736.0,-487601.0,-525533.0,-581785.0,8351.0,544681.0,-101604.0,-31136.0,-27594.0,-66411.0,-51131.0,-35609.0,-33794.0,-35901.0,-42708.0,-39440.0,-42549.0,-40931.0,-46921.0,-44320.0,-32274.0,-34205.0,-46512.0,-67947.0,-73519.0,-72907.0
3.03,Resultado Bruto,72208.0,128680.0,68901.0,184158.0,88877.0,44395.0,24658.0,120194.0,113674.0,126634.0,128881.0,136310.0,88134.0,126482.0,56128.0,109568.0,157912.0,138335.0,78087.0,-15744.0,-33347.0,95825.0,38703.0,47448.0,30195.0,50470.0,44604.0,99310.0,44524.0,-14233.0,53120.0,39987.0,44946.0,44677.0,50682.0,48084.0,47975.0,46317.0,67347.0,54995.0,50150.0
3.04,Despesas/Receitas Operacionais,-64432.0,-78650.0,-83628.0,-30342.0,-65868.0,-30088.0,-46993.0,-1498.0,-81364.0,-39020.0,-24147.0,-119028.0,-48798.0,-66404.0,-75894.0,-47140.0,-99529.0,-81795.0,-42549.0,-49688.0,-91382.0,-5653.0,-1706954.0,-14668.0,-2577.0,-11810.0,-6160.0,-5995.0,-5858.0,-92161.0,-7355.0,-11638.0,-9803.0,-10781.0,-5324.0,-1540.0,-3860.0,-17303.0,-793.0,-59.0,-2229.0
3.04.02,Despesas Gerais e Administrativas,-37702.0,-39118.0,-36910.0,-36979.0,-35142.0,-57910.0,-45945.0,-55848.0,-63082.0,-49803.0,-46165.0,-77201.0,-43656.0,-43685.0,-42509.0,-39620.0,-35800.0,-43150.0,-35918.0,-2184.0,-30060.0,-32181.0,-8495.0,-10920.0,-12337.0,-14901.0,-12681.0,-15927.0,-13068.0,-13525.0,-13686.0,-11207.0,-15227.0,-15981.0,-14293.0,-15102.0,-20674.0,-25468.0,-16961.0,-18518.0,-18943.0
3.04.05,Outras Despesas Operacionais,-15084.0,-16727.0,-33874.0,-29307.0,-21493.0,-28641.0,-16912.0,-26325.0,-17962.0,-14841.0,-10079.0,-4869.0,-13343.0,-8520.0,-33012.0,-21165.0,-18640.0,-24365.0,-5377.0,-2685.0,-8061.0,-729.0,0.0,-8208.0,-423.0,-1166.0,0.0,-34.0,-428.0,-2414.0,-1038.0,-64.0,-3537.0,-4307.0,-1126.0,-5419.0,-6847.0,-9313.0,-1069.0,-1650.0,-1195.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,2353.0,-2748.0,4866.0,-6684.0,5646.0,9584.0,5207.0,10001.0,478.0,6904.0,5788.0,5182.0,14447.0,1251.0,5837.0,10138.0,11485.0,12612.0,10018.0,760.0,-1156.0,38548.0,8706.0,3359.0,13962.0,22392.0,17222.0,18431.0,19416.0,25267.0,18832.0,21299.0,23470.0,24666.0,18421.0,23698.0,21324.0,29813.0,18464.0,19741.0,22004.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,7776.0,50030.0,-14727.0,214500.0,23009.0,14307.0,-22335.0,121692.0,32310.0,87614.0,104734.0,17282.0,39336.0,60078.0,-19766.0,156708.0,58383.0,56540.0,35538.0,-65432.0,59745.0,101478.0,1745657.0,32780.0,32772.0,67996.0,50764.0,105305.0,50382.0,77928.0,60475.0,51625.0,54749.0,55458.0,56006.0,49624.0,51835.0,63620.0,68140.0,54936.0,52379.0
3.06,Resultado Financeiro,-41152.0,-7427.0,-42892.0,-17896.0,-13808.0,-268.0,-2047.0,-20619.0,-14186.0,-24589.0,76586.0,23247.0,-13524.0,-29950.0,-36910.0,-32667.0,-30660.0,-18636.0,-14623.0,736.0,16338.0,-1951.0,5139.0,14106.0,17917.0,15841.0,19666.0,21406.0,17138.0,22279.0,27570.0,20798.0,21199.0,19199.0,20067.0,13858.0,21129.0,14873.0,20523.0,21689.0,22695.0
3.06.01,Receitas Financeiras,16985.0,17507.0,55346.0,44942.0,34855.0,46764.0,52093.0,26818.0,30343.0,12233.0,46912.0,59581.0,12767.0,22166.0,35551.0,21447.0,12086.0,37210.0,22140.0,5017.0,12315.0,4447.0,6454.0,14378.0,18115.0,16419.0,19969.0,21740.0,17507.0,22602.0,27997.0,21153.0,21547.0,20313.0,20231.0,14631.0,21478.0,17664.0,22000.0,23258.0,24225.0
3.06.02,Despesas Financeiras,-58137.0,-24934.0,-98238.0,-62838.0,-48663.0,-47032.0,-54140.0,-47437.0,-44529.0,-36822.0,-29674.0,-23014.0,-26291.0,-52116.0,-72461.0,-54114.0,-42746.0,-55846.0,-36763.0,-5753.0,-28653.0,-6398.0,-1315.0,-272.0,-198.0,-578.0,-303.0,-334.0,-369.0,-323.0,-427.0,-355.0,-348.0,-1114.0,-164.0,-773.0,-349.0,-2791.0,-1477.0,-1569.0,-1530.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-33376.0,42603.0,-57619.0,196604.0,9201.0,14039.0,-24382.0,101073.0,18124.0,63025.0,181320.0,40529.0,25812.0,30128.0,-56676.0,124041.0,27723.0,37904.0,20915.0,-64696.0,76083.0,99527.0,1750796.0,46886.0,50689.0,83837.0,70430.0,126711.0,67520.0,100207.0,88045.0,72423.0,75948.0,74657.0,76073.0,63482.0,72964.0,78493.0,88663.0,76625.0,75074.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-23271.0,-22469.0,-53638.0,-39685.0,-3349.0,-15631.0,-19205.0,-4423.0,-1263.0,-7249.0,-69115.0,-48138.0,-15024.0,-16494.0,-17861.0,-41784.0,-10192.0,-3330.0,-22949.0,-21460.0,-4978.0,-18014.0,-590682.0,-19342.0,-10946.0,-8085.0,-16840.0,-34903.0,-17148.0,-21901.0,-20110.0,-17568.0,-17217.0,-8018.0,-18644.0,-12761.0,-13453.0,-8961.0,-20506.0,-14275.0,-18924.0
3.09,Resultado Líquido das Operações Continuadas,56647.0,20134.0,111257.0,-99519.0,5852.0,29670.0,5177.0,92994.0,16861.0,55776.0,112205.0,-7609.0,10788.0,13634.0,38815.0,52473.0,17531.0,34574.0,2034.0,43236.0,-19435.0,81513.0,1160114.0,27544.0,39743.0,75752.0,53590.0,91808.0,50372.0,78306.0,67935.0,54855.0,58731.0,66639.0,57429.0,50721.0,59511.0,69532.0,68157.0,62350.0,56150.0
