cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,397796.383,392232.688,391255.589,397881.326,425974.931,419010.827,420720.347,425337.115,457101.936,445613.160,455400.600,479183.216,517831.031,537460.264,542553.296,563096.464,589826.413,574144.720,579603.522,590811.477,598400.633,608043.635,619247.085,630116.689,643833.163,634033.156,638819.338,639934.337,681187.102,667162.237,671133.444,676518.424,706364.238,698986.989,701867.759,776108.129,864568.324,816916.016,846776.399,820370.817,896783.000,901814.725,954086.210,1024829.000,1084724.000,1107776.000,1181375.000,1127893.000,1171754.000,1199359.000,1202724.000,1209590.000,1274618.000,1252435.000,1260562.000,1273335.000,1353420.000,1329388.000,1304535.000,1313242.000
2.01,Passivo Circulante,70523.299,61323.499,57779.890,57371.357,87828.141,75484.595,65046.447,63420.832,91693.372,72967.206,66096.534,80264.743,114198.138,99696.892,83432.156,93335.188,116454.953,93142.640,81908.199,83252.565,89333.208,91097.606,81263.699,81953.752,134085.679,114801.994,97452.852,97551.421,147529.337,126144.144,109207.467,102653.533,137204.293,121610.805,110345.933,110579.678,183262.442,135427.878,151329.222,114860.634,181925.000,173877.884,176584.258,163482.000,222391.000,223114.000,270454.000,197480.000,213109.000,222499.000,228745.000,196443.000,249976.000,230345.000,206227.000,196459.000,254268.000,236623.000,209715.000,209745.000
2.01.01,Obrigações Sociais e Trabalhistas,1720.804,1607.615,1787.011,1809.295,1936.269,1865.062,1986.090,1998.761,2046.211,2065.981,2195.098,2264.481,2325.018,2393.949,2622.394,2750.121,2815.653,2757.954,2903.966,2769.350,2758.791,2711.448,2795.420,2890.527,2950.096,2794.310,3033.603,3044.363,3287.247,3271.787,3406.093,3569.720,3598.869,3617.466,9522.285,3689.181,3778.916,3215.161,8711.041,3356.554,18752.000,19447.562,12991.913,18963.000,25876.000,26972.000,26862.000,26340.000,26214.000,29205.000,27181.000,30129.000,34330.000,32700.000,27394.000,30223.000,32743.000,31377.000,28899.000,31778.000
2.01.02,Fornecedores,38078.341,38597.119,39887.933,41052.750,52983.793,48290.160,46495.202,48801.142,53630.927,42362.103,47026.420,64067.920,69313.209,65349.321,61389.843,74853.748,65744.000,57221.855,56827.401,63622.511,41111.694,51742.324,53896.028,60027.673,66622.463,65095.003,67919.133,71862.548,80650.567,73789.180,74600.127,77009.650,75305.386,75233.827,81266.446,68433.469,77331.555,67231.910,52470.289,68457.809,87726.000,97828.797,96687.428,96171.000,92975.000,93902.000,105879.000,108884.000,89027.000,134174.000,106883.000,95830.000,97995.000,108966.000,82806.000,102685.000,106162.000,121394.000,97020.000,110609.000
2.01.03,Obrigações Fiscais,12063.403,3269.383,8796.133,3790.359,12831.372,4153.419,9891.014,4757.372,14564.632,7333.926,9354.421,5063.177,17650.394,6128.053,11083.153,4877.692,18176.285,3490.724,12827.017,4724.053,17519.565,8313.164,13957.582,6592.662,20686.001,8725.903,14806.812,8987.038,23563.777,8708.279,18927.122,8387.377,21916.299,6553.604,16651.162,7909.122,35837.236,3433.481,11962.803,10930.183,24016.000,3038.903,21626.667,9324.000,34422.000,9826.000,30000.000,6676.000,37771.000,1893.000,28114.000,11958.000,33871.000,8147.000,37379.000,9317.000,33116.000,5972.000,22816.000,7598.000
2.01.04,Empréstimos e Financiamentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25790.000,26539.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.05,Outras Obrigações,15056.242,14504.598,2807.475,5059.299,16025.995,17331.356,1566.193,1551.607,17025.218,16968.627,1905.398,1883.275,20813.898,21623.795,2667.050,3720.165,24683.758,24635.398,2781.263,4323.461,22096.647,22357.130,3075.363,2731.559,37418.969,31862.133,3272.800,3089.263,33100.650,33325.713,2810.315,2767.498,28860.373,28843.847,2906.040,18920.791,58397.979,54192.855,70157.184,21996.982,51431.000,53562.622,45278.250,39024.000,69118.000,66624.000,81174.000,55580.000,60097.000,57227.000,66567.000,58526.000,83780.000,80532.000,58648.000,54234.000,82247.000,77880.000,60980.000,59760.000
2.01.06,Provisões,3604.509,3344.784,4501.338,5659.654,4050.712,3844.598,5107.948,6311.950,4426.384,4236.569,5615.197,6985.890,4095.619,4201.774,5669.716,7133.462,5035.257,5036.709,6568.552,7813.190,5846.511,5973.540,7539.306,9711.331,6408.150,6324.645,8420.504,10568.209,6927.096,7049.185,9463.810,10919.288,7523.366,7362.061,0.000,11627.115,7916.756,7354.471,8027.905,10119.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,50334.085,49764.111,49891.620,49516.821,46442.772,46372.651,46273.990,46301.841,46791.692,46607.480,48800.900,48927.150,47481.044,71953.940,73775.867,74072.556,73169.955,74500.012,76298.951,77386.388,77264.089,78643.149,71715.502,71931.469,50455.450,51752.617,53502.104,55171.421,55367.595,57701.408,60421.382,62529.724,71213.578,72309.117,72148.351,134885.221,95278.580,88172.557,88460.507,79215.630,82447.000,83372.972,82272.765,93198.000,114598.000,113550.000,112330.000,120987.000,126284.000,133997.000,128595.000,137366.000,140403.000,132342.000,144327.000,142764.000,146174.000,145432.000,145592.000,146071.000
