data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,79241.351
2015-03-31,T1,3.01.01,Venda de Mercadorias,77065.603
2015-03-31,T1,3.01.02,Prestação de Serviço,891.662
2015-03-31,T1,3.01.03,Operação com TVM,1284.086
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-40175.65
2015-03-31,T1,3.03,Resultado Bruto,39065.701
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-35484.435
2015-03-31,T1,3.04.01,Despesas com Vendas,-27582.013
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-8490.791000000001
2015-03-31,T1,3.04.02.01,Gerais e Admnistrativas,-4756.492
2015-03-31,T1,3.04.02.02,Remuneração dos Admnistradores,-580.29
2015-03-31,T1,3.04.02.03,Depreciação e Amortização,-3154.009
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,681.819
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,-93.45
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,3581.266
2015-03-31,T1,3.06,Resultado Financeiro,6097.624
2015-03-31,T1,3.06.01,Receitas Financeiras,7921.433
2015-03-31,T1,3.06.01.01,Receitas Financeiras,4376.442
2015-03-31,T1,3.06.01.02,Reversao Ajuste Valor Presente,3544.991
2015-03-31,T1,3.06.02,Despesas Financeiras,-1823.809
2015-03-31,T1,3.06.02.01,Revresao Ajuste Valor Presente,-1681.116
2015-03-31,T1,3.06.02.02,Despesas Financeiras,-142.693
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,9678.89
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-3330.867
2015-03-31,T1,3.08.01,Corrente,-3330.867
2015-03-31,T1,3.08.02,Diferido,0.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,6348.023
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,6348.023
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,6348.03
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,-0.007
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,0.000290283
2015-03-31,T1,3.99.01.02,PN,0.00029027999999999997
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,107381.06
2015-06-30,T2,3.01.01,Venda de Mercadorias,104934.33200000001
2015-06-30,T2,3.01.02,Prestação de Serviço,883.525
2015-06-30,T2,3.01.03,Operação com TVM,1563.203
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-53008.508
2015-06-30,T2,3.03,Resultado Bruto,54372.552
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,-38545.108
2015-06-30,T2,3.04.01,Despesas com Vendas,-30175.671000000002
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-9249.909
2015-06-30,T2,3.04.02.01,Gerais e Admnistrativas,-5234.2480000000005
2015-06-30,T2,3.04.02.02,Remuneração dos Admnistradores,-661.491
2015-06-30,T2,3.04.02.03,Depreciação e Amortização,-3354.17
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,1010.075
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,-129.603
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,15827.444
2015-06-30,T2,3.06,Resultado Financeiro,6071.8820000000005
2015-06-30,T2,3.06.01,Receitas Financeiras,8172.735000000001
2015-06-30,T2,3.06.01.01,Receitas Financeiras,4937.14
2015-06-30,T2,3.06.01.02,Reversao Ajuste Valor Presente,3235.5950000000003
2015-06-30,T2,3.06.02,Despesas Financeiras,-2100.853
2015-06-30,T2,3.06.02.01,Revresao Ajuste Valor Presente,-1948.382
2015-06-30,T2,3.06.02.02,Despesas Financeiras,-152.471
