codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,102974.24,96051.04,118836.47,132997.4,141565.35,83969.0,151316.69,244711.43,221392.78,297154.15,360154.25,401774.78,319853.02,354228.63,391981.85,482853.58,482853.58
P_L,P/L,Valuation,x,2.827,2.5324,2.8559,2.3575,2.249,1.8012,2.2218,3.5681,3.7155,2.1444,4.7208,2.1971,2.5842,3.3782,3.4599,4.4271,4.4271
P_VPA,P/VPA,Valuation,x,0.3397,0.3089,0.3395,0.3338,0.3342,0.1945,0.3097,0.4581,0.4012,0.4737,0.53,0.5136,0.3697,0.3654,0.3799,0.4716,0.4716
EV_EBITDA,EV/EBITDA,Valuation,x,0.666,0.6842,0.919,0.7084,1.0057,-0.4492,0.0982,2.2083,3.4459,2.2267,1.4141,1.7728,2.0369,3.2661,2.2721,4.0475,4.0475
EV_EBIT,EV/EBIT,Valuation,x,0.7927,0.8157,1.1196,0.8553,1.2232,-0.6252,0.1278,2.3533,3.4459,2.3222,2.355,2.0338,2.0369,3.2661,2.2721,4.0475,4.0475
EV_RECEITA,EV/Receita,Valuation,x,0.1041,0.105,0.1374,0.1273,0.1765,-0.0573,0.0133,0.266,0.3435,0.4717,0.3972,0.597,0.285,0.2741,0.2536,0.3611,0.3611
DY,Dividend Yield,Valuation,%,158.6225,165.8848,138.5155,126.3159,112.3037,179.7446,101.2385,63.3906,69.1187,49.8495,40.1646,34.6289,43.2154,42.7857,39.0041,31.2777,31.2777
PAYOUT,Payout,Valuation,%,448.4314,420.081,395.59,297.7913,252.569,323.7573,224.9364,226.1823,256.8087,106.898,189.6096,76.0846,111.6793,144.5376,134.9504,138.4701,138.4701
ROE,ROE,Rentabilidade,%,12.0145,12.513,12.412,14.9483,15.7237,11.2062,14.367,13.0976,11.015,23.8843,11.6538,25.3272,15.0714,11.1444,11.3921,10.7837,10.7837
ROA,ROA,Rentabilidade,%,8.3643,8.6376,8.5783,10.346,10.7368,7.8467,10.3059,9.2678,7.7498,16.4807,8.0617,17.6407,10.5537,7.8199,7.964,7.886,7.886
ROIC,ROIC,Rentabilidade,%,11.2501,10.9329,10.5995,13.097,12.0146,7.2095,8.5473,9.1934,6.9947,12.4949,11.1069,16.6902,8.9142,5.2391,7.1974,5.8838,5.8838
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,15.633,15.3421,14.956,17.9676,17.5526,12.7663,13.5174,12.044,9.9683,21.1829,28.0883,33.6745,13.9946,8.3919,11.1626,8.9222,8.9222
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,12.745,12.2164,11.8868,14.072,14.1673,12.0228,16.3948,14.3366,11.6082,26.9424,15.7784,28.481,17.4501,14.1324,14.3632,13.7476,13.7476
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-1.8571,-1.4656,-1.5746,-1.357,-0.9159,-2.1455,-2.7689,-2.5358,-1.3492,-0.6929,-1.4355,-0.1714,-1.3127,-2.9704,-2.5475,-3.2474,-3.2474
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.2737,-0.2245,-0.2355,-0.2453,-0.1686,-0.246,-0.3182,-0.2735,-0.1251,-0.1203,-0.2869,-0.0474,-0.1506,-0.1908,-0.2174,-0.2245,-0.2245
ICJ,ICJ,Endividamento,x,7.3618,4.6652,4.3566,7.4507,5.8697,4.0492,5.4892,4.2166,4.4035,8.975,7.1916,11.4513,2.9906,1.5333,1.8044,1.4365,1.4365
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,,,,,,,,,,,,,,,,
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.8925,2.488,2.6214,2.5401,2.7184,3.4547,2.6142,2.5389,2.3172,2.0061,2.4314,2.3762,2.4501,2.2803,2.4718,2.8064,2.8064
LIQ_SECA,Liquidez Seca,Liquidez,x,2.2222,1.827,1.8892,1.8918,1.9604,2.5959,2.158,2.0522,1.7899,1.5621,1.9664,1.8399,1.8869,1.7198,1.9138,2.0195,2.0195
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.7355,1.6696,1.7717,1.8285,1.9268,2.1697,2.2017,2.1501,1.8509,1.6445,1.7887,1.6215,1.6067,1.5364,1.6459,1.7415,1.7415
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6563,0.6837,0.6971,0.6921,0.7116,0.648,0.6064,0.6287,0.6557,0.5557,0.5018,0.5657,0.5823,0.531,0.5383,0.5649,0.5649
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,135.485,128.7142,140.4315,137.1146,174.6514,181.9613,120.2009,127.6512,136.7411,145.2028,133.0568,207.349,172.6341,178.8947,164.9824,150.6893,150.6893
PME,PME,Eficiência,dias,131.728,148.0586,156.535,152.0711,150.9213,143.839,119.6074,126.8503,116.8791,130.7907,145.8196,150.2366,139.1252,155.0892,148.6428,171.821,171.821
NCG_RECEITA,NCG/Receita,Eficiência,%,22.0915,22.3911,23.1077,24.6915,31.6029,29.1639,18.0073,22.4673,25.5709,23.6966,17.5525,44.1009,26.9181,22.3593,22.9265,22.0974,22.0974
