data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,5827958.0
2019-12-31,T4,6.01.01,Caixa Gerado nas Operações,5605533.0
2019-12-31,T4,6.01.01.01,Lucro líquido do exercício,3664263.0
2019-12-31,T4,6.01.01.02,Resultado de equivalência patrimonial,-55202.0
2019-12-31,T4,6.01.01.03,Variações cambiais e monetárias,-48310.0
2019-12-31,T4,6.01.01.04,Despesa de juros sobre empréstimos e financiamentos,107428.0
2019-12-31,T4,6.01.01.05,Juros capitalizados,-89228.0
2019-12-31,T4,6.01.01.06,Juros de passivos de arrendamentos,7011.0
2019-12-31,T4,6.01.01.07,Amortização custo de transação,3513.0
2019-12-31,T4,6.01.01.08,Depreciação e amortização,498420.0
2019-12-31,T4,6.01.01.09,Perda estimada para a baixa de ativos imobilizados,14710.0
2019-12-31,T4,6.01.01.10,Imposto de renda e contribuição social correntes e diferidos,1530942.0
2019-12-31,T4,6.01.01.11,Outros provisionamentos,-28014.0
2019-12-31,T4,6.01.02,Variações nos Ativos e Passivos,222425.0
2019-12-31,T4,6.01.02.01,Contas a receber,-633117.0
2019-12-31,T4,6.01.02.02,Estoques,-20799.0
2019-12-31,T4,6.01.02.03,Impostos a recuperar,-50880.0
2019-12-31,T4,6.01.02.04,Adiantamentos a fornecedores,-402176.0
2019-12-31,T4,6.01.02.05,Outros ativos,-46878.0
2019-12-31,T4,6.01.02.06,Fornecedores,-33057.0
2019-12-31,T4,6.01.02.07,Obrigações sociais e trabalhistas,8666.0
2019-12-31,T4,6.01.02.08,Tributos a recolher,25314.0
2019-12-31,T4,6.01.02.09,Adiantamento de clientes,2524826.0
2019-12-31,T4,6.01.02.10,Dividendos recebidos,46159.0
2019-12-31,T4,6.01.02.11,Imposto de renda e contribuição social pagos,-1090679.0
2019-12-31,T4,6.01.02.12,Juros pagos sobre empréstimos e financiamentos,-141250.0
2019-12-31,T4,6.01.02.13,Outras obrigações,36296.0
2019-12-31,T4,6.01.03,Outros,0.0
2019-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-613677.0
2019-12-31,T4,6.02.01,Aquisição de ativos imobilizados e intangível,-613677.0
2019-12-31,T4,6.02.02,Caixa proveniente da aquisição/incorporação da CGPAR,0.0
2019-12-31,T4,6.02.03,Aquisição de investimentos,0.0
2019-12-31,T4,6.02.04,Aumento de Capital - CSN Holding,0.0
2019-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-6227259.0
2019-12-31,T4,6.03.01,Pagamento do principal sobre empréstimos,-1524353.0
2019-12-31,T4,6.03.02,Amortização de Passivos de arrendamentos,-17809.0
2019-12-31,T4,6.03.03,Custo de transação financeira,-2624.0
2019-12-31,T4,6.03.04,Dividendos pagos,-4370718.0
2019-12-31,T4,6.03.05,Captação,209391.0
2019-12-31,T4,6.03.06,Juros s/ Capital Proprio,-521146.0
2019-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,-2149.0
2019-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-1015127.0
2019-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,1443204.0
2019-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,428077.0
2020-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,5829008.0
2020-12-31,T4,6.01.01,Caixa Gerado nas Operações,7309157.0
2020-12-31,T4,6.01.01.01,Lucro líquido do exercício,4030710.0
2020-12-31,T4,6.01.01.02,Resultado de equivalência patrimonial,-48534.0
2020-12-31,T4,6.01.01.03,Variações cambiais e monetárias,51962.0
2020-12-31,T4,6.01.01.04,Despesa de juros sobre empréstimos e financiamentos,55849.0
2020-12-31,T4,6.01.01.05,Juros capitalizados,-62899.0
2020-12-31,T4,6.01.01.06,Juros de passivos de arrendamentos,6947.0
2020-12-31,T4,6.01.01.07,Amortização custo de transação,3290.0
2020-12-31,T4,6.01.01.08,Depreciação e amortização,1232473.0
2020-12-31,T4,6.01.01.09,Perda estimada para a baixa de ativos imobilizados,1762.0
2020-12-31,T4,6.01.01.10,Imposto de renda e contribuição social correntes e diferidos,1759287.0
2020-12-31,T4,6.01.01.11,Outros provisionamentos,-21275.0
