codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,0.247,3.3483,5.3362,9.6684,5.6666,11.7087,12.1735
P_VPA,P/VPA,Valuation,x,,1.5338,1.3818,3.225,2.5052,2.929,3.0453
EV_EBITDA,EV/EBITDA,Valuation,x,,1.4919,3.025,4.6441,2.8383,3.2651,3.4172
EV_EBIT,EV/EBIT,Valuation,x,,1.6104,3.6617,5.4459,4.1582,4.8023,5.0259
EV_RECEITA,EV/Receita,Valuation,x,,0.8009,1.3112,1.7411,1.2521,1.4065,1.472
DY,Dividend Yield,Valuation,%,,12.1979,32.7137,12.5898,16.0568,15.6938,15.0945
PAYOUT,Payout,Valuation,%,,41.1074,174.5619,121.7192,91.2339,145.7249,145.7249
ROE,ROE,Rentabilidade,%,38.0195,51.7965,23.2383,32.3078,43.1873,33.4532,33.4532
ROA,ROA,Rentabilidade,%,20.5414,27.3353,11.3375,13.0379,13.7034,9.0016,9.0016
ROIC,ROIC,Rentabilidade,%,46.4614,80.3581,24.0306,43.9283,63.0707,60.4511,60.4511
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,54.6419,53.6853,43.3438,37.4912,44.1141,43.0753,43.0753
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,29.2302,33.4612,22.2285,18.9018,27.4468,17.7701,17.7701
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.2188,-0.6086,0.2885,-0.2302,-0.6968,-0.5655,-0.5655
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.1555,-0.4444,0.1457,-0.1523,-0.4938,-0.4324,-0.4324
ICJ,ICJ,Endividamento,x,11.6579,7.8635,2.2769,3.4175,2.4804,1.2485,1.2485
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,3.3972,10.1507,12.4576,5.443,13.2299,16.9227,16.9227
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.4347,1.9591,2.0714,2.1397,2.3631,2.0223,2.0223
LIQ_SECA,Liquidez Seca,Liquidez,x,1.3233,1.8282,1.8724,1.9855,2.26,1.9234,1.9234
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.8102,1.0594,0.7968,0.7794,0.7869,0.7486,0.7486
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7027,0.7054,0.5298,0.6359,0.4533,0.4936,0.4936
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,15.909,0.9051,18.512,-0.5338,-24.9621,-21.2036,-21.2036
PME,PME,Eficiência,dias,33.6602,38.4445,46.9537,34.2464,34.894,31.4028,31.4028
NCG_RECEITA,NCG/Receita,Eficiência,%,-6.7441,-22.0072,-5.3992,-12.9518,-21.6635,-19.925,-19.925
