data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-21057.0
2010-03-31,T1,6.01.01,Caixa Gerado nas Operações,35631.0
2010-03-31,T1,6.01.01.01,Resultado antes do Imposto de Renda e Contribuição Social,25423.0
2010-03-31,T1,6.01.01.02,Depreciação e Amortização,5622.0
2010-03-31,T1,6.01.01.03,Provisão para Créditos de Liquidação Duvidosa,7193.0
2010-03-31,T1,6.01.01.04,"Provisão para Perdas Tributárias, Trabalhistas e Cíveis",560.0
2010-03-31,T1,6.01.01.05,Provisão para Perdas dos Estoques,311.0
2010-03-31,T1,6.01.01.06,Encargos Financeiros de Empréstimos e Financiamentos,2083.0
2010-03-31,T1,6.01.01.07,Encargos Financeiros de Aquisições,214.0
2010-03-31,T1,6.01.01.08,Rendimento de Aplicações Financeiras,-6879.0
2010-03-31,T1,6.01.01.09,Outorga de Opções de Ações,615.0
2010-03-31,T1,6.01.01.10,Resultado na Venda de Ativo Permanente,489.0
2010-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-56629.0
2010-03-31,T1,6.01.02.01,(Aumento) Redução em Contas a Receber,-52969.0
2010-03-31,T1,6.01.02.02,(Aumento) Redução nos Estoques,2704.0
2010-03-31,T1,6.01.02.03,(Aumento) Redução em Adiantamentos a Fornecedores,-1042.0
2010-03-31,T1,6.01.02.04,(Aumento) Redução em Tributos a Recuperar,-4161.0
2010-03-31,T1,6.01.02.05,(Aumento) Redução em Depósitos Judiciais,-245.0
2010-03-31,T1,6.01.02.06,(Aumento) Redução nos Demais Ativos,-6025.0
2010-03-31,T1,6.01.02.07,(Redução) Aumento em Fornecedores,2742.0
2010-03-31,T1,6.01.02.08,(Redução) Aumento Adiantamentos de Clientes,10683.0
2010-03-31,T1,6.01.02.09,(Redução) Aumento Salários e Encargos a Pagar,1426.0
2010-03-31,T1,6.01.02.10,(Redução) Aumento em Tributos a Pagar,201.0
2010-03-31,T1,6.01.02.11,(Redução) Aumento em Impostos e Contribuições Parcelados,-723.0
2010-03-31,T1,6.01.02.12,(Redução) Aumento nos Demais Passivos,-9220.0
2010-03-31,T1,6.01.03,Outros,-59.0
2010-03-31,T1,6.01.03.01,Imposto de Renda e Contribuição Social Pagos,-59.0
2010-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,167229.0
2010-03-31,T1,6.02.01,Resgate (Aplicação) de Títulos e Valores Mobiliários,311254.0
2010-03-31,T1,6.02.02,Adições de Imobilizado,-6909.0
2010-03-31,T1,6.02.03,Adições de Intangível,-978.0
2010-03-31,T1,6.02.04,"Aquisições de Novas Faculdades, líquida dos caixas adquiridos",-136138.0
2010-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-145375.0
2010-03-31,T1,6.03.01,Ações em Tesouraria,0.0
