cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,20056797.000,20841707.000,23478549.000,26058930.000,27413057.000,27999753.000,29462327.000,30644866.000,28924279.000,30015723.000,32176288.000,32127149.000,31042796.000,32579944.000,32537156.000,31901202.000,35144436.000,36621394.000,37408818.000,39857866.000,40532471.000,38105514.000,37950234.000,37552701.000,42170992.000,41732324.000,41627097.000,41793477.000,41282912.000,41166359.000,41708250.000,44711274.000,42211530.000,43946073.000,47432309.000,44624329.000,44078293.000,48182161.000,51007386.000,50674056.000,49106884.000,52067880.000,56131409.000,61639621.000,66119878.000,66823578.000,65927823.000,65993768.000,71146081.000,72470214.000,72444954.000,73774877.000,74971227.000,75540988.000,74028917.000,75535043.000,77129194.000,78709730.000,79238240.000,82448147.000
2.01,Passivo Circulante,4428322.000,4949522.000,5049523.000,4877576.000,4499437.000,4703766.000,4842313.000,5105724.000,4969447.000,4973542.000,6080252.000,5746552.000,4905531.000,5456224.000,6858948.000,7016565.000,7417103.000,7008909.000,7298746.000,8825031.000,9524873.000,7354575.000,7342643.000,7157696.000,9018493.000,10160412.000,11222464.000,12307461.000,11378687.000,10464792.000,9713720.000,11047179.000,8415132.000,9726955.000,8935592.000,10110192.000,10065908.000,9725636.000,12990880.000,12990245.000,14405951.000,14582519.000,12459445.000,13533339.000,12913717.000,12973368.000,15526233.000,15152207.000,14879172.000,15046598.000,18219747.000,20012644.000,19762108.000,19155406.000,15641695.000,15061543.000,17370534.000,17565596.000,18372711.000,18418946.000
2.01.01,Obrigações Sociais e Trabalhistas,58688.000,68434.000,120728.000,121574.000,70771.000,76228.000,89349.000,96326.000,71725.000,76703.000,95250.000,99900.000,67633.000,75153.000,97688.000,106710.000,70250.000,80774.000,106640.000,117608.000,79924.000,90917.000,123203.000,133527.000,131707.000,127680.000,155113.000,171492.000,116080.000,124533.000,150597.000,167982.000,119252.000,129141.000,156881.000,174024.000,125057.000,132781.000,157962.000,184210.000,133429.000,144168.000,182044.000,204825.000,165074.000,174946.000,218516.000,250083.000,182768.000,374041.000,246806.000,280639.000,198994.000,214851.000,263985.000,292475.000,0.000,239702.000,0.000,0.000
2.01.02,Fornecedores,1047385.000,1100624.000,1093951.000,1197365.000,1240143.000,1291471.000,1399011.000,1404564.000,1689137.000,1850618.000,1612030.000,1572526.000,1884693.000,2440119.000,1930713.000,1945959.000,2374147.000,2147001.000,2267546.000,2252811.000,3161210.000,1873994.000,1688003.000,1943657.000,2728131.000,2232236.000,2793508.000,4148059.000,3296870.000,2528146.000,3229917.000,3841430.000,2398085.000,3159696.000,2725984.000,3211553.000,3260180.000,2743239.000,2735037.000,2881472.000,3909517.000,3119367.000,3755053.000,4732519.000,4269598.000,3216324.000,3087178.000,3225011.000,3227768.000,2865954.000,2909200.000,3274669.000,3692489.000,3339026.000,3444970.000,3932665.000,3890827.000,3806386.000,3784147.000,4161914.000
2.01.03,Obrigações Fiscais,455248.000,522544.000,505474.000,488434.000,483028.000,519544.000,437322.000,488893.000,430472.000,359102.000,366904.000,316795.000,318063.000,429760.000,403034.000,432988.000,436267.000,541705.000,639591.000,646556.000,653342.000,709205.000,746067.000,671487.000,681544.000,785682.000,622307.000,698712.000,710303.000,721308.000,470760.000,829795.000,765438.000,724688.000,856520.000,731835.000,960497.000,734977.000,1145692.000,1236547.000,965222.000,894356.000,1093388.000,1147456.000,1175276.000,1235271.000,760300.000,547873.000,895765.000,1319114.000,1296913.000,1420116.000,1847906.000,1466808.000,1078394.000,1185416.000,1225402.000,1326293.000,1069723.000,1246301.000
2.01.04,Empréstimos e Financiamentos,2247407.000,2515057.000,2563886.000,2325148.000,1653053.000,1940757.000,2011149.000,2291758.000,1962301.000,1929920.000,3016163.000,2581817.000,1837462.000,1683433.000,3554516.000,3245298.000,3526208.000,2848669.000,2303598.000,3344012.000,3640314.000,2802296.000,3287016.000,3038189.000,3422923.000,4384541.000,5121391.000,5377869.000,5292680.000,5454449.000,4396744.000,4398305.000,3363465.000,3880206.000,3218979.000,3979171.000,3458775.000,3926590.000,6381600.000,4768214.000,3988465.000,5013475.000,2675735.000,3209510.000,4034836.000,4853384.000,5751594.000,5361280.000,4685625.000,4238896.000,3682329.000,4135291.000,4512551.000,5528654.000,4344351.000,3722094.000,5402972.000,4832902.000,4746065.000,5422309.000
2.01.05,Outras Obrigações,619594.000,742863.000,765484.000,745055.000,1052442.000,875766.000,905482.000,824183.000,815812.000,757199.000,989905.000,1175514.000,797680.000,827759.000,872997.000,1285610.000,1010231.000,1390760.000,1981371.000,2464044.000,1990083.000,1878163.000,1498354.000,1370836.000,2054188.000,2630273.000,2530145.000,1911329.000,1962754.000,1636356.000,1465702.000,1809667.000,1768892.000,1833224.000,1977228.000,2013609.000,2236914.000,2188049.000,2570589.000,3898968.000,5389372.000,5390932.000,4733322.000,4218254.000,3266887.000,3488213.000,5702952.000,5762328.000,5881559.000,6240465.000,10076917.000,10893544.000,9504062.000,8601928.000,6505342.000,5915675.000,6838634.000,7350177.000,8763889.000,7580600.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24485.000,0.000,0.000,20834.000,19946.000,20221.000,19903.000,20775.000,2046.000,5230.000,5693.000,5632.000,5687.000,8128.000,7582.000,8385.000,6106.000,4139.000,4653.000,13218.000,12699.000,10136.000,8887.000,7822.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,8878819.000,8660246.000,11382942.000,13084080.000,14361110.000,14319726.000,16143178.000,17338765.000,16063703.000,16752935.000,17896278.000,17861429.000,17338547.000,18165656.000,17142317.000,16677707.000,18330004.000,20085962.000,20487814.000,20996739.000,20877460.000,20393058.000,20423625.000,19941335.000,22779831.000,20978688.000,19694127.000,18391056.000,18717881.000,19162344.000,20053785.000,21078038.000,21264015.000,21118375.000,21195681.000,20577510.000,20729147.000,23915541.000,23063662.000,22863105.000,20465155.000,22306893.000,28290972.000,33045721.000,36400283.000,35888900.000,36097617.000,35105480.000,38726965.000,38237709.000,35167912.000,34301747.000,35210366.000,34726826.000,38236557.000,39010970.000,37963630.000,37774260.000,38427870.000,40340852.000
