cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1641226.000,1623641.000,1746058.000,1890188.000,1826230.000,1842308.000,2014076.000,2093551.000,2024638.000,2031470.000,2053008.000,2423101.000,2380410.000,2101132.000,2254630.000,2444042.000,3051072.000,3118174.000,3286884.000,4462387.000,4237102.000,3908838.000,3245188.000,3337003.000,3073638.000,3694556.000,2907196.000,3426363.000,3297011.000,3173229.000,3643669.000,3910664.000,3348681.000,3605830.000,4309126.000,3671143.000,3896006.000,3665715.000,4253721.000,4428832.000,4153941.000,4667324.000,4329831.000,5482153.000,4985793.000,5427019.000,6977783.000,6593692.000,5587749.000,5258566.000,5454722.000,5626684.000,5530666.000,5359727.000,5543989.000,5045086.000,5416998.000,5479266.000,5735608.000,6019164.000,5892086.000,6225154.000,6811177.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-1153650.000,-1174225.000,-1263544.000,-1384724.000,-1229477.000,-1279450.000,-1425874.000,-1522214.000,-1357218.000,-1594017.000,-1516703.000,-2111033.000,-1706581.000,-1518632.000,-1717600.000,-2095185.000,-2159972.000,-2534747.000,-2670941.000,-3799417.000,-3150077.000,-3244007.000,-2836156.000,-2569076.000,-2469490.000,-2231913.000,-2404053.000,-3128659.000,-2244039.000,-2446823.000,-2843575.000,-3131453.000,-2460196.000,-2721871.000,-3459741.000,-2859880.000,-2730735.000,-2666022.000,-3014280.000,-3349139.000,-2997391.000,-2848834.000,-3124311.000,-4377286.000,-3723177.000,-3981751.000,-5854961.000,-5559748.000,-4178804.000,-3958993.000,-4374017.000,-4416593.000,-4102602.000,-4325876.000,-4579704.000,-3573246.000,-4154264.000,-4285185.000,-4564925.000,-4755418.000,-4410497.000,-4927181.000,-5538858.000
3.03,Resultado Bruto,487576.000,449416.000,482514.000,505464.000,596753.000,562858.000,588202.000,571337.000,667420.000,437453.000,536305.000,312068.000,673829.000,582500.000,537030.000,348857.000,891100.000,583427.000,615943.000,662970.000,1087025.000,664831.000,409032.000,767927.000,604148.000,1462643.000,503143.000,297704.000,1052972.000,726406.000,800094.000,779211.000,888485.000,883959.000,849385.000,811263.000,1165271.000,999693.000,1239441.000,1079693.000,1156550.000,1818490.000,1205520.000,1104867.000,1262616.000,1445268.000,1122822.000,1033944.000,1408945.000,1299573.000,1080705.000,1210091.000,1428064.000,1033851.000,964285.000,1471840.000,1262734.000,1194081.000,1170683.000,1263746.000,1481589.000,1297973.000,1272319.000
3.04,Despesas/Receitas Operacionais,-103908.000,-165617.000,-153709.000,-469429.000,-128976.000,-213795.000,-209905.000,-407326.000,-206492.000,-174448.000,-178211.000,-393576.000,-155762.000,-289168.000,-221976.000,-249117.000,-186511.000,-270836.000,-274424.000,-311755.000,-411372.000,-337479.000,-288115.000,16889.000,-254839.000,-94207.000,-254853.000,-219637.000,-229969.000,-203276.000,-344344.000,-439713.000,-297885.000,-240649.000,-251184.000,-249327.000,-295899.000,-313295.000,-293777.000,-390446.000,-288765.000,-305191.000,-317443.000,-120762.000,-216396.000,-185720.000,1383270.000,-399766.000,-238465.000,-911663.000,-288356.000,-644594.000,-213824.000,-282873.000,-512736.000,-193893.000,-227645.000,-245852.000,-12384.000,-341115.000,-100057.000,-76426.000,-290146.000
3.04.02,Despesas Gerais e Administrativas,-71428.000,-84719.000,-80289.000,-117190.000,-95785.000,-108244.000,-118741.000,-138682.000,-111503.000,-122076.000,-117443.000,-193806.000,-103357.000,-129672.000,-124714.000,-172361.000,-112888.000,-150275.000,-123017.000,-165936.000,-139820.000,-143867.000,-161831.000,-225088.000,-151419.000,-161177.000,-180735.000,-247814.000,-151718.000,-164105.000,-214718.000,-155134.000,-198368.000,-171951.000,-167458.000,-185757.000,-173282.000,-171635.000,-165919.000,-223464.000,-173883.000,-200249.000,-176404.000,-258872.000,-197990.000,-195507.000,-230024.000,-301040.000,-196405.000,-182335.000,-218632.000,-206349.000,-256079.000,-214123.000,-417687.000,-190148.000,-193274.000,-214629.000,-218091.000,-199356.000,-209003.000,-206016.000,-214968.000
3.04.05,Outras Despesas Operacionais,-61889.000,-81013.000,-67946.000,-329086.000,-34679.000,-109918.000,-77061.000,-221652.000,-87131.000,-87626.000,-56475.000,-124803.000,-50083.000,-154641.000,-107983.000,-109676.000,-101768.000,-110520.000,-147280.000,-183864.000,-217072.000,-159808.000,-146964.000,335793.000,-105685.000,81667.000,-91373.000,-19488.000,-71342.000,-63573.000,-61486.000,-325154.000,-119471.000,-144759.000,-180910.000,-103621.199,-135379.000,-61676.000,-122602.000,-188434.000,-82841.000,-37540.000,-170897.000,10791.000,-61348.000,-29516.000,-102451.000,-152652.000,-102403.000,-904980.000,-63966.000,-588173.000,-77971.000,-110419.000,-166426.000,-19824.000,-86102.000,-104982.000,-141071.000,-181529.000,-99755.000,-272722.000,-135528.000
3.04.06,Resultado de Equivalência Patrimonial,41514.000,13355.000,9332.000,35136.000,14600.000,20282.000,13217.000,7555.000,16847.000,19665.000,16017.000,-41489.000,19608.000,12362.000,25062.000,56574.000,55269.000,29313.000,35469.000,39904.000,46362.000,45447.000,59092.000,-58356.000,47894.000,56815.000,69159.000,47827.000,33713.000,49285.000,-28217.000,46958.000,28518.000,35366.000,61156.000,10848.000,16385.000,-8690.000,32537.000,66525.000,22872.000,4505.000,56022.000,110148.000,86734.000,66071.000,126161.000,87348.000,112781.000,208425.000,8909.000,148462.000,104088.000,72745.000,67842.000,63134.000,81643.000,80545.000,63210.000,55804.000,100416.000,64256.000,37329.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,383668.000,283799.000,328805.000,36035.000,467777.000,349063.000,378297.000,164011.000,460928.000,263005.000,358094.000,-81508.000,518067.000,293332.000,315054.000,99740.000,704589.000,312591.000,341519.000,351215.000,675653.000,327352.000,120917.000,784816.000,349309.000,1368436.000,248290.000,78067.000,823003.000,523130.000,455750.000,339498.000,590600.000,643310.000,598201.000,561936.000,869372.000,686398.000,945664.000,689247.000,867785.000,1513299.000,888077.000,984105.000,1046220.000,1259548.000,2506092.000,634178.000,1170480.000,387910.000,792349.000,565497.000,1214240.000,750978.000,451549.000,1277947.000,1035089.000,948229.000,1158299.000,922631.000,1381532.000,1221547.000,982173.000
3.06,Resultado Financeiro,85867.000,96815.000,59890.000,105853.000,110360.000,36779.000,18704.000,58925.000,15286.000,-39673.000,110424.000,-113858.000,73899.000,75057.000,84265.000,47090.000,110967.000,42063.000,-16139.000,10826.000,40885.000,120629.000,-7261.000,-265211.000,-157861.000,127748.000,-212472.000,-323159.000,-156021.000,-262241.000,-99718.000,-230460.000,-69667.000,-104911.000,-125886.000,-137586.000,-98213.000,-127743.000,-134347.000,-128183.000,-94586.000,904240.000,46950.000,9667.000,-19132.000,9421.000,-110473.000,-207177.000,-213227.000,-1278799.000,-204046.000,-269965.000,-333139.000,-243459.000,-322810.000,-305582.000,-268174.000,-289685.000,-222378.000,-376777.000,-446525.000,-401861.000,-442561.000
3.06.01,Receitas Financeiras,147506.000,152083.000,159330.000,193312.000,184029.000,124450.000,151723.000,117330.000,128306.000,170797.000,224872.000,124963.000,146033.000,154922.000,175715.000,175693.000,225011.000,158445.000,115596.000,195471.000,219876.000,308635.000,220215.000,238614.000,213969.000,446220.000,164008.000,72356.000,163587.000,135229.000,247788.000,152706.000,205395.000,254983.000,184565.000,168972.000,206644.000,181307.000,162131.000,200159.000,215858.000,1109242.000,270476.000,244092.000,268329.000,238382.000,211859.000,213479.000,259875.000,270911.000,249202.000,252849.000,240639.000,313314.000,264178.000,250985.000,251661.000,274376.000,331192.000,327550.000,297640.000,375312.000,352570.000
3.06.02,Despesas Financeiras,-61639.000,-55268.000,-99440.000,-87459.000,-73669.000,-87671.000,-133019.000,-58405.000,-113020.000,-210470.000,-114448.000,-238821.000,-72134.000,-79865.000,-91450.000,-128603.000,-114044.000,-116382.000,-131735.000,-184645.000,-178991.000,-188006.000,-227476.000,-503825.000,-371830.000,-318472.000,-376480.000,-395515.000,-319608.000,-397470.000,-347506.000,-383166.000,-275062.000,-359894.000,-310451.000,-306558.000,-304857.000,-309050.000,-296478.000,-328342.000,-310444.000,-205002.000,-223526.000,-234425.000,-287461.000,-228961.000,-322332.000,-420656.000,-473102.000,-1549710.000,-453248.000,-522814.000,-573778.000,-556773.000,-586988.000,-556567.000,-519835.000,-564061.000,-553570.000,-704327.000,-744165.000,-777173.000,-795131.000
3.07,Resultado Antes dos Tributos sobre o Lucro,469535.000,380614.000,388695.000,141888.000,578137.000,385842.000,397001.000,222936.000,476214.000,223332.000,468518.000,-195366.000,591966.000,368389.000,399319.000,146830.000,815556.000,354654.000,325380.000,362041.000,716538.000,447981.000,113656.000,519605.000,191448.000,1496184.000,35818.000,-245092.000,666982.000,260889.000,356032.000,109038.000,520933.000,538399.000,472315.000,424350.000,771159.000,558655.000,811317.000,561064.000,773199.000,2417539.000,935027.000,993772.000,1027088.000,1268969.000,2395619.000,427001.000,957253.000,-890889.000,588303.000,295532.000,881101.000,507519.000,128739.000,972365.000,766915.000,658544.000,935921.000,545854.000,935007.000,819686.000,539612.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-150176.000,-129263.000,-99453.000,8441.000,-193308.000,-128359.000,-51223.000,-34172.000,-156469.000,-38391.000,-149195.000,97877.000,-193310.000,-116774.000,-126368.000,31383.000,-232506.000,-106398.000,-91934.000,-91178.000,-246547.000,-145966.000,-22223.000,-117493.000,-55359.000,-499606.000,-110872.000,135269.000,-249712.000,-109908.000,60699.000,24235.000,-181353.000,-185796.000,-111312.000,-33532.000,-265197.000,-211714.000,-197806.000,35391.000,-262283.000,-822599.000,-266981.000,66498.000,-267849.000,-311972.000,-648981.000,-30830.000,-287462.000,368518.000,-209912.000,327978.000,-245611.000,-199813.000,308161.000,-216794.000,-234725.000,-195479.000,-198541.000,29310.000,-270340.000,-246122.000,-175437.000
3.09,Resultado Líquido das Operações Continuadas,319359.000,251351.000,289242.000,150329.000,384829.000,257483.000,345778.000,188764.000,319745.000,184941.000,319323.000,-97489.000,398656.000,251615.000,272951.000,178213.000,583050.000,248256.000,233446.000,270863.000,469991.000,302015.000,91433.000,402112.000,136089.000,996578.000,-75054.000,-109823.000,417270.000,150981.000,416731.000,133273.000,339580.000,352603.000,361003.000,390818.000,505962.000,346941.000,613511.000,596455.000,510916.000,1594940.000,668046.000,1060270.000,759239.000,956997.000,1746638.000,396171.000,669791.000,-522371.000,378391.000,623510.000,635490.000,307706.000,436900.000,755571.000,532190.000,463065.000,737380.000,575164.000,664667.000,573564.000,364175.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12401.000,63177.000,35935.000,47661.000,1105961.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4263.000,187238.000,1353.000,10509.000,479709.000,0.000,0.000,0.000,18898.000
3.11,Lucro/Prejuízo Consolidado do Período,319359.000,251351.000,289242.000,150329.000,384829.000,257483.000,345778.000,188764.000,319745.000,184941.000,319323.000,-97489.000,398656.000,251615.000,272951.000,178213.000,583050.000,248256.000,233446.000,270863.000,469991.000,302015.000,91433.000,402112.000,136089.000,996578.000,-75054.000,-109823.000,417270.000,150981.000,416731.000,133273.000,339580.000,352603.000,361003.000,390818.000,505962.000,346941.000,613511.000,596455.000,510916.000,1594940.000,680447.000,1123447.000,795174.000,1004658.000,2852599.000,396171.000,669791.000,-522371.000,378391.000,623510.000,635490.000,307706.000,441163.000,942809.000,533543.000,473574.000,1217089.000,575164.000,664667.000,573564.000,383073.000
3.11.01,Atribuído a Sócios da Empresa Controladora,315015.000,243608.000,279396.000,149788.000,379481.000,255178.000,341172.000,181859.000,314125.000,177535.000,314703.000,-105675.000,391872.000,240589.000,266037.000,174062.000,536567.000,212488.000,219637.000,237258.000,433968.000,275339.000,87609.000,395822.000,133506.000,992959.000,-87116.000,-80699.000,410342.000,140040.000,409095.000,74149.000,332278.000,347207.000,354789.000,372789.000,497991.000,349328.000,571663.000,570964.000,512270.000,1608090.000,685396.000,1098446.000,785845.000,949988.000,2829102.000,387638.000,664341.000,-536523.000,362912.000,621277.000,626590.000,317792.000,435405.000,879023.000,531383.000,472082.000,1219660.000,586506.000,665508.000,572140.000,384222.000
