cd_conta,conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,3636731.0,3775850.0,3692593.0,3670738.0,4749195.0,4815749.0,4778408.0,4776017.0,4887838.0,4825912.0,4761512.0,4707622.0,4718051.0,4685374.0,4726869.0,4515809.0,4478204.0,4833057.0,4826601.0,4569487.0,4806949.0,4659040.0,4778536.0
1.01,Ativo Circulante,394731.0,567542.0,502812.0,446473.0,1403431.0,1388322.0,1319393.0,1302377.0,1300551.0,1229342.0,1194323.0,1121194.0,1086201.0,1056917.0,1048357.0,861873.0,902161.0,1080677.0,1061836.0,847519.0,1098451.0,994728.0,1125208.0
1.01.01,Caixa e Equivalentes de Caixa,191548.0,303908.0,305179.0,212905.0,1199606.0,1148766.0,1109992.0,1084985.0,1065759.0,954338.0,928205.0,852743.0,801913.0,728241.0,714800.0,522915.0,490786.0,632925.0,710939.0,555331.0,812677.0,655979.0,839576.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.03,Contas a Receber,171017.0,215995.0,168858.0,187301.0,151917.0,180231.0,158780.0,187816.0,190776.0,214933.0,211418.0,215995.0,216351.0,243875.0,250444.0,261128.0,252231.0,258974.0,211770.0,191012.0,199830.0,225139.0,189877.0
1.01.04,Estoques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,7820.0,8139.0,7704.0,8812.0,11478.0,11625.0,12505.0,13557.0,16577.0,20804.0,30989.0,28948.0,31811.0,29521.0,32025.0,36367.0,37427.0,28566.0,13096.0,12594.0,16180.0,19796.0,22078.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,24346.0,39500.0,21071.0,37455.0,40430.0,47700.0,38116.0,16019.0,27439.0,39267.0,23711.0,23508.0,36126.0,55280.0,51088.0,41463.0,121717.0,160212.0,126031.0,88582.0,69764.0,93814.0,73677.0
1.02,Ativo Não Circulante,3242000.0,3208308.0,3189781.0,3224265.0,3345764.0,3427427.0,3459015.0,3473640.0,3587287.0,3596570.0,3567189.0,3586428.0,3631850.0,3628457.0,3678512.0,3653936.0,3576043.0,3752380.0,3764765.0,3721968.0,3708498.0,3664312.0,3653328.0
1.02.01,Ativo Realizável a Longo Prazo,133801.0,138721.0,148585.0,154697.0,162652.0,169119.0,176972.0,189309.0,199787.0,207631.0,202396.0,212877.0,228411.0,222428.0,243192.0,231197.0,179995.0,172054.0,191337.0,195395.0,199584.0,188830.0,200992.0
1.02.02,Investimentos,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,143.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0
1.02.03,Imobilizado,1342480.0,1319681.0,1305525.0,1347364.0,1466449.0,1544513.0,1574616.0,1578115.0,1687980.0,1689188.0,1674569.0,1672139.0,1696945.0,1693635.0,1722468.0,1713034.0,1678170.0,1646246.0,1632457.0,1587669.0,1574637.0,1546816.0,1525884.0
1.02.04,Intangível,1765573.0,1749760.0,1735525.0,1722058.0,1716517.0,1713649.0,1707281.0,1706070.0,1699374.0,1699605.0,1690078.0,1701266.0,1706351.0,1712248.0,1712706.0,1709559.0,1717732.0,1933934.0,1940825.0,1938758.0,1934131.0,1928520.0,1926306.0
