cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,4010252.0,3687140.0,3955990.0,3678470.0,4008071.0,4185078.0,4469240.0,4486560.0,4411596.0,4310609.0,4809671.0,4992725.0,5065950.0,5687014.0,6164989.0,6050932.0,6005466.0,6900742.0,6006393.0,6523816.0,5334653.0,6220683.0,8714583.0,9794101.0,11913328.0,15391573.0,10246173.0,10360965.0,11769866.0,10565922.0,10897049.0,11129283.0,11318690.0,10989111.0,11125028.0,12005121.0,9712992.0,10881740.0,11066589.0,12026139.0,10907629.0,10693286.0,11793868.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-3025533.0,-2847095.0,-3015403.0,-2911727.0,-3082026.0,-3262639.0,-3157057.0,-3138320.0,-3093474.0,-3325893.0,-3596936.0,-3579838.0,-3684743.0,-4123918.0,-4298540.0,-3998456.0,-4021495.0,-4442269.0,-4370357.0,-4429143.0,-4017707.0,-4378065.0,-5133126.0,-5596003.0,-6178784.0,-7111092.0,-5941522.0,-6606077.0,-7287285.0,-7560441.0,-8358934.0,-7847356.0,-8073476.0,-8745660.0,-8319723.0,-8336330.0,-7521968.0,-7892701.0,-8332916.0,-8243111.0,-8375386.0,-7967187.0,-8326618.0
3.03,Resultado Bruto,984719.0,840045.0,940587.0,766743.0,926045.0,922439.0,1312183.0,1348240.0,1318122.0,984716.0,1212735.0,1412887.0,1381207.0,1563096.0,1866449.0,2052476.0,1983971.0,2458473.0,1636036.0,2094673.0,1316946.0,1842618.0,3581457.0,4198098.0,5734544.0,8280481.0,4304651.0,3754888.0,4482581.0,3005481.0,2538115.0,3281927.0,3245214.0,2243451.0,2805305.0,3668791.0,2191024.0,2989039.0,2733673.0,3783028.0,2532243.0,2726099.0,3467250.0
3.04,Despesas/Receitas Operacionais,-225734.0,-688079.0,-245027.0,-486691.0,-692113.0,-651166.0,-498862.0,-721290.0,-566335.0,-651325.0,-550540.0,-176295.0,-1257703.0,-19767.0,-453100.0,-1647238.0,-803252.0,-1325395.0,-1365864.0,-1136725.0,-1221313.0,-1289349.0,-1422016.0,-1292004.0,-1442516.0,-1171899.0,-625288.0,-1705101.0,-927247.0,-1234203.0,-1411195.0,-2093997.0,-2664693.0,-1102487.0,-1157787.0,-1851045.0,-1608089.0,-1375530.0,-1952192.0,-2490931.0,-1644606.0,-1083343.0,-1743821.0
3.04.02,Despesas Gerais e Administrativas,-109845.0,-109897.0,-120043.0,-130583.0,-160111.0,-104230.0,-117792.0,-136099.0,-118459.0,-112418.0,-76174.0,-108790.0,-107573.0,-117675.0,-105785.0,-162990.0,-120181.0,-125701.0,-137497.0,-127686.0,-119055.0,-126446.0,-124180.0,-134777.0,-134463.0,-145440.0,-158853.0,-148392.0,-143330.0,-146922.0,-150475.0,-233392.0,-159881.0,-201789.0,-190550.0,-208674.0,-206853.0,-224064.0,-216443.0,-208639.0,-217398.0,-263525.0,-231287.0
3.04.05,Outras Despesas Operacionais,-219499.0,-235578.0,-114823.0,-764431.0,-148832.0,-182927.0,-170376.0,-574595.0,-105688.0,-104672.0,-106780.0,-329804.0,-148659.0,-141753.0,-420325.0,-619969.0,-364372.0,-592701.0,-679510.0,-770268.0,-768924.0,-1095062.0,-742417.0,-663653.0,-574112.0,-537351.0,-33269.0,-571300.0,-382581.0,-663970.0,-879423.0,-981881.0,-1760537.0,-74501.0,-214858.0,-1037280.0,-392459.0,-432764.0,-471813.0,-520674.0,-512425.0,-169604.0,-389493.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,398478.0,-43822.0,861128.0,-55436.0,44979.0,18428.0,26117.0,-24606.0,21105.0,39393.0,38002.0,10611.0,24851.0,27313.0,43846.0,39696.0,25833.0,29066.0,64069.0,6747.0,-45108.0,28354.0,25970.0,62539.0,13445.0,55121.0,94989.0,18949.0,19259.0,54406.0,93361.0,70891.0,21509.0,107302.0,130771.0,91549.0,93320.0,98279.0,122705.0,133744.0,78434.0,166793.0,156627.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,758985.0,151966.0,1185614.0,3081060.0,233932.0,271273.0,813321.0,626950.0,751787.0,333391.0,662195.0,1236592.0,2638910.0,1543329.0,1413349.0,1350972.0,1180719.0,1133078.0,270172.0,957948.0,95633.0,553269.0,2159441.0,2906094.0,7177060.0,7108582.0,3679363.0,2574957.0,3555334.0,1771278.0,1126920.0,1187930.0,580521.0,1140964.0,1647518.0,1817746.0,582935.0,1613509.0,781481.0,1292097.0,887637.0,1642756.0,1723429.0
3.06,Resultado Financeiro,-869700.0,-771695.0,-1548867.0,-182788.0,-896939.0,-197019.0,-750292.0,-678177.0,-497224.0,-828619.0,-277797.0,-859987.0,-593704.0,-989064.0,-423225.0,510350.0,-635099.0,-357676.0,-840074.0,-298335.0,-1201138.0,284857.0,-156049.0,276019.0,-201507.0,-339051.0,-943426.0,-460200.0,-1125237.0,-890012.0,-318494.0,-1181282.0,-1189627.0,-1185909.0,-1223475.0,-552371.0,-1124527.0,-1495391.0,-1931588.0,-1261865.0,-1850347.0,-1900239.0,-1442833.0
3.06.01,Receitas Financeiras,56136.0,43477.0,106264.0,286110.0,243154.0,140729.0,140423.0,119284.0,116519.0,88710.0,80841.0,9004.0,42896.0,47878.0,335885.0,883855.0,111314.0,85467.0,114213.0,68048.0,65131.0,95956.0,134489.0,1507152.0,585585.0,791755.0,297930.0,508086.0,35859.0,462956.0,284757.0,705352.0,344819.0,249015.0,205490.0,856423.0,434359.0,342437.0,273672.0,347595.0,555057.0,270918.0,407396.0
3.06.02,Despesas Financeiras,-925836.0,-815172.0,-1655131.0,-468898.0,-1140093.0,-337748.0,-890715.0,-797461.0,-613743.0,-917329.0,-358638.0,-868991.0,-636600.0,-1036942.0,-759110.0,-373505.0,-746413.0,-443143.0,-954287.0,-366383.0,-1266269.0,-188901.0,-290538.0,-853331.0,-787092.0,-1130806.0,-645496.0,-547974.0,-1089378.0,-427056.0,-603251.0,-1317120.0,-1534446.0,-1434924.0,-1428965.0,-1408794.0,-1558886.0,-1837828.0,-2205260.0,-1609460.0,-2405404.0,-2171157.0,-1850229.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-110715.0,-619729.0,-363253.0,2898272.0,-663007.0,74254.0,63029.0,-51227.0,254563.0,-495228.0,384398.0,376605.0,2045206.0,554265.0,990124.0,1861322.0,545620.0,775402.0,-569902.0,659613.0,-1105505.0,838126.0,2003392.0,3182113.0,6975553.0,6769531.0,2735937.0,2114757.0,2430097.0,881266.0,808426.0,6648.0,-609106.0,-44945.0,424043.0,1265375.0,-541592.0,118118.0,-1150107.0,30232.0,-962710.0,-257483.0,280596.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-502517.0,-5136.0,-169398.0,-488427.0,-113690.0,-28131.0,-122796.0,-1929.0,-136948.0,-144728.0,-128214.0,-781.0,-558711.0,-635422.0,-237960.0,-1181759.0,-458857.0,-1119060.0,-300754.0,-1044893.0,-206204.0,-392226.0,-741797.0,-714719.0,-1278240.0,-1256871.0,-1411285.0,-1053761.0,-1066154.0,-511935.0,-570794.0,-190144.0,-213442.0,-328243.0,-333249.0,-242216.0,-61930.0,-340730.0,-399237.0,-796689.0,-231130.0,-127114.0,-204158.0
3.09,Resultado Líquido das Operações Continuadas,391802.0,614593.0,532651.0,76905.0,776697.0,46123.0,59767.0,-39090.0,117615.0,639956.0,256184.0,-902526.0,1486495.0,1189687.0,752164.0,1772237.0,86763.0,1894462.0,870656.0,-607370.0,1311709.0,445900.0,1261595.0,1273414.0,5697313.0,5512660.0,1324652.0,1060996.0,1363943.0,369331.0,237632.0,196792.0,822548.0,283298.0,90794.0,-793991.0,479662.0,222612.0,750870.0,84997.0,731580.0,130369.0,76438.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,-6984.0,-2577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,391802.0,614593.0,532651.0,76905.0,776697.0,46123.0,66751.0,-36513.0,117615.0,639956.0,256184.0,-902526.0,1486495.0,1189687.0,752164.0,1772237.0,86763.0,1894462.0,870656.0,-607370.0,1311709.0,445900.0,1261595.0,1273414.0,5697313.0,5512660.0,1324652.0,1060996.0,1363943.0,369331.0,237632.0,196792.0,822548.0,283298.0,90794.0,-793991.0,479662.0,222612.0,750870.0,84997.0,731580.0,130369.0,76438.0
3.11.01,Atribuído a Sócios da Empresa Controladora,392056.0,-614268.0,-532513.0,2372518.0,-785191.0,30853.0,-98245.0,-82164.0,85630.0,-659394.0,226466.0,357570.0,1471863.0,1160450.0,721535.0,1720288.0,-7572.0,1745083.0,-992958.0,1044514.0,-1360851.0,345178.0,1080786.0,3729182.0,5240015.0,4965771.0,1149537.0,903305.0,1206402.0,197326.0,133391.0,16941.0,-926396.0,183603.0,-154480.0,579067.0,-589701.0,-528779.0,-840337.0,-633034.0,-619146.0,-166000.0,-137080.0
3.11.02,Atribuído a Sócios Não Controladores,-254.0,-325.0,-138.0,-1125.0,8494.0,15270.0,31494.0,26431.0,31985.0,19438.0,29718.0,19816.0,14632.0,29237.0,30629.0,51949.0,94335.0,149379.0,122302.0,89428.0,49142.0,100722.0,180809.0,167650.0,457298.0,546889.0,175115.0,157691.0,157541.0,172005.0,104241.0,179851.0,103848.0,99695.0,245274.0,272038.0,110039.0,306167.0,89467.0,548037.0,-112434.0,35631.0,213518.0
3.99,Lucro por Ação (Reais/Ação),0.28887,-0.45262,-0.39238,1.74818,-0.57857,0.02273,-0.0724,-0.06052,0.0631,-0.48587,0.16687,0.26347,1.08454,0.85507,0.5281,1.22727,-0.00551,1.26445,-0.71948,0.75686,-0.98604,0.25011,0.78311,2.70208,3.7968,3.59809,1.12742,0.38423,0.90747,0.14877,0.10059,0.01425,-0.69859,0.13845,-0.11649,0.43667,-0.44469,-0.39875,-0.63369,-0.47737,-0.46689,-0.12518,-0.37072
