data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-03-31,T4,6.01,Caixa Líquido Atividades Operacionais,74931.0
2019-03-31,T4,6.01.01,Caixa Gerado nas Operações,80991.0
2019-03-31,T4,6.01.02,Variações nos Ativos e Passivos,-6060.0
2019-03-31,T4,6.01.03,Outros,0.0
2019-03-31,T4,6.02,Caixa Líquido Atividades de Investimento,-139371.0
2019-03-31,T4,6.03,Caixa Líquido Atividades de Financiamento,58792.0
2019-03-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,-16.0
2019-03-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-5664.0
2019-03-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,157295.0
2019-03-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,151631.0
2020-03-31,T4,6.01,Caixa Líquido Atividades Operacionais,92509.0
2020-03-31,T4,6.01.01,Caixa Gerado nas Operações,113400.0
2020-03-31,T4,6.01.02,Variações nos Ativos e Passivos,-20891.0
2020-03-31,T4,6.01.03,Outros,0.0
2020-03-31,T4,6.02,Caixa Líquido Atividades de Investimento,57639.0
2020-03-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-37343.0
2020-03-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,1535.0
2020-03-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,114340.0
2020-03-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,151631.0
2020-03-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,265971.0
2021-03-31,T4,6.01,Caixa Líquido Atividades Operacionais,153405.0
2021-03-31,T4,6.01.01,Caixa Gerado nas Operações,170457.0
2021-03-31,T4,6.01.02,Variações nos Ativos e Passivos,-17052.0
2021-03-31,T4,6.01.03,Outros,0.0
2021-03-31,T4,6.02,Caixa Líquido Atividades de Investimento,-141229.0
2021-03-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-65433.0
2021-03-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,570.0
2021-03-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-52687.0
2021-03-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,265971.0
2021-03-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,213284.0
2022-03-31,T4,6.01,Caixa Líquido Atividades Operacionais,130625.0
2022-03-31,T4,6.01.01,Caixa Gerado nas Operações,204263.0
2022-03-31,T4,6.01.02,Variações nos Ativos e Passivos,-73638.0
2022-03-31,T4,6.01.03,Outros,0.0
2022-03-31,T4,6.02,Caixa Líquido Atividades de Investimento,-71080.0
2022-03-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-66385.0
2022-03-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,-1079.0
2022-03-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-7919.0
2022-03-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,213284.0
2022-03-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,205365.0
2023-03-31,T4,6.01,Caixa Líquido Atividades Operacionais,148411.0
2023-03-31,T4,6.01.01,Caixa Gerado nas Operações,165033.0
2023-03-31,T4,6.01.02,Variações nos Ativos e Passivos,-16622.0
2023-03-31,T4,6.01.03,Outros,0.0
2023-03-31,T4,6.02,Caixa Líquido Atividades de Investimento,-61129.0
2023-03-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-59168.0
2023-03-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,308.0
2023-03-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,28422.0
2023-03-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,205365.0
2023-03-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,233787.0
2024-03-31,T4,6.01,Caixa Líquido Atividades Operacionais,214696.0
2024-03-31,T4,6.01.01,Caixa Gerado nas Operações,218098.0
2024-03-31,T4,6.01.02,Variações nos Ativos e Passivos,-3402.0
2024-03-31,T4,6.01.03,Outros,0.0
2024-03-31,T4,6.02,Caixa Líquido Atividades de Investimento,-258884.0
2024-03-31,T4,6.03,Caixa Líquido Atividades de Financiamento,37803.0
2024-03-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2024-03-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-6385.0
2024-03-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,233787.0
2024-03-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,227402.0
2025-03-31,T4,6.01,Caixa Líquido Atividades Operacionais,262733.0
2025-03-31,T4,6.01.01,Caixa Gerado nas Operações,270342.0
2025-03-31,T4,6.01.02,Variações nos Ativos e Passivos,-7609.0
2025-03-31,T4,6.01.03,Outros,0.0
2025-03-31,T4,6.02,Caixa Líquido Atividades de Investimento,-175056.0
2025-03-31,T4,6.03,Caixa Líquido Atividades de Financiamento,9219.0
2025-03-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,477.0
2025-03-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,97373.0
2025-03-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,227402.0
2025-03-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,324775.0
