data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,3328993.0
2015-12-31,T4,1.01,Ativo Circulante,1777891.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,262256.0
2015-12-31,T4,1.01.01.01,Caixa e Equivalentes de Caixa,193668.0
2015-12-31,T4,1.01.01.02,Títulos e Valores Mobiliários,68588.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,0.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-12-31,T4,1.01.03,Contas a Receber,590330.0
2015-12-31,T4,1.01.03.01,Clientes,590330.0
2015-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.01.04,Estoques,765828.0
2015-12-31,T4,1.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.01.06,Tributos a Recuperar,42175.0
2015-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,42175.0
2015-12-31,T4,1.01.06.01.01,Impostos a Recuperar,42175.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.01.08,Outros Ativos Circulantes,117302.0
2015-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.08.03,Outros,117302.0
2015-12-31,T4,1.01.08.03.01,Adiantamentos a Fornecedores,45559.0
2015-12-31,T4,1.01.08.03.02,Instrumentos Derivativos,0.0
2015-12-31,T4,1.01.08.03.03,Outros Créditos a Receber,40489.0
2015-12-31,T4,1.01.08.03.04,Imoveis Destinados à Venda,3054.0
2015-12-31,T4,1.01.08.03.05,Instrumentos Financeiros,19882.0
2015-12-31,T4,1.01.08.03.06,Valores a Receber - Venda de Imobilizado,8318.0
2015-12-31,T4,1.02,Ativo Não Circulante,1551102.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,352494.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.02.01.01.03,Títulos e Valores Mobiliários,0.0
2015-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
