cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
1,Ativo Total,3315018.0,3309299.0,3433785.0,3328993.0,3335547.0,3236009.0,3256536.0,3338866.0,3231381.0,3280352.0,3273134.0,3539483.0,3560459.0,3667424.0,3814631.0,4258319.0,4374784.0,4414232.0,4345160.0,4309706.0,4246961.0,4231757.0,4222809.0,4260948.0,4365348.0,4197571.0,4355941.0,4228889.0,3971750.0,4023777.0,3762513.0,3560161.0,3298833.0,2939411.0,2906593.0,2727228.0,3073245.0,3006125.0,3067355.0
1.01,Ativo Circulante,1730156.0,1727266.0,1840746.0,1777891.0,1798774.0,1661071.0,1686035.0,1575441.0,1501179.0,1517580.0,1512802.0,1565125.0,1602713.0,1607466.0,1727639.0,1800080.0,1578551.0,1537156.0,1578619.0,1569098.0,1532135.0,1479703.0,1521554.0,1686156.0,1768527.0,1714280.0,1876477.0,1865842.0,1668970.0,1689551.0,1368984.0,1142509.0,967339.0,812893.0,802601.0,636665.0,614832.0,586796.0,609728.0
1.01.01,Caixa e Equivalentes de Caixa,239698.0,215236.0,237355.0,262256.0,328326.0,221700.0,228715.0,183420.0,153274.0,129615.0,128545.0,172016.0,152975.0,154301.0,140134.0,145067.0,258750.0,201097.0,183565.0,165453.0,184522.0,211847.0,188873.0,185467.0,169163.0,187077.0,198589.0,234940.0,150326.0,318236.0,278638.0,253803.0,167450.0,127022.0,110055.0,67044.0,57890.0,60852.0,54928.0
1.01.02,Aplicações Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44431.0,44514.0,56443.0,54405.0,62634.0,78015.0,96446.0,99762.0,56157.0,58206.0,51998.0,56621.0,59491.0,33452.0,32796.0,32790.0,28164.0,31433.0,21297.0,104609.0,38607.0,33079.0,34191.0,31229.0,43423.0,42207.0,39302.0,40844.0,26728.0,29468.0,32871.0,31998.0
1.01.03,Contas a Receber,620967.0,609778.0,640562.0,590330.0,625555.0,599875.0,645776.0,592389.0,576618.0,595730.0,609376.0,591176.0,593942.0,614131.0,668819.0,617203.0,593001.0,569494.0,592565.0,604592.0,555049.0,469424.0,549678.0,622027.0,638534.0,579002.0,625727.0,539159.0,518024.0,413445.0,336630.0,212157.0,145412.0,140063.0,174857.0,161895.0,123508.0,98541.0,104951.0
1.01.04,Estoques,720782.0,779974.0,831358.0,765828.0,686517.0,707582.0,670240.0,631015.0,613309.0,635480.0,612657.0,625970.0,654112.0,672880.0,685314.0,524318.0,508379.0,535056.0,535908.0,501950.0,528239.0,543599.0,507758.0,504009.0,560112.0,550967.0,572764.0,619853.0,591155.0,569474.0,516493.0,405640.0,380099.0,348299.0,321414.0,269262.0,266362.0,256781.0,278624.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,52477.0,39458.0,41336.0,42175.0,40304.0,40780.0,46572.0,39313.0,29406.0,27583.0,27754.0,35485.0,33929.0,24700.0,22851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,96232.0,82820.0,90135.0,117302.0,118072.0,91134.0,94732.0,84873.0,84058.0,72729.0,80065.0,77844.0,89740.0,45008.0,110759.0,457335.0,160215.0,179511.0,209960.0,237612.0,230873.0,222037.0,242455.0,346489.0,369285.0,375937.0,374788.0,433283.0,376386.0,354205.0,205994.0,227486.0,232171.0,158207.0,155431.0,111736.0,137604.0,137751.0,139227.0
1.02,Ativo Não Circulante,1584862.0,1582033.0,1593039.0,1551102.0,1536773.0,1574938.0,1570501.0,1763425.0,1730202.0,1762772.0,1760332.0,1974358.0,1957746.0,2059958.0,2086992.0,2458239.0,2796233.0,2877076.0,2766541.0,2740608.0,2714826.0,2752054.0,2701255.0,2574792.0,2596821.0,2483291.0,2479464.0,2363047.0,2302780.0,2334226.0,2393529.0,2417652.0,2331494.0,2126518.0,2103992.0,2090563.0,2458413.0,2419329.0,2457627.0
1.02.01,Ativo Realizável a Longo Prazo,284533.0,326857.0,352160.0,352494.0,371222.0,435959.0,442552.0,526189.0,521510.0,549606.0,550269.0,531810.0,522611.0,600185.0,763410.0,1034771.0,1088661.0,946633.0,998552.0,938484.0,849060.0,890012.0,770535.0,740519.0,744147.0,700159.0,691286.0,612555.0,612543.0,652150.0,594925.0,555957.0,501231.0,476837.0,478951.0,553408.0,565902.0,525604.0,506019.0
1.02.02,Investimentos,165915.0,157702.0,137663.0,126333.0,108819.0,92288.0,80655.0,219949.0,215538.0,219978.0,226124.0,513520.0,512975.0,532914.0,351890.0,525768.0,663301.0,863560.0,684843.0,724193.0,627800.0,609335.0,603225.0,601290.0,613414.0,600056.0,598673.0,667221.0,660362.0,660224.0,791878.0,885225.0,869955.0,747820.0,742051.0,726076.0,1178705.0,1179030.0,1270730.0
1.02.03,Imobilizado,1008975.0,974750.0,973100.0,945071.0,933993.0,929306.0,918602.0,901300.0,878914.0,878288.0,873143.0,814223.0,806837.0,807960.0,853068.0,815811.0,963107.0,985749.0,1003496.0,985215.0,1064153.0,1066027.0,1138872.0,1135832.0,1142337.0,1088300.0,1094776.0,989136.0,938262.0,929538.0,915178.0,893489.0,879039.0,854964.0,837088.0,778538.0,679219.0,679172.0,647667.0
1.02.04,Intangível,125439.0,122724.0,130116.0,127204.0,122739.0,117385.0,128692.0,115987.0,114240.0,114900.0,110796.0,114805.0,115323.0,118899.0,118624.0,81889.0,81164.0,81134.0,79650.0,92716.0,173813.0,186680.0,188623.0,97151.0,96923.0,94776.0,94729.0,94135.0,91613.0,92314.0,91548.0,82981.0,81269.0,46897.0,45902.0,32541.0,34587.0,35523.0,33211.0
