codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,17.8196,14.9485,13.1402,12.6401,27.433,9.5253,6.5835,9.2372,10.4138,10.115,11.0656
P_VPA,P/VPA,Valuation,x,5.6172,5.1499,4.6465,4.2175,3.7769,5.3426,1.7104,1.7853,2.6291,3.0421,1.3141,1.4376
DY,Dividend Yield,Valuation,%,,,,,,,1.6252,4.0037,3.6642,3.3062,7.9506,7.2676
PAYOUT,Payout,Valuation,%,,,,,,,15.4798,26.3584,33.8469,34.4302,32.1681,32.1681
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,7.7938,5.3164,7.1534,7.9092,2.9621,3.2588
ROE,ROE,Rentabilidade,%,,30.1547,32.6803,33.6496,31.5267,24.8754,19.305,27.535,30.5197,29.5596,33.0132,33.0132
ROA,ROA,Rentabilidade,%,,29.4525,30.8443,32.249,30.4433,23.792,18.8555,26.4066,27.8627,26.867,30.71,30.71
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,115.0844,125.174,131.6238,130.4754,139.2525,83.5044,84.7563,79.4858,78.3672,78.0189,78.0189
MARGEM_OPERACIONAL,Margem Operacional,Rentabilidade,%,,127.7429,139.7745,148.9851,145.171,159.4051,96.2542,95.3357,87.6731,87.8965,85.1337,85.1337
INDICE_EFICIENCIA,Índice Eficiência,Eficiência,%,,2.2398,3.646,4.0535,3.7832,4.2581,3.0635,2.879,2.4416,2.6354,2.4881,2.4881
