data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,385895.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,289754.0
2015-03-31,T1,6.01.01.01,Depreciação de bens do ativo imobilizado,16871.0
2015-03-31,T1,6.01.01.02,Amortização de mais valia de ativos,1977.0
2015-03-31,T1,6.01.01.03,Equivalência patrimonial,-8606.0
2015-03-31,T1,6.01.01.05,"Juros, variações monetárias empréstimos",80473.0
2015-03-31,T1,6.01.01.06,Impostos diferidos,9591.0
2015-03-31,T1,6.01.01.09,Ajuste a Valor Presente,215.0
2015-03-31,T1,6.01.01.10,Lucro Liquido do Período,141254.0
2015-03-31,T1,6.01.01.12,Provisão para garantia,25903.0
2015-03-31,T1,6.01.01.13,Provisão para processos judiciais,21374.0
2015-03-31,T1,6.01.01.14,Provisão Programa de pagamento de ações,702.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,194505.0
2015-03-31,T1,6.01.02.02,Diminuição (aumento) contas a receber,433045.0
2015-03-31,T1,6.01.02.03,Diminuição (aumento) imóveis comercializar,-96644.0
2015-03-31,T1,6.01.02.04,Diminuição (aumento) conta corrente parceiros,61202.0
2015-03-31,T1,6.01.02.05,Diminuição (aumento) partes relacionadas,-6584.0
2015-03-31,T1,6.01.02.06,Diminuição (aumento) demais ativos,-74867.0
2015-03-31,T1,6.01.02.07,Aumento (redução) contas a pagar de imóveis,1502.0
2015-03-31,T1,6.01.02.09,Aumento (redução) impostos e contribuições a recolher,1066.0
2015-03-31,T1,6.01.02.10,Aumento (redução) em outros passivos,-124215.0
2015-03-31,T1,6.01.03,Outros,-98364.0
2015-03-31,T1,6.01.03.01,Impostos e contribuições pagos,-31470.0
2015-03-31,T1,6.01.03.02,Juros Pagos,-66894.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-253036.0
2015-03-31,T1,6.02.01,Aquisição de bens do ativo imobilizado,-10145.0
2015-03-31,T1,6.02.02,Biaxa de bens do ativo imobilizado e intangível,286.0
2015-03-31,T1,6.02.03,Recebimento de divididendos,10666.0
2015-03-31,T1,6.02.04,Aumento (redução) de investimentos,42664.0
2015-03-31,T1,6.02.05,Aquisição de bens do ativo intangível,-18134.0
2015-03-31,T1,6.02.06,Diminuição (aumento) em aplicações financeiras,-278373.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-143754.0
2015-03-31,T1,6.03.01,Ingresso novos empréstimos financiamento,469209.0
2015-03-31,T1,6.03.04,Pagamento de empréstimos e financiamentos,-558127.0
2015-03-31,T1,6.03.10,Recebimentos/pagamentos de capital dos não controladores,-8418.0
2015-03-31,T1,6.03.11,Ações em Tesouraria,-46418.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-10895.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,919160.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,908265.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,690258.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,582599.0
2015-06-30,T2,6.01.01.01,Depreciação de bens do ativo imobilizado,33239.0
2015-06-30,T2,6.01.01.02,Amortização de mais valia de ativos,2912.0
2015-06-30,T2,6.01.01.03,Equivalência patrimonial,-30880.0
2015-06-30,T2,6.01.01.05,"Juros, variações monetárias empréstimos",163102.0
2015-06-30,T2,6.01.01.06,Impostos diferidos,16783.0
2015-06-30,T2,6.01.01.09,Ajuste a Valor Presente,4423.0
2015-06-30,T2,6.01.01.10,Lucro Liquido do Período,350231.0
2015-06-30,T2,6.01.01.12,Provisão para garantia,44842.0
2015-06-30,T2,6.01.01.13,Provisão para processos judiciais,11976.0
2015-06-30,T2,6.01.01.14,Provisão Programa de pagamento de ações,-14029.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,318064.0
2015-06-30,T2,6.01.02.02,Diminuição (aumento) contas a receber,768536.0
2015-06-30,T2,6.01.02.03,Diminuição (aumento) imóveis comercializar,-119328.0
2015-06-30,T2,6.01.02.04,Diminuição (aumento) conta corrente parceiros,3499.0
2015-06-30,T2,6.01.02.05,Diminuição (aumento) partes relacionadas,-44818.0
2015-06-30,T2,6.01.02.06,Diminuição (aumento) demais ativos,-76417.0
2015-06-30,T2,6.01.02.07,Aumento (redução) contas a pagar de imóveis,-45387.0
2015-06-30,T2,6.01.02.08,Aumento (redução) de tributos a pagar,0.0
2015-06-30,T2,6.01.02.09,Aumento (redução) impostos e contribuições a recolher,-14651.0
2015-06-30,T2,6.01.02.10,Aumento (redução) em outros passivos,-153370.0
2015-06-30,T2,6.01.03,Outros,-210405.0
2015-06-30,T2,6.01.03.01,Impostos e contribuições pagos,-66287.0
2015-06-30,T2,6.01.03.02,Juros Pagos,-144118.0
2015-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-614878.0
2015-06-30,T2,6.02.01,Aquisição de bens do ativo imobilizado,-16838.0
2015-06-30,T2,6.02.02,Biaxa de bens do ativo imobilizado e intangível,3661.0
2015-06-30,T2,6.02.03,Recebimento de divididendos,30919.0
2015-06-30,T2,6.02.04,Aumento (redução) de investimentos,-62792.0
2015-06-30,T2,6.02.05,Aquisição de bens do ativo intangível,-29206.0
2015-06-30,T2,6.02.06,Diminuição (aumento) em aplicações financeiras,-540622.0
2015-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-129153.0
2015-06-30,T2,6.03.01,Ingresso novos empréstimos financiamento,1122499.0
2015-06-30,T2,6.03.03,Pagamento de Debênture,0.0
2015-06-30,T2,6.03.04,Pagamento de empréstimos e financiamentos,-1064250.0
2015-06-30,T2,6.03.07,Distribuição de Dividendos,-157284.0
2015-06-30,T2,6.03.10,Recebimentos/pagamentos de capital dos não controladores,46729.0
2015-06-30,T2,6.03.11,Ações em Tesouraria,-46604.0
2015-06-30,T2,6.03.12,Transações de Capital,-30243.0
2015-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-53773.0
2015-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,919160.0
2015-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,865387.0
2015-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,873134.0
