cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,1132448.000,1205835.000,1162549.000,1389273.000,1200742.000,1382884.000,1559602.000,1983553.000,1443180.000,1478004.000,1432307.000,1484462.000,1250414.000,1372419.000,1394448.000,1354601.000,1315362.000,1358331.000,1613696.000,1530538.000,1035214.000,1137683.000,1137733.000,1030554.000,810706.000,641033.000,824807.000,918764.000,692387.000,574756.000,597827.000,808800.000,450622.000,639539.000,724825.000,1331171.000,826236.000,936622.000,934759.000,1233205.000,764754.000,838808.000,1163503.000,1056630.000,1003732.000,1182019.000,1288339.000,1316743.000,1231652.000,1250083.000,1559644.000,1370916.000,1283426.000,1633055.000,1625987.000,1710231.000,1572911.000,1856857.000,2029651.000,2506269.000,1952744.000,2107130.000,2128446.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-737831.000,-812794.000,-753585.000,-1049265.000,-872029.000,-1000388.000,-1113641.000,-1407233.000,-1017671.000,-1030246.000,-990350.000,-965053.000,-834307.000,-924735.000,-937198.000,-916353.000,-877707.000,-904779.000,-1130965.000,-1035730.000,-674603.000,-738627.000,-743219.000,-681656.000,-528445.000,-387103.000,-563386.000,-653853.000,-477370.000,-421167.000,-450495.000,-590225.000,-325839.000,-468242.000,-520049.000,-997100.000,-577347.000,-643662.000,-645832.000,-848268.000,-503900.000,-563937.000,-784922.000,-720554.000,-657192.000,-749735.000,-841442.000,-876644.000,-848102.000,-858752.000,-1031260.000,-940219.000,-888959.000,-1105967.000,-1080523.000,-1133651.000,-1079389.000,-1246830.000,-1353486.000,-1706118.000,-1318405.000,-1417294.000,-1426032.000
3.03,Resultado Bruto,394617.000,393041.000,408964.000,340008.000,328713.000,382496.000,445961.000,576320.000,425509.000,447758.000,441957.000,519409.000,416107.000,447684.000,457250.000,438248.000,437655.000,453552.000,482731.000,494808.000,360611.000,399056.000,394514.000,348898.000,282261.000,253930.000,261421.000,264911.000,215017.000,153589.000,147332.000,218575.000,124783.000,171297.000,204776.000,334071.000,248889.000,292960.000,288927.000,384937.000,260854.000,274871.000,378581.000,336076.000,346540.000,432284.000,446897.000,440099.000,383550.000,391331.000,528384.000,430697.000,394467.000,527088.000,545464.000,576580.000,493522.000,610027.000,676165.000,800151.000,634339.000,689836.000,702414.000
3.04,Despesas/Receitas Operacionais,-189208.000,-181206.000,-200353.000,-217099.000,-199964.000,-248075.000,-228230.000,-326442.000,-246479.000,-235869.000,-226601.000,-204201.000,-164964.000,-198284.000,-201614.000,-192415.000,-218499.000,-205926.000,-223975.000,-260083.000,-225539.000,-180075.000,-201289.000,-223369.000,-195401.000,-208524.000,-218144.000,-201254.000,-178287.000,-278778.000,-130555.000,-130075.000,-150442.000,-180708.000,-282695.000,-168640.000,-171250.000,-149337.000,-155053.000,-150177.000,-199021.000,-172115.000,1408110.000,-82479.000,-131387.000,-130178.000,-162927.000,-178391.000,-195812.000,-224710.000,-193304.000,-206847.000,-217017.000,-208422.000,-227899.000,-264822.000,-154813.000,-135478.000,-122667.000,-174110.000,-255377.000,-227536.000,-20114.000
3.04.02,Despesas Gerais e Administrativas,-79380.000,-77910.000,-85732.000,-109403.000,-85233.000,-103506.000,-102443.000,-112851.000,-125594.000,-109497.000,-101686.000,-82524.000,-108672.000,-98838.000,-100367.000,-93200.000,-106837.000,-116413.000,-116491.000,-127576.000,-105532.000,-90153.000,-115585.000,-101138.000,-95100.000,-115518.000,-113393.000,-114590.000,-99510.000,-104339.000,-94375.000,-99007.000,-98713.000,-84107.000,-95281.000,-91897.000,-79433.000,-95770.000,-104582.000,-113570.000,-95802.000,-97198.000,-93025.000,-104652.000,-119587.000,-125166.000,-122372.000,-134328.000,-136241.000,-142746.000,-151238.000,-124580.000,-113765.000,-118608.000,-150553.000,-134721.000,-106876.000,-110024.000,-125048.000,-120488.000,-126707.000,-126946.000,-131713.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-194350.000,-41771.000,-47033.000,-157445.000,-16936.000,-10012.000,-15335.000,-25207.000,-20411.000,-68031.000,-17257.000,-109725.000,-31305.000,-22394.000,-9950.000,-71510.000,-26384.000,-35290.000,-31434.000,-150686.000,-75783.000,-16644.000,-57477.000,-37811.000,-45221.000,-45618.000,-84769.000,-74483.000,-167264.000,-43726.000,-40782.000,-53350.000
3.04.06,Resultado de Equivalência Patrimonial,236.000,214.000,167.000,579.000,250.000,491.000,183.000,525.000,194.000,598.000,687.000,6638.000,37830.000,12865.000,23195.000,16204.000,6853.000,28886.000,35253.000,47229.000,8606.000,22274.000,28608.000,14157.000,6821.000,13992.000,-1606.000,30231.000,1752.000,19303.000,25084.000,27551.000,10149.000,14024.000,22686.000,60795.000,-842.000,51491.000,35779.000,17772.000,10692.000,21467.000,314800.000,58753.000,79017.000,74405.000,78321.000,65424.000,60334.000,38724.000,59701.000,58326.000,47138.000,33021.000,89430.000,92470.000,100891.000,116467.000,135914.000,147608.000,112558.000,139609.000,131891.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,205409.000,211835.000,208611.000,122909.000,128749.000,134421.000,217731.000,249878.000,179030.000,211889.000,215356.000,315208.000,251143.000,249400.000,255636.000,245833.000,219156.000,247626.000,258756.000,234725.000,135072.000,218981.000,193225.000,125529.000,86860.000,45406.000,43277.000,63657.000,36730.000,-125189.000,16777.000,88500.000,-25659.000,-9411.000,-77919.000,165431.000,77639.000,143623.000,133874.000,234760.000,61833.000,102756.000,1786691.000,253597.000,215153.000,302106.000,283970.000,261708.000,187738.000,166621.000,335080.000,223850.000,177450.000,318666.000,317565.000,311758.000,338709.000,474549.000,553498.000,626041.000,378962.000,462300.000,682300.000
3.06,Resultado Financeiro,5388.000,20507.000,22098.000,17239.000,3210.000,6573.000,7204.000,32632.000,8374.000,7637.000,-277.000,2421.000,11171.000,8806.000,4964.000,2937.000,9440.000,3202.000,1584.000,1918.000,6182.000,-10004.000,5184.000,16235.000,20257.000,25931.000,18196.000,14759.000,12967.000,5208.000,11674.000,7963.000,2760.000,4473.000,-769.000,15654.000,1872.000,17872.000,9055.000,1794.000,3251.000,6501.000,24471.000,50278.000,10887.000,9293.000,8859.000,13958.000,9333.000,25501.000,7027.000,26466.000,45587.000,29183.000,28081.000,33921.000,13135.000,44695.000,39210.000,16645.000,59001.000,66436.000,56503.000
3.06.01,Receitas Financeiras,57269.000,79023.000,82309.000,69011.000,59606.000,76135.000,101379.000,126215.000,76843.000,82338.000,62918.000,54508.000,55034.000,48469.000,50340.000,53323.000,69890.000,72020.000,68287.000,68446.000,70199.000,78523.000,92358.000,89805.000,79540.000,82849.000,72404.000,70900.000,64968.000,49577.000,53730.000,37117.000,31953.000,33070.000,49281.000,58702.000,40108.000,49286.000,47956.000,43172.000,31141.000,42555.000,55454.000,73281.000,53921.000,51865.000,71473.000,94603.000,95875.000,130109.000,130948.000,215781.000,190820.000,178032.000,156108.000,169765.000,157466.000,182301.000,169528.000,174178.000,211618.000,252543.000,246895.000
