codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,122.753,54.8607,60.798,43.5148,136.5241,-233.0394,-87.1609,-19.7639,-7.2991,-2.3458,-3.1035,-10.1766
P_VPA,P/VPA,Valuation,x,1.0684,1.8309,2.4626,2.453,8.3171,9.7372,2.5056,1.0857,0.9875,0.3005,0.0513,0.1682
EV_EBITDA,EV/EBITDA,Valuation,x,10.8699,11.2032,12.5034,11.1434,22.3382,25.3426,13.0246,7.5563,7.3335,4.4238,1.7851,2.0466
EV_EBIT,EV/EBIT,Valuation,x,23.5779,19.7613,27.8974,27.798,73.0372,229.7225,259.2408,15.8181,17.7422,9.9509,4.9494,5.6742
EV_RECEITA,EV/Receita,Valuation,x,1.3431,1.9495,2.758,2.443,6.6648,5.4352,2.2025,1.2248,1.137,0.7105,0.498,0.5709
DY,Dividend Yield,Valuation,%,0.6579,0.5976,0.5336,2.1478,0.6472,,0.967,,,,,
PAYOUT,Payout,Valuation,%,81.0296,32.8817,32.4423,94.4297,134.8992,,84.3119,,,,,
ROE,ROE,Rentabilidade,%,0.8675,3.3695,4.3507,5.5804,3.9553,4.3453,3.914,5.2981,15.666,15.6643,14.8247,14.8247
ROA,ROA,Rentabilidade,%,0.517,1.9417,2.3649,2.7514,1.6214,1.332,1.1857,1.5482,4.2587,4.5411,4.9449,4.9449
ROIC,ROIC,Rentabilidade,%,2.9492,5.5759,4.9075,4.7696,5.0448,1.4933,0.5044,4.3362,3.699,4.3927,6.0933,6.0933
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,12.356,17.4016,22.0581,21.9233,29.8359,21.4469,16.91,16.2094,15.5037,16.0606,27.8958,27.8958
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,0.8662,3.1309,3.9555,4.711,2.9836,2.0988,2.0822,2.9535,7.927,7.8053,9.7145,9.7145
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.2366,1.3036,1.6,1.6955,1.4953,2.5332,2.289,3.9396,4.0561,3.4548,1.6704,1.6704
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.2768,0.2411,0.3614,0.4402,0.5967,1.0814,0.5342,1.1826,1.2221,1.0713,0.747,0.747
ICJ,ICJ,Endividamento,x,0.7463,1.4228,1.5228,1.7266,1.1382,0.2962,0.1323,0.524,0.414,0.4529,0.5732,0.5732
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,28.3459,27.922,37.4883,17.5954,7.829,6.4792,27.4,10.15,14.2591,9.0204,28.208,28.208
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.8065,1.6093,1.0556,1.6276,1.4564,1.3975,0.9882,1.2524,1.2464,1.548,1.228,1.228
LIQ_SECA,Liquidez Seca,Liquidez,x,1.7129,1.5214,0.9984,1.5672,1.3893,1.2788,0.9354,1.1752,1.1665,1.4602,1.1856,1.1856
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.8459,0.7558,0.646,0.6679,0.4735,0.4972,0.527,0.486,0.4765,0.5493,0.5981,0.5981
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5969,0.5934,0.5442,0.5445,0.4938,0.5275,0.4481,0.4891,0.5437,0.5791,0.5958,0.5958
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,56.8793,37.7673,33.8176,32.2854,44.2451,52.6732,37.0733,49.1531,62.6845,84.8556,53.3312,53.3312
PME,PME,Eficiência,dias,12.4559,14.5118,13.7342,12.0758,13.3667,24.3787,18.1002,18.3668,15.6631,15.0594,9.0749,9.0749
NCG_RECEITA,NCG/Receita,Eficiência,%,17.1975,9.7978,4.7766,6.3742,1.2788,0.4155,-15.3662,-2.7323,8.5595,12.7041,8.2839,8.2839
