data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,196772.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,317478.0
2015-12-31,T4,6.01.01.01,Lucro liquido antes do IRPJ e CSLL,179498.0
2015-12-31,T4,6.01.01.02,Depreciações e amortizações,42364.0
2015-12-31,T4,6.01.01.03,Resultado de equivalencia patrimonial,1774.0
2015-12-31,T4,6.01.01.04,Provisão para garantia,4622.0
2015-12-31,T4,6.01.01.05,Juros s/encargos e financiamentos,103486.0
2015-12-31,T4,6.01.01.06,"Provisão p/riscos tributários, trabalhistas e civeis",8344.0
2015-12-31,T4,6.01.01.07,Resultado com permuta fisica,-19455.0
2015-12-31,T4,6.01.01.08,Impostos,-3051.0
2015-12-31,T4,6.01.01.09,Ajuste a valor presente s/contas a receber,2750.0
2015-12-31,T4,6.01.01.10,Provisão para plano de opções de ações,-2854.0
2015-12-31,T4,6.01.01.11,Reversão de provisão,0.0
2015-12-31,T4,6.01.01.12,Provisão participação nos resultados,0.0
2015-12-31,T4,6.01.01.13,Participação de acionistas não controladores,0.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-95214.0
2015-12-31,T4,6.01.02.01,Contas a receber,135956.0
2015-12-31,T4,6.01.02.02,Estoques,-114233.0
2015-12-31,T4,6.01.02.03,Créditos diversos,213.0
2015-12-31,T4,6.01.02.04,Partes relacionadas,-5489.0
2015-12-31,T4,6.01.02.05,Tributos a recuperar,-3558.0
2015-12-31,T4,6.01.02.06,Despesas comerciais a apropriar,0.0
2015-12-31,T4,6.01.02.07,Fornecedores,-13947.0
2015-12-31,T4,6.01.02.08,Obrigações trabalhistas,1726.0
2015-12-31,T4,6.01.02.09,Obrigações tributárias,-2655.0
2015-12-31,T4,6.01.02.10,Credores por imóveis compromissados,-40921.0
2015-12-31,T4,6.01.02.11,Adiantamento de clientes,-21603.0
2015-12-31,T4,6.01.02.12,Contas a pagar,-30149.0
2015-12-31,T4,6.01.02.13,Partes relacionadas,-554.0
2015-12-31,T4,6.01.03,Outros,-25492.0
2015-12-31,T4,6.01.03.01,IRPJ e CSLL,-25492.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-55929.0
2015-12-31,T4,6.02.01,Acréscimo de investimentos (SCPs e SPEs),-6187.0
2015-12-31,T4,6.02.02,Acréscimo de imobilizado,-18614.0
2015-12-31,T4,6.02.03,Acréscimo de intangível,-1156.0
2015-12-31,T4,6.02.04,Dividendos recebidos,3470.0
2015-12-31,T4,6.02.05,Aplicações financeiras,-33442.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-340329.0
2015-12-31,T4,6.03.01,"Integralização de capital, liquido de gastos",0.0
2015-12-31,T4,6.03.02,Ações em tesouraria,-40493.0
2015-12-31,T4,6.03.03,Dividendos pagos,-67136.0
2015-12-31,T4,6.03.04,Ingressos e amortização de empréstimos,-124221.0
2015-12-31,T4,6.03.05,Juros pagos,-89214.0
2015-12-31,T4,6.03.06,Integralização de capital por não controladores,-20114.0
2015-12-31,T4,6.03.07,Reserva de Capital,849.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-199486.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,636110.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,436624.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,125916.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,174738.0
2016-12-31,T4,6.01.01.01,Lucro liquido antes do IRPJ e CSLL,20202.0
2016-12-31,T4,6.01.01.02,Depreciações e amortizações,25569.0
2016-12-31,T4,6.01.01.03,Resultado de equivalencia patrimonial,1480.0
2016-12-31,T4,6.01.01.04,Provisão para garantia,13875.0
2016-12-31,T4,6.01.01.05,Juros s/encargos e financiamentos,131453.0
2016-12-31,T4,6.01.01.06,"Provisão p/riscos tributários, trabalhistas e civeis",404.0
2016-12-31,T4,6.01.01.07,Resultado com permuta fisica,-8778.0
2016-12-31,T4,6.01.01.08,Impostos,-2404.0
2016-12-31,T4,6.01.01.09,Ajuste a valor presente s/contas a receber,-7632.0
2016-12-31,T4,6.01.01.10,Provisão para plano de opções de ações,569.0
2016-12-31,T4,6.01.01.11,Reversão de provisão,0.0
2016-12-31,T4,6.01.01.12,Provisão participação nos resultados,0.0
2016-12-31,T4,6.01.01.13,Participação de acionistas não controladores,0.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-25570.0
2016-12-31,T4,6.01.02.01,Contas a receber,193814.0
2016-12-31,T4,6.01.02.02,Estoques,-60254.0
2016-12-31,T4,6.01.02.03,Créditos diversos,-14533.0
2016-12-31,T4,6.01.02.04,Partes relacionadas,-21662.0
2016-12-31,T4,6.01.02.05,Tributos a recuperar,4390.0
2016-12-31,T4,6.01.02.06,Despesas comerciais a apropriar,0.0
2016-12-31,T4,6.01.02.07,Fornecedores,-8686.0
2016-12-31,T4,6.01.02.08,Obrigações trabalhistas,-17125.0
2016-12-31,T4,6.01.02.09,Obrigações tributárias,-2618.0
2016-12-31,T4,6.01.02.10,Credores por imóveis compromissados,-86988.0
2016-12-31,T4,6.01.02.11,Adiantamento de clientes,-2596.0
2016-12-31,T4,6.01.02.12,Contas a pagar,-13921.0
2016-12-31,T4,6.01.02.13,Partes relacionadas,4609.0
2016-12-31,T4,6.01.03,Outros,-23252.0
2016-12-31,T4,6.01.03.01,IRPJ e CSLL,-23252.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-61965.0
2016-12-31,T4,6.02.01,Acréscimo de investimentos (SCPs e SPEs),11385.0
2016-12-31,T4,6.02.02,Acréscimo de imobilizado,-6562.0
2016-12-31,T4,6.02.03,Acréscimo de intangível,-1783.0
2016-12-31,T4,6.02.04,Dividendos recebidos,7270.0
2016-12-31,T4,6.02.05,Aplicações financeiras,-72275.0
2016-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-67840.0
2016-12-31,T4,6.03.01,"Integralização de capital, liquido de gastos",0.0
2016-12-31,T4,6.03.02,Ações em tesouraria,0.0
2016-12-31,T4,6.03.03,Dividendos pagos,-40046.0
2016-12-31,T4,6.03.04,Ingressos e amortização de empréstimos,51184.0
2016-12-31,T4,6.03.05,Juros pagos,-89696.0
2016-12-31,T4,6.03.06,Integralização de capital por não controladores,10826.0
2016-12-31,T4,6.03.07,Reserva de Capital,-108.0
2016-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2016-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-3889.0
2016-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,436624.0
2016-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,432735.0
2017-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,38593.0
2017-12-31,T4,6.01.01,Caixa Gerado nas Operações,26351.0
2017-12-31,T4,6.01.01.01,Lucro liquido antes do IRPJ e CSLL,-120710.0
2017-12-31,T4,6.01.01.02,Depreciações e amortizações,23026.0
2017-12-31,T4,6.01.01.03,Resultado de equivalencia patrimonial,1380.0
2017-12-31,T4,6.01.01.04,Provisão para garantia,-8252.0
2017-12-31,T4,6.01.01.05,Juros s/encargos e financiamentos,138835.0
2017-12-31,T4,6.01.01.06,"Provisão p/riscos tributários, trabalhistas e civeis",-3268.0
2017-12-31,T4,6.01.01.07,Resultado com permuta fisica,-989.0
2017-12-31,T4,6.01.01.08,Impostos,-3005.0
2017-12-31,T4,6.01.01.09,Ajuste a valor presente s/contas a receber,-5675.0
2017-12-31,T4,6.01.01.10,Provisão para plano de opções de ações,5009.0
2017-12-31,T4,6.01.01.11,Reversão de provisão,0.0
2017-12-31,T4,6.01.01.12,Provisão participação nos resultados,0.0
2017-12-31,T4,6.01.01.13,Participação de acionistas não controladores,0.0
2017-12-31,T4,6.01.02,Variações nos Ativos e Passivos,32369.0
2017-12-31,T4,6.01.02.01,Contas a receber,258633.0
2017-12-31,T4,6.01.02.02,Estoques,-53556.0
2017-12-31,T4,6.01.02.03,Créditos diversos,4543.0
2017-12-31,T4,6.01.02.04,Partes relacionadas,-1961.0
2017-12-31,T4,6.01.02.05,Tributos a recuperar,-2260.0
2017-12-31,T4,6.01.02.06,Despesas comerciais a apropriar,0.0
2017-12-31,T4,6.01.02.07,Fornecedores,-35598.0
2017-12-31,T4,6.01.02.08,Obrigações trabalhistas,-6260.0
