cd_conta,conta,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1095643.000,1197977.000,1208069.000,1496135.000,1454977.000,1440796.000,1447221.000,1463501.000,1470516.000,1439836.000,1448986.000,1446256.000,1470715.000,1472827.000,1486038.000,1517632.000,1548519.000,1593716.000,1651654.000,1720795.000,1834454.000,1831430.000,1893442.000,1933426.000
1.01,Ativo Circulante,248761.000,321432.000,320193.000,593600.000,483022.000,454399.000,416395.000,409288.000,394550.000,382014.000,402323.000,398164.000,411100.000,416957.000,426993.000,452396.000,472346.000,493603.000,518080.000,542951.000,602480.000,572469.000,620355.000,627571.000
1.01.01,Caixa e Equivalentes de Caixa,49166.000,59767.000,79113.000,317575.000,206491.000,150184.000,136976.000,116941.000,96357.000,74568.000,70382.000,53619.000,56465.000,58423.000,51969.000,51984.000,44229.000,52490.000,48646.000,39213.000,57598.000,32748.000,30999.000,13646.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2426.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,114.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,13086.000,25462.000,18910.000,59550.000,71396.000,76709.000,83876.000,89586.000,95738.000,107875.000,126587.000,129502.000,134466.000,147443.000,152810.000,155933.000,160447.000,172755.000,174480.000,172503.000,196038.000,199664.000,236642.000,275192.000
1.01.04,Estoques,129448.000,142135.000,127921.000,129764.000,131905.000,150290.000,129754.000,135249.000,140068.000,144892.000,147256.000,151407.000,155544.000,146685.000,161145.000,176376.000,189124.000,194991.000,222596.000,253550.000,280444.000,281175.000,282019.000,269341.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,35319.000,35341.000,29753.000,37258.000,37407.000,38290.000,37676.000,37814.000,38691.000,36750.000,40452.000,43786.000,47463.000,42292.000,38831.000,43202.000,51262.000,47763.000,39603.000,45533.000,36460.000,30590.000,29934.000,33107.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,21742.000,58727.000,64496.000,49453.000,35823.000,38926.000,28113.000,29698.000,23696.000,15503.000,17646.000,19850.000,17162.000,22114.000,22238.000,24901.000,27284.000,25490.000,32755.000,32152.000,31940.000,28292.000,40761.000,36285.000
1.02,Ativo Não Circulante,846882.000,876545.000,887876.000,902535.000,971955.000,986397.000,1030826.000,1054213.000,1075966.000,1057822.000,1046663.000,1048092.000,1059615.000,1055870.000,1059045.000,1065236.000,1076173.000,1100113.000,1133574.000,1177844.000,1231974.000,1258961.000,1273087.000,1305855.000
1.02.01,Ativo Realizável a Longo Prazo,42148.000,62501.000,68472.000,64119.000,99839.000,101862.000,95197.000,104238.000,131225.000,131886.000,129601.000,131573.000,127746.000,129729.000,128986.000,123055.000,122351.000,120393.000,119456.000,117591.000,138957.000,144763.000,144790.000,148902.000
1.02.02,Investimentos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.02.03,Imobilizado,181403.000,192846.000,199938.000,221560.000,257112.000,271839.000,321162.000,337156.000,334463.000,318232.000,311630.000,311981.000,327788.000,324035.000,327372.000,340448.000,353422.000,378299.000,411005.000,453199.000,486941.000,509319.000,523535.000,551543.000
1.02.04,Intangível,623331.000,621198.000,619466.000,616856.000,615004.000,612696.000,614467.000,612819.000,610278.000,607704.000,605432.000,604538.000,604081.000,602106.000,602687.000,601733.000,600400.000,601421.000,603113.000,607054.000,606076.000,604879.000,604762.000,605410.000
