cd_conta,conta,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1095643.000,1197977.000,1208069.000,1496135.000,1454977.000,1440796.000,1447221.000,1463501.000,1470516.000,1439836.000,1448986.000,1446256.000,1470715.000,1472827.000,1486038.000,1517632.000,1548519.000,1593716.000,1651654.000,1720795.000,1834454.000,1831430.000,1893442.000,1933426.000
2.01,Passivo Circulante,334275.000,424663.000,467265.000,392664.000,317674.000,321249.000,316757.000,341880.000,357243.000,329424.000,338112.000,331453.000,342648.000,350371.000,359235.000,381542.000,407884.000,429347.000,449928.000,479458.000,528585.000,530254.000,574244.000,589605.000
2.01.01,Obrigações Sociais e Trabalhistas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.02,Fornecedores,113534.000,115303.000,104924.000,133208.000,133177.000,142054.000,148879.000,167665.000,187296.000,187350.000,196075.000,200519.000,222526.000,224187.000,230419.000,247037.000,273028.000,274913.000,294244.000,309299.000,374735.000,354678.000,390090.000,382907.000
2.01.03,Obrigações Fiscais,15019.000,0.000,0.000,9047.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.04,Empréstimos e Financiamentos,131416.000,218555.000,262993.000,155593.000,84498.000,74981.000,51837.000,48495.000,48531.000,26971.000,22203.000,12764.000,2362.000,1654.000,4725.000,5401.000,9288.000,24829.000,13449.000,10679.000,10663.000,31329.000,29817.000,29455.000
2.01.05,Outras Obrigações,74306.000,90805.000,99348.000,94816.000,99999.000,104214.000,116041.000,125720.000,121416.000,115103.000,119834.000,118170.000,117760.000,124530.000,124091.000,129104.000,125568.000,129605.000,142235.000,159480.000,143187.000,144247.000,154337.000,177243.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,295319.000,313559.000,291782.000,285165.000,301144.000,291852.000,305699.000,298414.000,275135.000,279462.000,267657.000,268249.000,278574.000,274573.000,270972.000,274469.000,269780.000,292482.000,318862.000,348125.000,409157.000,404333.000,416899.000,433950.000
