data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,61742.0
2019-12-31,T4,6.01.01,Caixa Gerado nas Operações,65708.0
2019-12-31,T4,6.01.01.01,Lucro Antes do IR e CS,4175.0
2019-12-31,T4,6.01.01.02,Provisão para contingências,-11706.0
2019-12-31,T4,6.01.01.04,Depreciações e Amortizações,23060.0
2019-12-31,T4,6.01.01.07,Baixa de imobilizado e Intangível,1142.0
2019-12-31,T4,6.01.01.09,Juros sobre Empréstimos,17830.0
2019-12-31,T4,6.01.01.10,Outros ajustes ao lucro,-512.0
2019-12-31,T4,6.01.01.11,Provisão para créditos de liquidação duvidosa,423.0
2019-12-31,T4,6.01.01.12,Parcelamento de Impostos,0.0
2019-12-31,T4,6.01.01.13,Provisão para perda estoque,0.0
2019-12-31,T4,6.01.01.14,Efeito IRFS 16 / CPC 06 R2,0.0
2019-12-31,T4,6.01.01.15,Baixa por Impairment,34050.0
2019-12-31,T4,6.01.01.16,Redução de Contas a Pagar Aquisição,-63993.0
2019-12-31,T4,6.01.01.17,Depreciação direito de uso imóveis,48298.0
2019-12-31,T4,6.01.01.18,Encargos financeiros diretiro de uso,13606.0
2019-12-31,T4,6.01.01.19,Provisão / Reversão para perda estoque,-665.0
2019-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-3966.0
2019-12-31,T4,6.01.02.01,Duplicatas a receber,5105.0
2019-12-31,T4,6.01.02.02,Estoques,2752.0
2019-12-31,T4,6.01.02.03,Impostos a Recuperar,-5025.0
2019-12-31,T4,6.01.02.05,Outros Ativos Operacionais,-3660.0
2019-12-31,T4,6.01.02.06,Fornecedores,-170.0
2019-12-31,T4,6.01.02.07,Salários e contribuições,757.0
2019-12-31,T4,6.01.02.09,Impostos a recolher,-4379.0
2019-12-31,T4,6.01.02.10,Outros Passivos Operacionais,654.0
2019-12-31,T4,6.01.02.11,Outros,0.0
2019-12-31,T4,6.01.03,Outros,0.0
2019-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-24940.0
2019-12-31,T4,6.02.01,Adições - Imobilizado e Intangível,-14268.0
2019-12-31,T4,6.02.02,Baixa - Imobilizado e Intangível,263.0
2019-12-31,T4,6.02.03,Aumento de Investimento,-5000.0
2019-12-31,T4,6.02.04,Dividendos a receber,0.0
2019-12-31,T4,6.02.05,Adições - intangível,-5935.0
2019-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-45255.0
2019-12-31,T4,6.03.01,Emprestimos e Financiamentos - Capitação,133750.0
2019-12-31,T4,6.03.04,Aumento de Capital,5000.0
2019-12-31,T4,6.03.07,Pagamento de Juros,-13881.0
2019-12-31,T4,6.03.08,Empréstimos e Financiamentos - Amortização,-111130.0
2019-12-31,T4,6.03.09,Pagamento de Arrendamento Direto de Uso,-58994.0
2019-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2019-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-8453.0
2019-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,57619.0
2019-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,49166.0
2020-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,5804.0
2020-12-31,T4,6.01.01,Caixa Gerado nas Operações,77243.0
2020-12-31,T4,6.01.01.01,Lucro Antes do IR e CS,-17782.0
2020-12-31,T4,6.01.01.02,Provisão para contingências,-13561.0
2020-12-31,T4,6.01.01.04,Depreciações e Amortizações,23022.0
2020-12-31,T4,6.01.01.07,Baixa de imobilizado e Intangível,1945.0
2020-12-31,T4,6.01.01.09,Juros sobre Empréstimos,11071.0
2020-12-31,T4,6.01.01.10,Outros ajustes ao lucro,5257.0
2020-12-31,T4,6.01.01.11,Provisão para créditos de liquidação duvidosa,-513.0
2020-12-31,T4,6.01.01.12,Parcelamento de Impostos,170.0
2020-12-31,T4,6.01.01.13,Provisão para perda estoque,0.0
2020-12-31,T4,6.01.01.14,Efeito IRFS 16 / CPC 06 R2,0.0
2020-12-31,T4,6.01.01.15,Baixa por Impairment,0.0
2020-12-31,T4,6.01.01.16,Redução de Contas a Pagar Aquisição,0.0
2020-12-31,T4,6.01.01.17,Depreciação direito de uso imóveis,53934.0
2020-12-31,T4,6.01.01.18,Encargos financeiros diretiro de uso,13408.0
2020-12-31,T4,6.01.01.19,Provisão / Reversão para perda estoque,292.0
2020-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-71439.0
2020-12-31,T4,6.01.02.01,Duplicatas a receber,-57796.0
2020-12-31,T4,6.01.02.02,Estoques,-2749.0
2020-12-31,T4,6.01.02.03,Impostos a Recuperar,-24337.0
2020-12-31,T4,6.01.02.05,Outros Ativos Operacionais,-2415.0
2020-12-31,T4,6.01.02.06,Fornecedores,19643.0
2020-12-31,T4,6.01.02.07,Salários e contribuições,1113.0
2020-12-31,T4,6.01.02.09,Impostos a recolher,-6373.0
2020-12-31,T4,6.01.02.10,Outros Passivos Operacionais,1475.0
2020-12-31,T4,6.01.02.11,Outros,0.0
2020-12-31,T4,6.01.03,Outros,0.0
2020-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-35644.0
2020-12-31,T4,6.02.01,Adições - Imobilizado e Intangível,-27728.0
2020-12-31,T4,6.02.02,Baixa - Imobilizado e Intangível,20.0
2020-12-31,T4,6.02.03,Aumento de Investimento,-3000.0
2020-12-31,T4,6.02.04,Dividendos a receber,0.0
2020-12-31,T4,6.02.05,Adições - intangível,-4936.0
