# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-16 21:20:36
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2019,3.01,1132211.000,1132211.000,0.000,0.000,OK
2019,3.02,-790271.000,-790271.000,0.000,0.000,OK
2019,3.03,341940.000,341940.000,0.000,0.000,OK
2019,3.04,-362860.000,-362860.000,0.000,0.000,OK
2019,3.04.02,-256585.000,-256585.000,0.000,0.000,OK
2019,3.04.05,-106275.000,-106275.000,0.000,0.000,OK
2019,3.04.05.02,-711.000,-711.000,0.000,0.000,OK
2019,3.04.06,0.000,0.000,0.000,0.000,OK
2019,3.05,-20920.000,-20920.000,0.000,0.000,OK
2019,3.06,25095.000,25095.000,0.000,0.000,OK
2019,3.06.01,65369.000,65369.000,0.000,0.000,OK
2019,3.06.02,-40274.000,-40274.000,0.000,0.000,OK
2019,3.07,4175.000,4175.000,0.000,0.000,OK
2019,3.08,-11662.000,-11662.000,0.000,0.000,OK
2019,3.09,-7487.000,-7487.000,0.000,0.000,OK
2019,3.10,0.000,0.000,0.000,0.000,OK
2019,3.11,-7487.000,-7487.000,0.000,0.000,OK
2019,3.11.01,-7487.000,-7487.000,0.000,0.000,OK
2019,3.11.02,0.000,0.000,0.000,0.000,OK
2020,3.01,1004375.000,1004375.000,0.000,0.000,OK
2020,3.02,-679468.000,-679468.000,0.000,0.000,OK
2020,3.03,324907.000,324907.000,0.000,0.000,OK
2020,3.04,-318260.000,-318260.000,0.000,0.000,OK
2020,3.04.02,-266318.000,-266318.000,0.000,0.000,OK
2020,3.04.05,-51942.000,-51942.000,0.000,0.000,OK
2020,3.04.05.02,0.000,0.000,0.000,0.000,OK
2020,3.04.06,0.000,0.000,0.000,0.000,OK
2020,3.05,6647.000,6647.000,0.000,0.000,OK
2020,3.06,-24429.000,-24429.000,0.000,0.000,OK
2020,3.06.01,8415.000,8415.000,0.000,0.000,OK
2020,3.06.02,-32844.000,-32844.000,0.000,0.000,OK
2020,3.07,-17782.000,-17782.000,0.000,0.000,OK
2020,3.08,17905.000,17905.000,0.000,0.000,OK
2020,3.09,123.000,123.000,0.000,0.000,OK
2020,3.10,0.000,0.000,0.000,0.000,OK
2020,3.11,123.000,123.000,0.000,0.000,OK
2020,3.11.01,123.000,123.000,0.000,0.000,OK
2020,3.11.02,0.000,0.000,0.000,0.000,OK
2021,3.01,1141394.000,1141394.000,0.000,0.000,OK
2021,3.02,-770496.000,-770496.000,0.000,0.000,OK
2021,3.03,370898.000,370898.000,0.000,0.000,OK
2021,3.04,-373010.000,-373010.000,0.000,0.000,OK
2021,3.04.02,-295580.000,-295580.000,0.000,0.000,OK
2021,3.04.05,-77430.000,-77430.000,0.000,0.000,OK
2021,3.04.05.02,0.000,0.000,0.000,0.000,OK
2021,3.04.06,0.000,0.000,0.000,0.000,OK
2021,3.05,-2112.000,-2112.000,0.000,0.000,OK
2021,3.06,-17074.000,-17074.000,0.000,0.000,OK
2021,3.06.01,7152.000,7152.000,0.000,0.000,OK
2021,3.06.02,-24226.000,-24226.000,0.000,0.000,OK
2021,3.07,-19186.000,-19186.000,0.000,0.000,OK
2021,3.08,21165.000,21165.000,0.000,0.000,OK
2021,3.09,1979.000,1979.000,0.000,0.000,OK
2021,3.10,0.000,0.000,0.000,0.000,OK
2021,3.11,1979.000,1979.000,0.000,0.000,OK
2021,3.11.01,1979.000,1979.000,0.000,0.000,OK
2021,3.11.02,0.000,0.000,0.000,0.000,OK
2022,3.01,1483148.000,1483148.000,0.000,0.000,OK
2022,3.02,-1007636.000,-1007636.000,0.000,0.000,OK
2022,3.03,475512.000,475512.000,0.000,0.000,OK
2022,3.04,-439880.000,-439880.000,0.000,0.000,OK
2022,3.04.02,-340220.000,-340220.000,0.000,0.000,OK
2022,3.04.05,-99660.000,-99660.000,0.000,0.000,OK
2022,3.04.05.02,0.000,0.000,0.000,0.000,OK
2022,3.04.06,0.000,0.000,0.000,0.000,OK
2022,3.05,35632.000,35632.000,0.000,0.000,OK
2022,3.06,-22855.000,-22855.000,0.000,0.000,OK
2022,3.06.01,8292.000,8292.000,0.000,0.000,OK
2022,3.06.02,-31147.000,-31147.000,0.000,0.000,OK
2022,3.07,12777.000,12777.000,0.000,0.000,OK
2022,3.08,-1422.000,-1422.000,0.000,0.000,OK
2022,3.09,11355.000,11355.000,0.000,0.000,OK
2022,3.10,0.000,0.000,0.000,0.000,OK
2022,3.11,11355.000,11355.000,0.000,0.000,OK
2022,3.11.01,11355.000,11355.000,0.000,0.000,OK
2022,3.11.02,0.000,0.000,0.000,0.000,OK
2023,3.01,1748909.000,1748909.000,0.000,0.000,OK
2023,3.02,-1196080.000,-1196080.000,0.000,0.000,OK
2023,3.03,552829.000,552829.000,0.000,0.000,OK
2023,3.04,-501506.000,-501506.000,0.000,0.000,OK
2023,3.04.02,-511205.000,-511205.000,0.000,0.000,OK
2023,3.04.05,9699.000,9699.000,0.000,0.000,OK
2023,3.04.05.02,0.000,0.000,0.000,0.000,OK
2023,3.04.06,0.000,0.000,0.000,0.000,OK
2023,3.05,51323.000,51323.000,0.000,0.000,OK
2023,3.06,-25050.000,-25050.000,0.000,0.000,OK
2023,3.06.01,5862.000,5862.000,0.000,0.000,OK
2023,3.06.02,-30912.000,-30912.000,0.000,0.000,OK
2023,3.07,26273.000,26273.000,0.000,0.000,OK
2023,3.08,-4911.000,-4911.000,0.000,0.000,OK
2023,3.09,21362.000,21362.000,0.000,0.000,OK
2023,3.10,0.000,0.000,0.000,0.000,OK
2023,3.11,21362.000,21362.000,0.000,0.000,OK
2023,3.11.01,21362.000,21362.000,0.000,0.000,OK
2023,3.11.02,0.000,0.000,0.000,0.000,OK
2024,3.01,2160645.000,2160645.000,0.000,0.000,OK
2024,3.02,-1499005.000,-1499005.000,0.000,0.000,OK
2024,3.03,661640.000,661640.000,0.000,0.000,OK
2024,3.04,-598405.000,-598405.000,0.000,0.000,OK
2024,3.04.02,-595348.000,-595348.000,0.000,0.000,OK
2024,3.04.05,-3057.000,-3057.000,0.000,0.000,OK
2024,3.04.05.02,0.000,0.000,0.000,0.000,OK
2024,3.04.06,0.000,0.000,0.000,0.000,OK
2024,3.05,63235.000,63235.000,0.000,0.000,OK
2024,3.06,-34771.000,-34771.000,0.000,0.000,OK
2024,3.06.01,8003.000,8003.000,0.000,0.000,OK
2024,3.06.02,-42774.000,-42774.000,0.000,0.000,OK
2024,3.07,28464.000,28464.000,0.000,0.000,OK
2024,3.08,-2607.000,-2607.000,0.000,0.000,OK
2024,3.09,25857.000,25857.000,0.000,0.000,OK
2024,3.10,0.000,0.000,0.000,0.000,OK
2024,3.11,25857.000,25857.000,0.000,0.000,OK
2024,3.11.01,25857.000,25857.000,0.000,0.000,OK
2024,3.11.02,0.000,0.000,0.000,0.000,OK
2025,3.01,1976455.000,,,,SEM_ANUAL
2025,3.02,-1419460.000,,,,SEM_ANUAL
2025,3.03,556995.000,,,,SEM_ANUAL
2025,3.04,-499556.000,,,,SEM_ANUAL
2025,3.04.02,-356863.000,,,,SEM_ANUAL
2025,3.04.05,1886.000,,,,SEM_ANUAL
2025,3.04.05.02,0.000,,,,SEM_ANUAL
2025,3.04.06,0.000,,,,SEM_ANUAL
2025,3.05,57439.000,,,,SEM_ANUAL
2025,3.06,-45365.000,,,,SEM_ANUAL
2025,3.06.01,1393.000,,,,SEM_ANUAL
2025,3.06.02,-46758.000,,,,SEM_ANUAL
2025,3.07,12074.000,,,,SEM_ANUAL
2025,3.08,1085.000,,,,SEM_ANUAL
2025,3.09,13159.000,,,,SEM_ANUAL
2025,3.10,0.000,,,,SEM_ANUAL
2025,3.11,13159.000,,,,SEM_ANUAL
2025,3.11.01,0.000,,,,SEM_ANUAL
2025,3.11.02,0.000,,,,SEM_ANUAL
