codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,LTM
P_L,P/L,Valuation,x,13.5435,22.5,10.0536,7.0122,14.5472,8.6784,7.4078,1.1708
P_VPA,P/VPA,Valuation,x,0.7637,0.6927,0.638,0.6094,0.7847,2.2734,2.5013,0.3953
EV_EBITDA,EV/EBITDA,Valuation,x,9.2398,10.0065,6.4296,7.2405,19.549,17.0859,11.6752,1.8287
EV_EBIT,EV/EBIT,Valuation,x,12.723,16.465,8.645,10.3542,66.5219,20.7545,13.9342,2.1825
EV_RECEITA,EV/Receita,Valuation,x,0.8652,0.6868,0.6205,0.6903,0.8503,2.7528,2.5551,0.4002
DY,Dividend Yield,Valuation,%,3.7921,,8.3925,9.1304,,4.4025,4.2416,26.8365
PAYOUT,Payout,Valuation,%,50.6535,,83.6911,64.0377,,78.0889,66.9377,66.9377
ROE,ROE,Rentabilidade,%,5.7176,3.0797,6.5384,8.9797,5.4681,13.4418,17.0568,17.0568
ROA,ROA,Rentabilidade,%,4.3811,2.4059,5.1974,7.0948,4.3423,10.4291,13.1743,13.1743
ROIC,ROIC,Rentabilidade,%,3.8756,2.6152,4.5518,3.8121,0.7624,7.5904,11.8775,11.8775
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,9.3639,6.8639,9.6502,9.5338,4.3494,16.1116,21.8851,21.8851
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,7.087,3.6048,7.4272,10.3208,6.3792,16.0996,16.2183,16.2183
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.8698,-2.0112,-1.2453,-0.3521,-1.9256,-0.6381,-0.0197,-0.0197
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0657,-0.1159,-0.1035,-0.0283,-0.0704,-0.0818,-0.0042,-0.0042
ICJ,ICJ,Endividamento,x,2.4074,1.2353,4.7725,2.651,0.5784,4.3161,8.5578,8.5578
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,65.6599,40.6261,33.7542,29.6991,31.7487,22.0233,58.8585,58.8585
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,5.1529,7.494,6.4202,6.1277,6.6178,5.2437,4.5314,4.5314
LIQ_SECA,Liquidez Seca,Liquidez,x,3.2473,4.6709,4.0253,3.4983,4.2746,3.7673,2.7591,2.7591
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.0942,2.3708,2.4299,2.3202,2.5814,2.3718,2.4092,2.4092
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6182,0.6687,0.6836,0.6625,0.6731,0.6005,0.743,0.743
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,234.4179,201.8744,222.1935,255.7167,212.6538,205.2913,219.9288,219.9288
PME,PME,Eficiência,dias,139.1344,124.8522,134.3268,156.212,116.0804,128.0112,150.9828,150.9828
NCG_RECEITA,NCG/Receita,Eficiência,%,50.2006,44.6603,46.3215,53.5612,47.1647,55.402,52.9577,52.9577
