# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-07 22:32:10
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2021,3.01,123488.0,123488.0,0.0,0.0,OK
2021,3.02,-13166.0,-13166.0,0.0,0.0,OK
2021,3.03,110322.0,110322.0,0.0,0.0,OK
2021,3.04,-183677.0,-183677.0,0.0,0.0,OK
2021,3.04.02,-123851.0,-123851.0,0.0,0.0,OK
2021,3.04.05,-59826.0,-59826.0,0.0,0.0,OK
2021,3.04.05.02,-1552.0,-1552.0,0.0,0.0,OK
2021,3.04.06,0.0,0.0,0.0,0.0,OK
2021,3.05,-73355.0,-73355.0,0.0,0.0,OK
2021,3.06,-7524.0,-7524.0,0.0,0.0,OK
2021,3.06.01,17895.0,17895.0,0.0,0.0,OK
2021,3.06.02,-25419.0,-25419.0,0.0,0.0,OK
2021,3.07,-80879.0,-80879.0,0.0,0.0,OK
2021,3.08,-1373.0,-1373.0,0.0,0.0,OK
2021,3.09,82252.0,82252.0,0.0,0.0,OK
2021,3.10,0.0,0.0,0.0,0.0,OK
2021,3.11,82252.0,82252.0,0.0,0.0,OK
2021,3.11.01,-82252.0,-82252.0,0.0,0.0,OK
2021,3.11.02,0.0,0.0,0.0,0.0,OK
2022,3.01,139111.0,139111.0,0.0,0.0,OK
2022,3.02,-14813.0,-14813.0,0.0,0.0,OK
2022,3.03,124298.0,124298.0,0.0,0.0,OK
2022,3.04,-229112.0,-229112.0,0.0,0.0,OK
2022,3.04.02,-184520.0,-184520.0,0.0,0.0,OK
2022,3.04.05,-44592.0,-44592.0,0.0,0.0,OK
2022,3.04.05.02,-427.0,-427.0,0.0,0.0,OK
2022,3.04.06,0.0,0.0,0.0,0.0,OK
2022,3.05,-104814.0,-104814.0,0.0,0.0,OK
2022,3.06,10403.0,10403.0,0.0,0.0,OK
2022,3.06.01,37512.0,37512.0,0.0,0.0,OK
2022,3.06.02,-27109.0,-27109.0,0.0,0.0,OK
2022,3.07,-94411.0,-94411.0,0.0,0.0,OK
2022,3.08,-784.0,-784.0,0.0,0.0,OK
2022,3.09,95195.0,95195.0,0.0,0.0,OK
2022,3.10,0.0,0.0,0.0,0.0,OK
2022,3.11,95195.0,95195.0,0.0,0.0,OK
2022,3.11.01,0.0,0.0,0.0,0.0,OK
2022,3.11.02,0.0,0.0,0.0,0.0,OK
2023,3.01,138661.0,138661.0,0.0,0.0,OK
2023,3.02,-19692.0,-19692.0,0.0,0.0,OK
2023,3.03,118969.0,118969.0,0.0,0.0,OK
2023,3.04,-177462.0,-177462.0,0.0,0.0,OK
2023,3.04.02,-146628.0,-146628.0,0.0,0.0,OK
2023,3.04.05,-30834.0,-30834.0,0.0,0.0,OK
2023,3.04.05.02,1276.0,1276.0,0.0,0.0,OK
2023,3.04.06,0.0,0.0,0.0,0.0,OK
2023,3.05,-58493.0,-58493.0,0.0,0.0,OK
2023,3.06,-1872.0,-1872.0,0.0,0.0,OK
