data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,8948191.0
2015-03-31,T1,1.01,Ativo Circulante,2813161.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,1006789.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,0.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.01.03,Contas a Receber,1030522.0
2015-03-31,T1,1.01.03.01,Clientes,996817.0
2015-03-31,T1,1.01.03.01.01,Contas a receber de clientes,942309.0
2015-03-31,T1,1.01.03.01.02,Contas a receber de partes relacionadas,54508.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,33705.0
2015-03-31,T1,1.01.03.02.01,Valores a receber,33705.0
2015-03-31,T1,1.01.04,Estoques,678237.0
2015-03-31,T1,1.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,87390.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,87390.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,10223.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,10223.0
2015-03-31,T1,1.02,Ativo Não Circulante,6135030.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,1820046.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
