cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,8948191.0,8859684.0,9232477.0,9008059.0,8765633.0,9373677.0,9246388.0,9340796.0,9142185.0,9085248.0,9032559.0,9465574.0,9196182.0,9487891.0,9973639.0,9622087.0,9588697.0,10344813.0,10864690.0,10714688.0,10467314.0,10969846.0,11208491.0,11498520.0,11223423.0,11890124.0,12470872.0,13420331.0,14161883.0,15395119.0,15507462.0,15624811.0,15625433.0,16154254.0,16530053.0,17920591.0,18276178.0,18437703.0,18570312.0,18144110.0,17981843.0,17988546.0,18023149.0
2.01,Passivo Circulante,1329873.0,1325319.0,1158048.0,1296843.0,1407059.0,1421274.0,1822631.0,1197206.0,1168430.0,1284360.0,1407296.0,1551576.0,1450927.0,1159729.0,1536603.0,2072546.0,1657260.0,2230549.0,2299332.0,2149913.0,1919562.0,2226234.0,2320197.0,2411801.0,2360786.0,2518299.0,2684248.0,3371691.0,3950413.0,4039639.0,3960457.0,3264920.0,3117576.0,3574845.0,3544324.0,3608696.0,3538799.0,3555624.0,3650889.0,3641566.0,3499594.0,4016635.0,4028803.0
2.01.01,Obrigações Sociais e Trabalhistas,137016.0,147003.0,163446.0,109020.0,104067.0,119578.0,134259.0,89346.0,93087.0,116256.0,134979.0,119037.0,105514.0,125227.0,148480.0,121429.0,118099.0,128042.0,174337.0,147572.0,142620.0,171510.0,201989.0,186954.0,168385.0,201704.0,227487.0,203823.0,195786.0,218436.0,249766.0,187988.0,170822.0,207838.0,241297.0,208816.0,176108.0,205076.0,247404.0,210052.0,187248.0,225190.0,256619.0
2.01.02,Fornecedores,193473.0,150712.0,169716.0,208141.0,172654.0,251963.0,186301.0,214226.0,260182.0,289648.0,251656.0,296372.0,301141.0,358737.0,397355.0,441289.0,393949.0,385557.0,451511.0,625279.0,633326.0,625694.0,854426.0,1089575.0,1151965.0,1223145.0,1245967.0,1649162.0,1530827.0,1498276.0,1329410.0,1230423.0,1124173.0,1099960.0,977293.0,1174772.0,1077458.0,1159782.0,1230583.0,1262135.0,1135162.0,1220713.0,1098034.0
2.01.03,Obrigações Fiscais,82001.0,56332.0,67471.0,60856.0,56170.0,82665.0,58258.0,68558.0,61844.0,40951.0,56311.0,143726.0,55266.0,70097.0,75636.0,51766.0,59387.0,62242.0,108509.0,136902.0,65571.0,102129.0,147765.0,91636.0,117253.0,125821.0,159668.0,92090.0,117423.0,159137.0,158427.0,188756.0,168501.0,143160.0,148530.0,166043.0,164930.0,140184.0,175900.0,198837.0,172467.0,164145.0,222532.0
2.01.04,Empréstimos e Financiamentos,825442.0,704062.0,517989.0,497377.0,849858.0,819797.0,1307592.0,681110.0,620034.0,698675.0,827234.0,764824.0,836053.0,447545.0,727533.0,704413.0,628512.0,1183100.0,1059808.0,871865.0,877083.0,1082940.0,787830.0,573384.0,519548.0,505295.0,537220.0,849252.0,1487870.0,1506163.0,1568394.0,761916.0,713624.0,1279539.0,1344552.0,1091758.0,1204138.0,981346.0,1052257.0,1263794.0,1302470.0,1789085.0,1787662.0
2.01.05,Outras Obrigações,91941.0,267210.0,239426.0,421449.0,224310.0,147271.0,136221.0,143966.0,133283.0,138830.0,137116.0,227617.0,152953.0,158123.0,187599.0,753649.0,457313.0,471608.0,505167.0,368295.0,200962.0,243961.0,328187.0,470252.0,403635.0,462334.0,513906.0,577364.0,618507.0,657627.0,654460.0,895837.0,940456.0,844348.0,832652.0,967307.0,916165.0,1069236.0,944745.0,706748.0,702247.0,617502.0,663956.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,2941756.0,2846896.0,3315876.0,3094740.0,2857192.0,3392541.0,2852928.0,3572938.0,3406257.0,3203502.0,2947164.0,3197679.0,2973844.0,3331152.0,3046310.0,2914674.0,3260544.0,3385300.0,3799022.0,3632607.0,3770386.0,4020292.0,4008301.0,3898355.0,3837535.0,3716235.0,3771529.0,4313729.0,4706473.0,5613335.0,5639073.0,6398327.0,6472673.0,6451002.0,6471605.0,7789817.0,8241822.0,8187738.0,8191079.0,7307449.0,7376914.0,6924430.0,7004444.0
2.02.01,Empréstimos e Financiamentos,2002416.0,2103582.0,2384947.0,2326912.0,2048414.0,2625998.0,2072897.0,2775931.0,2633860.0,2444927.0,2209991.0,2410000.0,2180799.0,2542072.0,2263265.0,2158191.0,2017044.0,2094912.0,2148247.0,2076675.0,2510753.0,2695361.0,2657268.0,2632337.0,2612263.0,2591760.0,2574167.0,3020396.0,3231894.0,4029456.0,4037633.0,4837703.0,4838573.0,4691405.0,4733207.0,5872773.0,6320438.0,6074591.0,6064052.0,5215800.0,5220092.0,4823056.0,4818606.0
