cd_conta,conta,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,284943.0,301426.0,347111.0,345189.0,345060.0,370647.0,368478.0,413673.0,409446.0,441746.0,417226.0,447980.0,437279.0,481008.0,491614.0,499589.0,527063.0,523098.0,512986.0,519532.0,526986.0,548977.0,560724.0,571079.0,593500.0,616155.0,618724.0,644494.0,630349.0,631615.0
1.01,Ativo Circulante,122891.0,132757.0,112601.0,128390.0,112292.0,127456.0,128976.0,179646.0,175202.0,199668.0,164709.0,192598.0,177814.0,217605.0,207716.0,192022.0,213180.0,200341.0,180706.0,185035.0,187605.0,205743.0,219742.0,232276.0,252772.0,273868.0,266560.0,276196.0,252398.0,248216.0
1.01.01,Caixa e Equivalentes de Caixa,4691.0,1298.0,1929.0,5176.0,4253.0,8919.0,4985.0,41983.0,34438.0,41050.0,21563.0,34488.0,10858.0,24754.0,22696.0,7126.0,6465.0,8139.0,12611.0,7927.0,7802.0,5959.0,14899.0,12334.0,12871.0,14956.0,12904.0,10115.0,11442.0,20817.0
1.01.02,Aplicações Financeiras,3523.0,2062.0,3657.0,2646.0,2470.0,3524.0,3928.0,2995.0,2834.0,3637.0,3022.0,2994.0,1558.0,1117.0,1287.0,1756.0,1378.0,1410.0,1424.0,468.0,307.0,276.0,285.0,136.0,77.0,62.0,0.0,68.0,193.0,0.0
1.01.03,Contas a Receber,55963.0,60669.0,50620.0,70313.0,55510.0,62736.0,74768.0,85003.0,86125.0,80444.0,71492.0,71645.0,80203.0,104784.0,99747.0,86745.0,109010.0,98967.0,81791.0,89148.0,86300.0,96697.0,100506.0,105431.0,116941.0,128170.0,117534.0,120597.0,105413.0,97031.0
1.01.04,Estoques,43616.0,52309.0,42432.0,38425.0,38660.0,39494.0,33850.0,37007.0,39844.0,39103.0,38196.0,46620.0,53926.0,61847.0,61980.0,68618.0,67501.0,73107.0,70752.0,72218.0,73393.0,79989.0,81374.0,87589.0,91413.0,97532.0,102041.0,97157.0,92074.0,90384.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,13841.0,15124.0,12838.0,10522.0,9447.0,11245.0,10803.0,12071.0,11430.0,34619.0,29402.0,31245.0,30115.0,23249.0,20448.0,19163.0,18544.0,13504.0,10974.0,11105.0,15452.0,19047.0,19299.0,20186.0,26502.0,28562.0,30004.0,44135.0,39910.0,36923.0
1.01.07,Despesas Antecipadas,1257.0,1295.0,1125.0,1308.0,1952.0,1538.0,642.0,587.0,531.0,815.0,602.0,889.0,744.0,1407.0,1536.0,1532.0,1353.0,1760.0,1684.0,1860.0,1773.0,1830.0,1360.0,1313.0,1405.0,2003.0,1399.0,1203.0,2205.0,1944.0
1.01.08,Outros Ativos Circulantes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,4717.0,410.0,447.0,22.0,7082.0,8929.0,3454.0,1470.0,2309.0,2578.0,1945.0,2019.0,5287.0,3563.0,2583.0,2678.0,2921.0,1161.0,1117.0
1.02,Ativo Não Circulante,162052.0,168669.0,234510.0,216799.0,232768.0,243191.0,239502.0,234027.0,234244.0,242078.0,252517.0,255382.0,259465.0,263403.0,283898.0,307567.0,313883.0,322757.0,332280.0,334497.0,339381.0,343234.0,340982.0,338803.0,340728.0,342287.0,352164.0,368298.0,377951.0,383399.0
1.02.01,Ativo Realizável a Longo Prazo,5393.0,4513.0,13968.0,13818.0,47054.0,46855.0,45372.0,43838.0,40285.0,37425.0,46026.0,44177.0,42186.0,41937.0,33040.0,33564.0,33862.0,29153.0,30145.0,29698.0,29853.0,29456.0,27057.0,26299.0,24457.0,23320.0,24656.0,37533.0,37931.0,37909.0
1.02.02,Investimentos,776.0,1393.0,2106.0,5054.0,2304.0,2916.0,3150.0,2458.0,2821.0,13329.0,11868.0,11786.0,12285.0,12030.0,11712.0,12031.0,12490.0,12406.0,13081.0,76920.0,77574.0,78513.0,79286.0,79780.0,80635.0,81545.0,87455.0,88303.0,89460.0,90188.0
1.02.03,Imobilizado,155224.0,162119.0,217766.0,197291.0,182768.0,192799.0,190380.0,187081.0,190465.0,190610.0,193906.0,197753.0,203292.0,207719.0,237476.0,260275.0,265763.0,279512.0,286976.0,224903.0,228999.0,232357.0,231818.0,229976.0,232846.0,234547.0,237268.0,239146.0,246911.0,251554.0
1.02.04,Intangível,659.0,644.0,670.0,636.0,642.0,621.0,600.0,650.0,673.0,714.0,717.0,1666.0,1702.0,1717.0,1670.0,1697.0,1768.0,1686.0,2078.0,2976.0,2955.0,2908.0,2821.0,2748.0,2790.0,2875.0,2785.0,3316.0,3649.0,3748.0
