data_fim,trimestre,cd_conta,ds_conta,valor_mil
2018-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,57620.0
2018-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-43615.0
2018-06-30,T2,3.03,Resultado Bruto,14005.0
2018-06-30,T2,3.04,Despesas/Receitas Operacionais,-9524.0
2018-06-30,T2,3.04.01,Despesas com Vendas,-5189.0
2018-06-30,T2,3.04.01.01,Comissões,-1672.0
2018-06-30,T2,3.04.01.02,Materiais,-14.0
2018-06-30,T2,3.04.01.03,Mão de Obra,-730.0
2018-06-30,T2,3.04.01.04,Gastos Gerais Fixos,-1177.0
2018-06-30,T2,3.04.01.05,Despesas Variaveis de Vendas,-1596.0
2018-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-4230.0
2018-06-30,T2,3.04.02.01,Materiais,-135.0
2018-06-30,T2,3.04.02.02,Mão de Obra,-1259.0
2018-06-30,T2,3.04.02.03,Gastos Gerais Fixos,-1869.0
2018-06-30,T2,3.04.02.04,Remuneração dos Administradores,-967.0
2018-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2018-06-30,T2,3.04.04,Outras Receitas Operacionais,706.0
2018-06-30,T2,3.04.05,Outras Despesas Operacionais,-811.0
2018-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2018-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,4481.0
2018-06-30,T2,3.06,Resultado Financeiro,-1856.0
2018-06-30,T2,3.06.01,Receitas Financeiras,1077.0
2018-06-30,T2,3.06.02,Despesas Financeiras,-2933.0
2018-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,2625.0
2018-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-90.0
2018-06-30,T2,3.08.01,Corrente,-2672.0
2018-06-30,T2,3.08.02,Diferido,2582.0
2018-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,2535.0
2018-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2018-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2018-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2018-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,2535.0
2018-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,2535.0
2018-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,0.0
2018-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2018-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2018-06-30,T2,3.99.01.01,ON,0.26
2018-06-30,T2,3.99.01.02,PN,0.2
2018-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2018-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,68293.0
2018-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-52499.0
2018-09-30,T3,3.03,Resultado Bruto,15794.0
2018-09-30,T3,3.04,Despesas/Receitas Operacionais,-10984.0
2018-09-30,T3,3.04.01,Despesas com Vendas,-5725.0
2018-09-30,T3,3.04.01.01,Comissões,-2046.0
2018-09-30,T3,3.04.01.02,Materiais,-18.0
2018-09-30,T3,3.04.01.03,Mão de Obra,-863.0
2018-09-30,T3,3.04.01.04,Gastos Gerais Fixos,-849.0
2018-09-30,T3,3.04.01.05,Despesas Variáveis de Vendas,-1949.0
2018-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-4629.0
2018-09-30,T3,3.04.02.01,Materiais,-143.0
2018-09-30,T3,3.04.02.02,Mão de Obra,-1469.0
2018-09-30,T3,3.04.02.03,Gastos Gerais Fixos,-1939.0
2018-09-30,T3,3.04.02.04,Remuneração dos Administradores,-1078.0
2018-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2018-09-30,T3,3.04.04,Outras Receitas Operacionais,710.0
2018-09-30,T3,3.04.05,Outras Despesas Operacionais,-1031.0
2018-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,-309.0
2018-09-30,T3,3.04.06.01,Altona Europa,-309.0
2018-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,4810.0
2018-09-30,T3,3.06,Resultado Financeiro,-1021.0
2018-09-30,T3,3.06.01,Receitas Financeiras,1659.0
2018-09-30,T3,3.06.02,Despesas Financeiras,-2680.0
2018-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,3789.0
2018-09-30,T3,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-243.0
2018-09-30,T3,3.08.01,Corrente,-132.0
2018-09-30,T3,3.08.02,Diferido,-111.0
2018-09-30,T3,3.09,Resultado Líquido das Operações Continuadas,3546.0
2018-09-30,T3,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2018-09-30,T3,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2018-09-30,T3,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2018-09-30,T3,3.11,Lucro/Prejuízo Consolidado do Período,3546.0
2018-09-30,T3,3.11.01,Atribuído a Sócios da Empresa Controladora,3546.0
2018-09-30,T3,3.11.02,Atribuído a Sócios Não Controladores,0.0
2018-09-30,T3,3.99,Lucro por Ação - (Reais / Ação),0.0
