cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,12850288.000,12997690.000,12197897.000,12783889.000,12028563.000,12258427.000,11658794.000,11626718.000,12265121.000,12127365.000,12204071.000,12150960.000,12654397.000,12863045.000,12427952.000,12327230.000,13620546.000,14106640.000,14214672.000,14675612.000,15289386.000,14893758.000,14499717.000,15621291.000,14419691.000,14792314.000,14813559.000,15235725.000,19568513.000,18936577.000,20228352.000,22737832.000,23735545.000,23425298.000,27577405.000,27904721.000,30135578.000,31399198.000,32193656.000,34397622.000,35186248.000,35937734.000,37828489.000,38840662.000,38115725.000,39605144.000,39662950.000,39685534.000,38186752.000,39605625.000,40262962.000,39397401.000,42224473.000,45457951.000,46436727.000,48260956.000,50112301.000,52761221.000,53308650.000,56544112.000
1.01,Ativo Circulante,1906733.000,2056476.000,1314913.000,1943860.000,1526208.000,1531979.000,1232514.000,1278393.000,1985305.000,1867584.000,1872163.000,1788689.000,2338458.000,2401269.000,2000593.000,2035584.000,3284956.000,3414354.000,3477219.000,3547664.000,4431818.000,4068797.000,3607107.000,4530898.000,3355091.000,3435856.000,3009796.000,3091044.000,3735779.000,2712584.000,3131449.000,4388038.000,4556677.000,3489298.000,4018821.000,4474457.000,6745671.000,7305287.000,8108917.000,9135347.000,7733297.000,7291161.000,8718941.000,8598380.000,8517934.000,8048054.000,7815963.000,9389673.000,7378528.000,8041228.000,7818425.000,6324336.000,8913451.000,8595868.000,7630154.000,7310767.000,7198390.000,8806605.000,8824865.000,8217512.000
1.01.01,Caixa e Equivalentes de Caixa,1082580.000,1290965.000,542494.000,1127573.000,781808.000,645077.000,482943.000,423336.000,1179976.000,815302.000,985329.000,765300.000,1224276.000,1132671.000,818036.000,450140.000,1604731.000,1618102.000,1744458.000,1941737.000,2396854.000,2263473.000,2104723.000,3085348.000,1815340.000,1851322.000,1505457.000,1561517.000,1930070.000,716144.000,1046381.000,2442566.000,2415792.000,950274.000,1642323.000,1719426.000,3870261.000,4188050.000,4799482.000,5696689.000,4538946.000,4314022.000,5074016.000,4639451.000,5156406.000,4587654.000,4313392.000,3764944.000,2235887.000,2941750.000,4753812.000,3085251.000,5255767.000,5262245.000,4211142.000,4049171.000,3958758.000,5574639.000,5660413.000,4625662.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,531106.000,509464.000,523016.000,534578.000,542149.000,595343.000,565321.000,674976.000,622916.000,783173.000,614812.000,759659.000,879927.000,983043.000,887944.000,1176251.000,1272801.000,1227943.000,1205128.000,1052897.000,917851.000,898381.000,867836.000,859400.000,873551.000,920987.000,780858.000,793354.000,1058469.000,1261586.000,1263455.000,1146146.000,1181379.000,1357040.000,1336032.000,1512132.000,1451227.000,1479169.000,1465911.000,1682403.000,1755601.000,1506536.000,1265461.000,1289531.000,1114105.000,1202250.000,1075185.000,1173598.000,1143117.000,1089944.000,988581.000,1045525.000,1457836.000,1098802.000,1026428.000,1102718.000,1174405.000,1108224.000,1040849.000,1338373.000
1.01.04,Estoques,46032.000,51695.000,43217.000,47320.000,42837.000,49281.000,46910.000,41526.000,45374.000,54120.000,61925.000,63221.000,64785.000,68888.000,73018.000,73745.000,70259.000,78323.000,89675.000,85898.000,88888.000,99104.000,104330.000,96649.000,105541.000,110280.000,105817.000,105631.000,98249.000,138253.000,133262.000,95562.000,125681.000,192611.000,217592.000,227895.000,220964.000,198491.000,264181.000,238765.000,189428.000,188105.000,183881.000,154794.000,151146.000,152184.000,173237.000,57460.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,91818.000,101683.000,108476.000,140650.000,64294.000,153495.000,66525.000,63157.000,64749.000,65895.000,59880.000,52275.000,81582.000,78416.000,80797.000,62083.000,50751.000,52739.000,44314.000,39915.000,46385.000,41218.000,33667.000,25572.000,14589.000,14685.000,52563.000,52959.000,0.000,0.000,0.000,0.000,98978.000,100502.000,108084.000,106713.000,166833.000,102619.000,172415.000,213041.000,140785.000,118542.000,121523.000,198997.000,248324.000,240763.000,383226.000,216113.000,181438.000,116290.000,215699.000,230517.000,249839.000,248799.000,312486.000,307581.000,490704.000,487306.000,484703.000,467307.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,155197.000,102669.000,97710.000,93739.000,95120.000,88783.000,70815.000,75398.000,72290.000,149094.000,150217.000,148234.000,87888.000,138251.000,140798.000,273365.000,286414.000,437247.000,393644.000,427217.000,981840.000,766621.000,496551.000,463929.000,546070.000,538582.000,565101.000,577583.000,648991.000,596601.000,688351.000,703764.000,734847.000,888871.000,714790.000,908291.000,1036386.000,1336958.000,1406928.000,1304449.000,1108537.000,1163956.000,2074060.000,2315607.000,1847953.000,1865203.000,1870923.000,4177558.000,3818086.000,3893244.000,1860333.000,1963043.000,1950009.000,1986022.000,2080098.000,1851297.000,1574523.000,1636436.000,1638900.000,1786170.000
