data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,2,Passivo Total,12850288.0
2010-12-31,T4,2.01,Passivo Circulante,2259838.0
2010-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,54881.0
2010-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2010-12-31,T4,2.01.01.02,Obrigações Trabalhistas,54881.0
2010-12-31,T4,2.01.02,Fornecedores,268851.0
2010-12-31,T4,2.01.02.01,Fornecedores Nacionais,268851.0
2010-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2010-12-31,T4,2.01.03,Obrigações Fiscais,457937.0
2010-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,424481.0
2010-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,398032.0
2010-12-31,T4,2.01.03.01.02,PIS e Cofins a Pagar,21212.0
2010-12-31,T4,2.01.03.01.03,INSS a Pagar,3960.0
2010-12-31,T4,2.01.03.01.04,Outros,1277.0
2010-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,32225.0
2010-12-31,T4,2.01.03.02.01,ICMS a Pagar,32225.0
2010-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,1231.0
2010-12-31,T4,2.01.03.03.01,ISS a Pagar,1231.0
2010-12-31,T4,2.01.04,Empréstimos e Financiamentos,1094431.0
2010-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,189414.0
2010-12-31,T4,2.01.04.01.01,Em Moeda Nacional,169298.0
2010-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,20116.0
2010-12-31,T4,2.01.04.02,Debêntures,905017.0
2010-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2010-12-31,T4,2.01.05,Outras Obrigações,372872.0
2010-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2010-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2010-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2010-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2010-12-31,T4,2.01.05.02,Outros,372872.0
2010-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,189509.0
2010-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2010-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2010-12-31,T4,2.01.05.02.04,Obrigações com o programa de pesquisa e desenvolvimento,14991.0
2010-12-31,T4,2.01.05.02.05,Concessões a Pagar,42297.0
2010-12-31,T4,2.01.05.02.06,Benefícios pós-emprego,25939.0
2010-12-31,T4,2.01.05.02.07,Outros,100136.0
2010-12-31,T4,2.01.06,Provisões,10866.0
2010-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,10866.0
2010-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2010-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,4000.0
2010-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2010-12-31,T4,2.01.06.01.04,Provisões Cíveis,6866.0
2010-12-31,T4,2.01.06.02,Outras Provisões,0.0
2010-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2010-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2010-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2010-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2010-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,2.02,Passivo Não Circulante,5517766.0
2010-12-31,T4,2.02.01,Empréstimos e Financiamentos,3349489.0
2010-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,2567145.0
2010-12-31,T4,2.02.01.01.01,Em Moeda Nacional,2373681.0
2010-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,193464.0
2010-12-31,T4,2.02.01.02,Debêntures,782344.0
2010-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0
2010-12-31,T4,2.02.02,Outras Obrigações,1579170.0
2010-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2010-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2010-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2010-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2010-12-31,T4,2.02.02.02,Outros,1579170.0
2010-12-31,T4,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2010-12-31,T4,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0
2010-12-31,T4,2.02.02.02.03,Obrigações com programa de pesquisa e desenvolvimento,41260.0
2010-12-31,T4,2.02.02.02.04,Concessões a Pagar,1092650.0
2010-12-31,T4,2.02.02.02.05,Benefícios pós-emprego,409452.0
2010-12-31,T4,2.02.02.02.06,Outras obrigações,35808.0
2010-12-31,T4,2.02.03,Tributos Diferidos,445691.0
2010-12-31,T4,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,445691.0
2010-12-31,T4,2.02.04,Provisões,143416.0
2010-12-31,T4,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,143416.0
2010-12-31,T4,2.02.04.01.01,Provisões Fiscais,32260.0
2010-12-31,T4,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,9579.0
2010-12-31,T4,2.02.04.01.03,Provisões para Benefícios a Empregados,0.0
2010-12-31,T4,2.02.04.01.04,Provisões Cíveis,101577.0
2010-12-31,T4,2.02.04.02,Outras Provisões,0.0
2010-12-31,T4,2.02.04.02.01,Provisões para Garantias,0.0
2010-12-31,T4,2.02.04.02.02,Provisões para Reestruturação,0.0
2010-12-31,T4,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2010-12-31,T4,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2010-12-31,T4,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,2.02.06,Lucros e Receitas a Apropriar,0.0
2010-12-31,T4,2.02.06.01,Lucros a Apropriar,0.0
