cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,12850288.000,12997690.000,12197897.000,12783889.000,12028563.000,12258427.000,11658794.000,11626718.000,12265121.000,12127365.000,12204071.000,12150960.000,12654397.000,12863045.000,12427952.000,12327230.000,13620546.000,14106640.000,14214672.000,14675612.000,15289386.000,14893758.000,14499717.000,15621291.000,14419691.000,14792314.000,14813559.000,15235725.000,19568513.000,18936577.000,20228352.000,22737832.000,23735545.000,23425298.000,27577405.000,27904721.000,30135578.000,31399198.000,32193656.000,34397622.000,35186248.000,35937734.000,37828489.000,38840662.000,38115725.000,39605144.000,39662950.000,39685534.000,38186752.000,39605625.000,40262962.000,39397401.000,42224473.000,45457951.000,46436727.000,48260956.000,50112301.000,52761221.000,53308650.000,56544112.000
2.01,Passivo Circulante,2259838.000,2108457.000,1289422.000,2071174.000,1472698.000,1662008.000,1056531.000,1434909.000,1690673.000,1695587.000,1513814.000,1805184.000,2183704.000,1867927.000,1940408.000,1899599.000,1954081.000,1809787.000,1895045.000,1698446.000,2977377.000,2428695.000,2074568.000,2856943.000,1800794.000,1491991.000,1588699.000,2508927.000,5676471.000,4327783.000,2097572.000,3224954.000,4170261.000,2975353.000,3768873.000,3302317.000,5979644.000,5865344.000,5520632.000,5880623.000,5380926.000,4067742.000,5709206.000,5898206.000,5775159.000,5791562.000,5589275.000,7457749.000,5890219.000,6735339.000,6118500.000,5807371.000,6113665.000,5689275.000,6399887.000,7157174.000,7273026.000,6909487.000,6220539.000,7600856.000
2.01.01,Obrigações Sociais e Trabalhistas,54881.000,57062.000,40165.000,51599.000,53710.000,62320.000,44769.000,56668.000,61785.000,68532.000,48795.000,62428.000,64122.000,68473.000,53576.000,70656.000,71909.000,82204.000,62478.000,82744.000,102992.000,112662.000,83158.000,101011.000,94753.000,102017.000,74371.000,91754.000,94879.000,107919.000,75789.000,95496.000,99572.000,112957.000,82205.000,102478.000,106005.000,123539.000,86169.000,109134.000,130097.000,150941.000,109531.000,140390.000,171232.000,185523.000,118439.000,130352.000,153809.000,170535.000,110162.000,131901.000,136387.000,159023.000,117564.000,138224.000,130989.000,151826.000,103417.000,133072.000
2.01.02,Fornecedores,268851.000,254263.000,264264.000,323423.000,234336.000,266972.000,259393.000,262829.000,219328.000,274937.000,213586.000,317179.000,510346.000,789564.000,621606.000,390560.000,641702.000,490939.000,646374.000,623351.000,573573.000,649465.000,366098.000,367518.000,371149.000,392004.000,472403.000,449457.000,617396.000,551303.000,669605.000,593957.000,588471.000,525258.000,581903.000,537848.000,765020.000,767785.000,611431.000,681365.000,861752.000,794615.000,779013.000,990139.000,649962.000,609664.000,609743.000,569452.000,535398.000,522359.000,676443.000,632700.000,828865.000,1020951.000,1075946.000,1212137.000,1099881.000,915038.000,760025.000,924589.000
2.01.03,Obrigações Fiscais,457937.000,191529.000,300915.000,398109.000,352009.000,195371.000,155380.000,350642.000,416076.000,215349.000,314121.000,482503.000,434166.000,118942.000,89123.000,247791.000,228464.000,48243.000,58531.000,20764.000,17799.000,90722.000,66018.000,107047.000,81023.000,90229.000,84018.000,129576.000,181351.000,108477.000,111416.000,85494.000,102033.000,117438.000,179897.000,199446.000,176395.000,32383.000,190442.000,131463.000,198541.000,62598.000,121403.000,92289.000,82443.000,163092.000,51887.000,104767.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.04,Empréstimos e Financiamentos,1094431.000,1159491.000,474926.000,426627.000,417464.000,433230.000,406499.000,554356.000,527085.000,673079.000,662172.000,660701.000,666915.000,535146.000,355772.000,431546.000,454763.000,832098.000,828828.000,646674.000,1712979.000,1279720.000,1199461.000,1226824.000,299743.000,325625.000,336550.000,326008.000,3075918.000,3132190.000,853618.000,910426.000,664882.000,651750.000,1461656.000,1592009.000,2842160.000,3662645.000,3633739.000,3371603.000,1825003.000,2072074.000,2274837.000,2188540.000,3390934.000,3282522.000,2690464.000,2600691.000,1545820.000,2268206.000,1826650.000,2178965.000,2455032.000,2036223.000,2101735.000,2726232.000,2610790.000,2748957.000,2805495.000,3122549.000
2.01.05,Outras Obrigações,372872.000,407974.000,196410.000,857670.000,370519.000,658955.000,144622.000,154094.000,404861.000,407520.000,223363.000,242889.000,464168.000,311961.000,774678.000,713288.000,493398.000,292458.000,234608.000,262121.000,522118.000,247210.000,311019.000,1002256.000,732410.000,361011.000,405982.000,1317206.000,1664593.000,385919.000,345815.000,1499420.000,2671051.000,1523701.000,1418962.000,826283.000,2038576.000,1228926.000,949306.000,1541080.000,2307307.000,928534.000,2361927.000,2216335.000,1416464.000,1476547.000,2056653.000,1936846.000,1591362.000,1681999.000,3471790.000,2828502.000,2658303.000,2433487.000,3062380.000,3037516.000,3393263.000,3054610.000,2509244.000,3377698.000
2.01.06,Provisões,10866.000,38138.000,12742.000,13746.000,44660.000,45160.000,45868.000,56320.000,61538.000,56170.000,51777.000,39484.000,43987.000,43841.000,45653.000,45758.000,63845.000,63845.000,64226.000,62792.000,47916.000,48916.000,48814.000,52287.000,62220.000,61609.000,63181.000,47876.000,42334.000,41975.000,41329.000,40161.000,44252.000,44249.000,44250.000,44253.000,51488.000,50066.000,49545.000,45978.000,58226.000,58980.000,62495.000,65164.000,64124.000,74214.000,62089.000,58474.000,58159.000,35525.000,33455.000,35303.000,35078.000,39591.000,42262.000,43065.000,38103.000,39056.000,42358.000,42948.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,159496.000,159496.000,152194.000,147050.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,205349.000,0.000,0.000,0.000,2057167.000,2005671.000,2056715.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,5517766.000,5509595.000,5328333.000,5458308.000,5105607.000,5333981.000,4995473.000,4886456.000,5072197.000,5081079.000,5015544.000,5037088.000,5106082.000,5341276.000,5221745.000,5003722.000,6011516.000,6182257.000,6197901.000,6629044.000,5669873.000,5598505.000,5575677.000,6177158.000,6004503.000,6241394.000,6073386.000,6169876.000,7057317.000,7285608.000,10843538.000,12893856.000,13244707.000,13561620.000,16613859.000,17031154.000,17157114.000,18786312.000,19238281.000,21368260.000,22063324.000,23778255.000,23949584.000,25056190.000,24407969.000,25450361.000,26147132.000,24179299.000,23856361.000,23622080.000,24846621.000,24197757.000,26294598.000,27984580.000,27971842.000,29300082.000,30558877.000,32699082.000,33674816.000,35480385.000
