cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1133069.000,1143082.000,1157906.000,1143583.000,1132142.000,1151154.000,1167956.000,1178982.000,1067195.000,1074766.000,1073134.000,1103280.000,1152172.000,1170214.000,1179294.000,1137261.000,1094219.000,1102825.000,1095481.000,1096314.000,1098255.000,1102018.000,1106231.000,1133543.000,1125762.000,1130091.000,1114456.000,1127009.000,1245025.000,1265169.000,1285025.000,1342148.000,1338612.000,1380520.000,1417153.000,1450766.000,1500335.000,1535355.000,1570304.000,1651070.000,1711417.000,1501608.000,1519137.000,1573186.000,1632597.000,1689979.000,1705040.000,1889154.000,1990685.000,2028784.000,2023994.000,2047934.000,2087290.000,2119577.000,2133504.000,2150985.000,2099512.000,2153688.000,2195449.000,2444365.000
1.01,Ativo Circulante,106810.000,122307.000,135214.000,121160.000,169472.000,173713.000,168034.000,158602.000,215488.000,253037.000,260604.000,266800.000,244690.000,253246.000,271889.000,190188.000,197903.000,185212.000,185141.000,170669.000,183716.000,168101.000,153863.000,171973.000,222288.000,219332.000,236267.000,239750.000,273816.000,278464.000,326034.000,384448.000,417979.000,436162.000,502836.000,522335.000,601235.000,613140.000,683822.000,726683.000,741827.000,493983.000,513116.000,535772.000,524213.000,549993.000,591702.000,619680.000,890441.000,906483.000,922778.000,917080.000,915065.000,931465.000,931373.000,915830.000,691481.000,631782.000,641537.000,876249.000
1.01.01,Caixa e Equivalentes de Caixa,21436.000,3685.000,23085.000,4209.000,81933.000,51462.000,51621.000,38825.000,56502.000,85459.000,84784.000,75943.000,80708.000,63106.000,80689.000,53637.000,21451.000,44316.000,46669.000,36633.000,50145.000,34058.000,54878.000,46948.000,80279.000,71319.000,101798.000,111933.000,136214.000,139171.000,174856.000,199738.000,232433.000,249225.000,320205.000,334570.000,412922.000,408832.000,479729.000,499070.000,518714.000,256056.000,268722.000,294939.000,311072.000,325080.000,369477.000,390016.000,436741.000,447375.000,468834.000,457016.000,426282.000,436914.000,424906.000,406951.000,311326.000,266046.000,247391.000,243886.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17090.000,0.000,0.000,251437.000
1.01.03,Contas a Receber,12137.000,13680.000,15884.000,13750.000,26333.000,19496.000,19419.000,21580.000,52111.000,37577.000,49917.000,56313.000,68733.000,49959.000,51943.000,19443.000,20822.000,30151.000,33691.000,20263.000,25298.000,18863.000,18890.000,39508.000,35176.000,32489.000,23518.000,23822.000,22405.000,21301.000,29113.000,52441.000,55033.000,49983.000,47964.000,51138.000,52969.000,65752.000,66814.000,79417.000,55653.000,64449.000,70020.000,68711.000,50010.000,49271.000,52419.000,57800.000,58567.000,59691.000,60562.000,63208.000,64583.000,63951.000,66643.000,67077.000,65288.000,66277.000,69000.000,68376.000
1.01.04,Estoques,2460.000,2451.000,2669.000,2606.000,2630.000,2398.000,2403.000,2095.000,2111.000,2097.000,2079.000,1964.000,2073.000,2162.000,2154.000,2150.000,2141.000,2155.000,2112.000,2105.000,2099.000,2054.000,2045.000,1993.000,1965.000,1967.000,1924.000,1949.000,1789.000,1780.000,1865.000,1871.000,1930.000,1929.000,1923.000,1917.000,1609.000,1609.000,1609.000,1619.000,1865.000,1858.000,1851.000,1851.000,1847.000,1846.000,1850.000,1849.000,1842.000,1836.000,1835.000,1832.000,1826.000,1817.000,1816.000,1814.000,2054.000,2054.000,2054.000,1814.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4428.000,4597.000,4706.000,2784.000,4353.000,4108.000,3824.000,11.000,3935.000,3112.000,3623.000,1331.000,2399.000,2541.000,1634.000,2313.000,3624.000,4615.000,2516.000,2946.000,1480.000,157.000,0.000,11245.000,7690.000,7430.000,8252.000,3591.000,4670.000,0.000,0.000,415.000,1398.000,0.000,0.000,3946.000,6130.000,0.000,4911.000,65.000,979.000,0.000,5113.000
1.01.07,Despesas Antecipadas,98.000,103.000,273.000,275.000,196.000,262.000,135.000,4182.000,65.000,113.000,102.000,22.000,101.000,81.000,235.000,265.000,188.000,112.000,256.000,173.000,236.000,142.000,267.000,366.000,214.000,225.000,382.000,444.000,245.000,196.000,135.000,2042.000,1577.000,1322.000,733.000,4430.000,3000.000,3304.000,1430.000,668.000,4550.000,3107.000,6068.000,2996.000,917.000,567.000,8871.000,6090.000,3919.000,2294.000,937.000,565.000,413.000,615.000,785.000,496.000,6807.000,4920.000,5280.000,6474.000
1.01.08,Outros Ativos Circulantes,70679.000,102388.000,93303.000,100320.000,58380.000,100095.000,94456.000,91920.000,104699.000,127791.000,123722.000,132558.000,93075.000,137938.000,136868.000,114693.000,153301.000,104050.000,97816.000,106789.000,103154.000,108631.000,73675.000,79334.000,104643.000,109397.000,105533.000,97979.000,111832.000,113617.000,117524.000,126722.000,124693.000,130079.000,127396.000,127764.000,127789.000,132163.000,134083.000,145909.000,149800.000,160823.000,159025.000,159023.000,156776.000,168559.000,159085.000,163925.000,388957.000,393889.000,390610.000,394459.000,418015.000,422038.000,437223.000,434581.000,288851.000,291506.000,317812.000,299149.000
1.02,Ativo Não Circulante,1026259.000,1020775.000,1022692.000,1022423.000,962670.000,977441.000,999922.000,1020380.000,851707.000,821729.000,812530.000,836480.000,907482.000,916968.000,907405.000,947073.000,896316.000,917613.000,910340.000,925645.000,914539.000,933917.000,952368.000,961570.000,903474.000,910759.000,878189.000,887259.000,971209.000,986705.000,958991.000,957700.000,920633.000,944358.000,914317.000,928431.000,899100.000,922215.000,886482.000,924387.000,969590.000,1007625.000,1006021.000,1037414.000,1108384.000,1139986.000,1113338.000,1269474.000,1100244.000,1122301.000,1101216.000,1130854.000,1172225.000,1188112.000,1202131.000,1235155.000,1408031.000,1521906.000,1553912.000,1568116.000
1.02.01,Ativo Realizável a Longo Prazo,461997.000,460243.000,462463.000,461224.000,449001.000,444078.000,449289.000,455847.000,481776.000,451700.000,435670.000,450321.000,789224.000,457079.000,789069.000,773270.000,706067.000,724940.000,719009.000,743526.000,734852.000,754863.000,777311.000,787336.000,730859.000,739387.000,709548.000,715491.000,792376.000,810418.000,789461.000,730954.000,693794.000,717490.000,687861.000,701738.000,669469.000,689858.000,653799.000,690579.000,732738.000,770647.000,768418.000,799912.000,870022.000,902474.000,875424.000,818553.000,730766.000,752916.000,732907.000,765542.000,791523.000,807248.000,822309.000,855978.000,911541.000,1025604.000,1055401.000,1065383.000
1.02.02,Investimentos,1390.000,1390.000,1390.000,1390.000,1391.000,1391.000,1390.000,1390.000,1389.000,1389.000,1390.000,1390.000,1390.000,1390.000,1390.000,1391.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1390.000,1392.000,1392.000,1392.000,214682.000,130762.000,130762.000,130762.000,130762.000,146220.000,146222.000,146213.000,146214.000,221695.000,221695.000,221695.000,221695.000
1.02.03,Imobilizado,562236.000,558592.000,557775.000,558837.000,511394.000,531176.000,548534.000,562516.000,367977.000,368124.000,375003.000,384317.000,116465.000,458136.000,116338.000,171804.000,188311.000,190790.000,189790.000,180613.000,176037.000,175549.000,171676.000,170967.000,169461.000,168330.000,165712.000,167629.000,174876.000,171776.000,165239.000,222675.000,222987.000,222102.000,221552.000,222086.000,222237.000,224284.000,224316.000,225274.000,227463.000,226946.000,227020.000,226306.000,226232.000,225025.000,224344.000,223313.000,224786.000,223702.000,222386.000,219098.000,217926.000,216806.000,215400.000,214001.000,256442.000,255534.000,257567.000,261767.000
1.02.04,Intangível,636.000,550.000,1064.000,972.000,884.000,796.000,709.000,627.000,565.000,516.000,467.000,452.000,403.000,363.000,608.000,608.000,548.000,493.000,151.000,116.000,2260.000,2115.000,1991.000,1877.000,1764.000,1652.000,1539.000,2749.000,2567.000,3121.000,2901.000,2681.000,2462.000,3376.000,3514.000,3217.000,6004.000,6683.000,6977.000,7144.000,7999.000,8642.000,9193.000,9806.000,10738.000,11095.000,12178.000,12926.000,13930.000,14921.000,15161.000,15452.000,16556.000,17836.000,18209.000,18962.000,18353.000,19073.000,19249.000,19271.000
