cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1102825.0,1095481.0,1096314.0,1098255.0,1102018.0,1106231.0,1133543.0,1125762.0,1130091.0,1114456.0,1127009.0,1245025.0,1265169.0,1285025.0,1342148.0,1338612.0,1380520.0,1417153.0,1450766.0,1500335.0,1535355.0,1570304.0,1651070.0,1711417.0,1501608.0,1519137.0,1573186.0,1632597.0,1689979.0,1705040.0,1889154.0,1990685.0,2028784.0,2023994.0,2047934.0,2087290.0,2119577.0,2133504.0,2150985.0,2087293.0,2153688.0,2195449.0,2444365.0
2.01,Passivo Circulante,90866.0,91250.0,79307.0,70240.0,61074.0,48851.0,50052.0,94413.0,92969.0,92872.0,95190.0,96414.0,95077.0,97900.0,107922.0,137179.0,124882.0,129362.0,118259.0,124657.0,119181.0,116897.0,119045.0,433571.0,155290.0,120529.0,124883.0,129178.0,134697.0,104424.0,112816.0,106749.0,121325.0,127818.0,129721.0,152137.0,162455.0,113398.0,124026.0,133496.0,161580.0,92113.0,113935.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2181.0,2229.0,2365.0,1996.0,1815.0,2250.0
2.01.02,Fornecedores,7351.0,6987.0,4957.0,4742.0,5602.0,5011.0,6117.0,5084.0,5807.0,5632.0,6611.0,6923.0,5079.0,5634.0,4110.0,6763.0,9523.0,8399.0,6119.0,4627.0,7803.0,5876.0,5555.0,4656.0,8592.0,8169.0,11350.0,6713.0,8828.0,10891.0,8669.0,10124.0,9078.0,12604.0,9740.0,5136.0,12155.0,7104.0,9321.0,5930.0,7502.0,4431.0,10887.0
2.01.03,Obrigações Fiscais,4125.0,3735.0,3708.0,4426.0,4273.0,4032.0,5036.0,4880.0,4566.0,4569.0,4544.0,4368.0,4196.0,4423.0,6095.0,6309.0,6803.0,5783.0,5892.0,5676.0,5799.0,25856.0,20833.0,5718.0,5113.0,5932.0,6700.0,6711.0,6026.0,8757.0,11619.0,7353.0,6631.0,5144.0,4059.0,7610.0,6395.0,8269.0,4282.0,3512.0,3588.0,5650.0,4779.0
2.01.04,Empréstimos e Financiamentos,6345.0,6429.0,15252.0,6549.0,6446.0,7089.0,6938.0,6671.0,6994.0,7974.0,7555.0,7312.0,7177.0,6727.0,6640.0,6744.0,6651.0,5730.0,5601.0,5208.0,4759.0,4521.0,4949.0,66361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.05,Outras Obrigações,65881.0,66935.0,54223.0,54523.0,44753.0,32719.0,31961.0,77778.0,75602.0,74697.0,76480.0,77811.0,78625.0,81116.0,91077.0,117363.0,101905.0,109450.0,100647.0,109146.0,100820.0,80644.0,87708.0,356836.0,141585.0,106428.0,106833.0,115754.0,119843.0,84776.0,92528.0,89272.0,105616.0,110070.0,115922.0,139391.0,143905.0,95844.0,108194.0,121689.0,148494.0,80217.0,96019.0
2.01.06,Provisões,7164.0,7164.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,308046.0,307668.0,286654.0,267308.0,277201.0,272934.0,276616.0,308410.0,306696.0,294026.0,292715.0,328736.0,334278.0,334945.0,375764.0,332578.0,366013.0,385056.0,413624.0,385453.0,416192.0,434640.0,472303.0,559333.0,580799.0,623716.0,641293.0,765685.0,791766.0,832308.0,849218.0,759754.0,764395.0,778222.0,759157.0,846664.0,846138.0,877590.0,876641.0,769075.0,760788.0,840348.0,779972.0
