data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,45566910.0
2015-12-31,T4,1.01,Ativo Circulante,25035864.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,8455771.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,2431205.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,2430821.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,2430821.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,384.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,384.0
2015-12-31,T4,1.01.03,Contas a Receber,3452044.0
2015-12-31,T4,1.01.03.01,Clientes,3452044.0
2015-12-31,T4,1.01.03.01.01,Contas a Receber,3052976.0
2015-12-31,T4,1.01.03.01.02,Financiamentos a Clientes,42068.0
2015-12-31,T4,1.01.03.01.03,Contas a Receber Vinculadas,357000.0
2015-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.01.04,Estoques,9037943.0
2015-12-31,T4,1.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.01.06,Tributos a Recuperar,772172.0
2015-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,772172.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,100617.0
2015-12-31,T4,1.01.08,Outros Ativos Circulantes,786112.0
2015-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.08.03,Outros,786112.0
2015-12-31,T4,1.01.08.03.01,Outros Ativos,765773.0
2015-12-31,T4,1.01.08.03.02,Instrumentos Financeiros Ativos,20292.0
2015-12-31,T4,1.01.08.03.03,Depósito em Garantia,47.0
2015-12-31,T4,1.02,Ativo Não Circulante,20531046.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,7122002.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,7714.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,39.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,7675.0
2015-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,2919345.0
2015-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,2919345.0
2015-12-31,T4,1.02.01.03,Contas a Receber,1419839.0
2015-12-31,T4,1.02.01.03.01,Clientes,6005.0
2015-12-31,T4,1.02.01.03.02,Outras Contas a Receber,1413834.0
2015-12-31,T4,1.02.01.04,Estoques,0.0
2015-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.02.01.06,Tributos Diferidos,17385.0
2015-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,17385.0
2015-12-31,T4,1.02.01.07,Despesas Antecipadas,16555.0
2015-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
2015-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2015-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2015-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,2741164.0
2015-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.02.01.09.03,Tributos a Recuperar,186629.0
2015-12-31,T4,1.02.01.09.04,Outros Ativos,264492.0
2015-12-31,T4,1.02.01.09.05,Depósito em Garantia,2254072.0
2015-12-31,T4,1.02.01.09.06,Instrumentos Financeiros Derivativos,35971.0
2015-12-31,T4,1.02.02,Investimentos,4853.0
2015-12-31,T4,1.02.02.01,Participações Societárias,4853.0
2015-12-31,T4,1.02.02.01.01,Participações em Coligadas,4853.0
2015-12-31,T4,1.02.02.01.04,Outras Participações Societárias,0.0
2015-12-31,T4,1.02.02.02,Propriedades para Investimento,0.0
2015-12-31,T4,1.02.03,Imobilizado,7916496.0
2015-12-31,T4,1.02.03.01,Imobilizado em Operação,7916496.0
2015-12-31,T4,1.02.03.02,Imobilizado Arrendado,0.0
2015-12-31,T4,1.02.03.03,Imobilizado em Andamento,0.0
2015-12-31,T4,1.02.04,Intangível,5487695.0
2015-12-31,T4,1.02.04.01,Intangíveis,5487695.0
2015-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2015-12-31,T4,1.02.04.02,Goodwill,0.0
2016-12-31,T4,1,Ativo Total,38016671.0
2016-12-31,T4,1.01,Ativo Circulante,22102148.0
2016-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,4046185.0
2016-12-31,T4,1.01.02,Aplicações Financeiras,5786574.0
2016-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,3592577.0
2016-12-31,T4,1.01.02.01.01,Títulos para Negociação,3478357.0
2016-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,114220.0
2016-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,2193997.0
2016-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,2193997.0
2016-12-31,T4,1.01.03,Contas a Receber,2661871.0
2016-12-31,T4,1.01.03.01,Clientes,2661871.0
2016-12-31,T4,1.01.03.01.01,Contas a Receber,2168734.0
2016-12-31,T4,1.01.03.01.02,Financiamentos a Clientes,27750.0
2016-12-31,T4,1.01.03.01.03,Contas a Receber Vinculadas,465387.0
2016-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2016-12-31,T4,1.01.04,Estoques,8136162.0
2016-12-31,T4,1.01.05,Ativos Biológicos,0.0
2016-12-31,T4,1.01.06,Tributos a Recuperar,505472.0
2016-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,505472.0
2016-12-31,T4,1.01.07,Despesas Antecipadas,56667.0
2016-12-31,T4,1.01.08,Outros Ativos Circulantes,909217.0
2016-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2016-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,1.01.08.03,Outros,909217.0
2016-12-31,T4,1.01.08.03.01,Outros Ativos,840642.0
2016-12-31,T4,1.01.08.03.02,Instrumentos Financeiros Ativos,68575.0
2016-12-31,T4,1.01.08.03.03,Depósito em Garantia,0.0
2016-12-31,T4,1.02,Ativo Não Circulante,15914523.0
2016-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,3455700.0
2016-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2016-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2016-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2016-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,548234.0
2016-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,548234.0
2016-12-31,T4,1.02.01.03,Contas a Receber,682672.0
2016-12-31,T4,1.02.01.03.01,Clientes,149.0
2016-12-31,T4,1.02.01.03.02,Outras Contas a Receber,682523.0
2016-12-31,T4,1.02.01.04,Estoques,0.0
2016-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2016-12-31,T4,1.02.01.06,Tributos Diferidos,11021.0
2016-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,11021.0
2016-12-31,T4,1.02.01.07,Despesas Antecipadas,8214.0
2016-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
2016-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2016-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2016-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2016-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,2205559.0
2016-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2016-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
