data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,20301771.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-16545358.0
2015-12-31,T4,3.03,Resultado Bruto,3756413.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-2653346.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-1206620.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-609223.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,928384.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-1764909.0
2015-12-31,T4,3.04.05.01,Pesquisa,-142303.0
2015-12-31,T4,3.04.05.02,Despesas Operacionais,-1622606.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-978.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,1103067.0
2015-12-31,T4,3.06,Resultado Financeiro,-1175.0
2015-12-31,T4,3.06.01,Receitas Financeiras,-1061709.0
2015-12-31,T4,3.06.01.01,Variações Monetárias Ativas,-1667906.0
2015-12-31,T4,3.06.01.02,Receitas Financeiras,606197.0
2015-12-31,T4,3.06.02,Despesas Financeiras,1060534.0
2015-12-31,T4,3.06.02.01,Variações Monetárias Passivas,1741646.0
2015-12-31,T4,3.06.02.02,Despesas Financeiras,-681112.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,1101892.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-820284.0
2015-12-31,T4,3.08.01,Corrente,-440247.0
2015-12-31,T4,3.08.02,Diferido,-380037.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,281608.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,281608.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,241601.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,40007.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,0.33087
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,0.32935
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,21435696.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-17166104.0
2016-12-31,T4,3.03,Resultado Bruto,4269592.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-3551800.0
2016-12-31,T4,3.04.01,Despesas com Vendas,-1289043.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-574129.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,472463.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,-2160136.0
2016-12-31,T4,3.04.05.01,Pesquisa,-161989.0
2016-12-31,T4,3.04.05.02,Despesas Operacionais,-1998147.0
