data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,18502182.0
2015-12-31,T4,2.01,Passivo Circulante,4716057.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,0.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,0.0
2015-12-31,T4,2.01.02,Fornecedores,1204877.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,1204877.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,0.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,0.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,1511118.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,1195369.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,418949.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,776420.0
2015-12-31,T4,2.01.04.02,Debêntures,315749.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,2000062.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.01.05.02,Outros,2000062.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,8140.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Parcelamento de impostos,17116.0
2015-12-31,T4,2.01.05.02.05,Obrigações estimadas,79027.0
2015-12-31,T4,2.01.05.02.06,Encargos do consumidor a recolher,85847.0
2015-12-31,T4,2.01.05.02.07,Taxa de iluminação publica,65809.0
2015-12-31,T4,2.01.05.02.08,Beneficios a empregados - plano de pensão,28692.0
2015-12-31,T4,2.01.05.02.09,Encargos de dívidas,43021.0
2015-12-31,T4,2.01.05.02.10,Encargos setoriais,372295.0
2015-12-31,T4,2.01.05.02.11,Tributos e Contribuições Sociais,480206.0
2015-12-31,T4,2.01.05.02.12,Passivos financeiros setoriais,494740.0
2015-12-31,T4,2.01.05.02.13,Taxas regulamentares,20373.0
2015-12-31,T4,2.01.05.02.14,Passivos disponível para venda,0.0
2015-12-31,T4,2.01.05.02.15,Outras contas a pagar,64202.0
2015-12-31,T4,2.01.05.02.16,Incorporação de redes,109463.0
2015-12-31,T4,2.01.05.02.17,Bandeiras tarifárias CCRBT,4880.0
2015-12-31,T4,2.01.05.02.18,Instrumento finaneiros derivativos,126251.0
2015-12-31,T4,2.01.06,Provisões,0.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.01.06.02,Outras Provisões,0.0
2015-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2015-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,2.02,Passivo Não Circulante,10467955.0
2015-12-31,T4,2.02.01,Empréstimos e Financiamentos,6422878.0
2015-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,4222050.0
2015-12-31,T4,2.02.01.01.01,Em Moeda Nacional,2405075.0
2015-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,1816975.0
2015-12-31,T4,2.02.01.02,Debêntures,2200828.0
2015-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.02.02,Outras Obrigações,2469963.0
2015-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.02,Outros,2469963.0
2015-12-31,T4,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0
2015-12-31,T4,2.02.02.02.03,Fornecedores,326010.0
2015-12-31,T4,2.02.02.02.04,Instrumentos financeiros derivativos,388376.0
2015-12-31,T4,2.02.02.02.05,Tributos e contribuições sociais,138440.0
2015-12-31,T4,2.02.02.02.06,Parcelamentos de impostos,78031.0
2015-12-31,T4,2.02.02.02.07,Beneficcio a empregado-Plano pensão,185018.0
2015-12-31,T4,2.02.02.02.08,"Provisão para Riscos, Trabalhistas, Civeis e Fiscais",572629.0
2015-12-31,T4,2.02.02.02.09,Taxas regulamentares,153127.0
2015-12-31,T4,2.02.02.02.10,Imposto de renda e contribuição social diferido,0.0
2015-12-31,T4,2.02.02.02.11,Passivos financeiros setoriais,143103.0
2015-12-31,T4,2.02.02.02.12,Outras contas a pagar,147279.0
2015-12-31,T4,2.02.02.02.13,Encargos setoriais,152788.0
