data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,925869.0
2015-03-31,T1,1.01,Ativo Circulante,410096.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,10861.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,32148.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,32148.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,32148.0
2015-03-31,T1,1.01.03,Contas a Receber,205580.0
2015-03-31,T1,1.01.03.01,Clientes,205580.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.01.04,Estoques,137881.0
2015-03-31,T1,1.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,10474.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,10474.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,2110.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,11042.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,553.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,10489.0
2015-03-31,T1,1.01.08.03.01,Partes Relacionadas,992.0
2015-03-31,T1,1.01.08.03.02,Outros,9497.0
2015-03-31,T1,1.02,Ativo Não Circulante,515773.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,103426.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.02.01.03,Contas a Receber,1982.0
2015-03-31,T1,1.02.01.03.01,Clientes,0.0
2015-03-31,T1,1.02.01.03.02,Outras Contas a Receber,1982.0
2015-03-31,T1,1.02.01.04,Estoques,0.0
2015-03-31,T1,1.02.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.02.01.06,Tributos Diferidos,55589.0
2015-03-31,T1,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,55589.0
2015-03-31,T1,1.02.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.02.01.08,Créditos com Partes Relacionadas,5445.0
2015-03-31,T1,1.02.01.08.01,Créditos com Coligadas,0.0
2015-03-31,T1,1.02.01.08.03,Créditos com Controladores,5445.0
2015-03-31,T1,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.09,Outros Ativos Não Circulantes,40410.0
2015-03-31,T1,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.02.01.09.03,Impostos a Recuperar,24661.0
2015-03-31,T1,1.02.01.09.04,Depositos Judiciais e Incentivos Fiscais,15749.0
2015-03-31,T1,1.02.02,Investimentos,27817.0
2015-03-31,T1,1.02.02.01,Participações Societárias,27817.0
2015-03-31,T1,1.02.02.01.01,Participações em Coligadas,27817.0
2015-03-31,T1,1.02.02.01.04,Outras Participações Societárias,0.0
2015-03-31,T1,1.02.02.02,Propriedades para Investimento,0.0
2015-03-31,T1,1.02.03,Imobilizado,354235.0
2015-03-31,T1,1.02.03.01,Imobilizado em Operação,232362.0
2015-03-31,T1,1.02.03.01.01,Imobilizado em Operação,237659.0
2015-03-31,T1,1.02.03.01.02,Provisão p/ Perda c/ Imobilizado,-5297.0
2015-03-31,T1,1.02.03.02,Imobilizado Arrendado,0.0
2015-03-31,T1,1.02.03.03,Imobilizado em Andamento,121873.0
2015-03-31,T1,1.02.04,Intangível,30295.0
2015-03-31,T1,1.02.04.01,Intangíveis,10300.0
2015-03-31,T1,1.02.04.01.01,Contrato de Concessão,0.0
2015-03-31,T1,1.02.04.01.02,Software,7068.0
2015-03-31,T1,1.02.04.01.03,Outros Intangíveis,3232.0
2015-03-31,T1,1.02.04.02,Goodwill,19995.0
2015-06-30,T2,1,Ativo Total,935798.0
2015-06-30,T2,1.01,Ativo Circulante,416309.0
2015-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,13287.0
2015-06-30,T2,1.01.02,Aplicações Financeiras,21193.0
2015-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.01.02.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,21193.0
2015-06-30,T2,1.01.02.02.01,Títulos Mantidos até o Vencimento,21193.0
2015-06-30,T2,1.01.03,Contas a Receber,190625.0
