cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,661078.000,640883.000,653148.000,678548.000,691935.000,707139.000,798563.000,811380.000,810120.000,786142.000,834296.000,836293.000,833632.000,874723.000,853088.000,898403.000,897864.000,925869.000,935798.000,967313.000,933194.000,939420.000,896443.000,871703.000,842448.000,817458.000,805876.000,773464.000,563622.000,585163.000,594999.000,609237.000,569136.000,562553.000,525272.000,570383.000,545587.000,552460.000,589770.000,623654.000,745268.000,833954.000,894161.000,976837.000,1011931.000,1066419.000,1063781.000,1187017.000,1222267.000,1168475.000,1214762.000,1248870.000,1300366.000,1282895.000,1316979.000,1306928.000,1306516.000,1303584.000,1359088.000,1415197.000
2.01,Passivo Circulante,170278.000,142779.000,149676.000,164894.000,162585.000,161487.000,238860.000,223143.000,208094.000,174554.000,204686.000,197426.000,193082.000,203052.000,180165.000,207358.000,221252.000,242359.000,235185.000,237306.000,205820.000,211449.000,183662.000,169658.000,169036.000,149876.000,160861.000,150047.000,148779.000,180720.000,209225.000,228963.000,235898.000,236607.000,180252.000,219498.000,228576.000,253042.000,231145.000,225629.000,221245.000,258657.000,173861.000,185716.000,208855.000,218202.000,200904.000,278556.000,284164.000,219754.000,269426.000,293245.000,296283.000,263125.000,295181.000,278509.000,289658.000,302710.000,334094.000,377283.000
2.01.01,Obrigações Sociais e Trabalhistas,34842.000,22838.000,28353.000,29644.000,27861.000,25885.000,31356.000,33054.000,34938.000,28141.000,34205.000,34874.000,28009.000,26721.000,29941.000,33546.000,28657.000,30462.000,31699.000,35661.000,27722.000,31716.000,28044.000,30761.000,23388.000,23605.000,22058.000,22420.000,15916.000,20184.000,28219.000,23644.000,19872.000,20592.000,17779.000,20079.000,15650.000,15865.000,18055.000,23033.000,19981.000,24845.000,24559.000,31147.000,29530.000,33361.000,28397.000,35658.000,29480.000,31332.000,34547.000,36808.000,31852.000,36336.000,35454.000,42245.000,27688.000,26393.000,27853.000,37400.000
2.01.02,Fornecedores,41097.000,47524.000,40343.000,38589.000,38709.000,42146.000,47599.000,38390.000,48968.000,53109.000,54317.000,50334.000,39293.000,44389.000,37399.000,38691.000,42151.000,44603.000,45985.000,41152.000,41420.000,53997.000,40089.000,32346.000,33566.000,31200.000,23107.000,28990.000,27084.000,32033.000,36845.000,43773.000,38492.000,45120.000,48935.000,67280.000,59719.000,64430.000,64420.000,64882.000,60536.000,64968.000,44120.000,45318.000,50201.000,54284.000,52019.000,59521.000,65116.000,61218.000,74107.000,77090.000,75981.000,69972.000,71354.000,62004.000,86828.000,95027.000,95771.000,102027.000
2.01.03,Obrigações Fiscais,29937.000,17683.000,19540.000,25123.000,23454.000,26000.000,27634.000,32482.000,36932.000,23900.000,28971.000,36521.000,34015.000,24516.000,21971.000,32760.000,29181.000,29740.000,23656.000,26617.000,19867.000,22088.000,17750.000,19578.000,22260.000,16545.000,16638.000,14912.000,12036.000,16532.000,31588.000,22215.000,23227.000,18000.000,19533.000,40874.000,19559.000,28488.000,29602.000,34669.000,31030.000,46974.000,36073.000,39779.000,34919.000,38736.000,36127.000,34466.000,30722.000,36503.000,26385.000,27805.000,20730.000,22013.000,25519.000,31514.000,19928.000,17273.000,26623.000,25861.000
2.01.04,Empréstimos e Financiamentos,20443.000,23298.000,27409.000,32261.000,40553.000,35006.000,99384.000,85441.000,55839.000,37485.000,55559.000,40717.000,56881.000,53290.000,55790.000,66541.000,88946.000,102085.000,109325.000,107375.000,90307.000,75920.000,80703.000,69145.000,69288.000,58471.000,76980.000,60459.000,58888.000,79150.000,69336.000,88557.000,98824.000,100377.000,46791.000,50379.000,49812.000,59333.000,31875.000,1066.000,0.000,7598.000,7598.000,6997.000,3911.000,3911.000,3911.000,53339.000,26296.000,8046.000,69073.000,83717.000,82746.000,56687.000,84501.000,56138.000,69163.000,84554.000,107633.000,136578.000
2.01.05,Outras Obrigações,40781.000,28565.000,31066.000,36312.000,29043.000,29524.000,29961.000,30850.000,28491.000,28666.000,28381.000,31727.000,31023.000,50275.000,31203.000,31959.000,28640.000,31792.000,20843.000,22824.000,21614.000,22838.000,12182.000,12934.000,13897.000,14940.000,13289.000,18151.000,27882.000,27951.000,37753.000,45559.000,48623.000,45658.000,40354.000,34371.000,76718.000,77808.000,80075.000,94861.000,102487.000,107061.000,54300.000,55264.000,82443.000,80059.000,72599.000,87721.000,125603.000,75708.000,58367.000,60878.000,78047.000,71190.000,71426.000,79681.000,78658.000,72070.000,68821.000,68024.000
2.01.06,Provisões,3178.000,2871.000,2965.000,2965.000,2965.000,2926.000,2926.000,2926.000,2926.000,3253.000,3253.000,3253.000,3861.000,3861.000,3861.000,3861.000,3677.000,3677.000,3677.000,3677.000,4890.000,4890.000,4894.000,4894.000,6637.000,5115.000,8789.000,5115.000,6973.000,4870.000,5484.000,5215.000,6860.000,6860.000,6860.000,6515.000,7118.000,7118.000,7118.000,7118.000,7211.000,7211.000,7211.000,7211.000,7851.000,7851.000,7851.000,7851.000,6947.000,6947.000,6947.000,6947.000,6927.000,6927.000,6927.000,6927.000,7393.000,7393.000,7393.000,7393.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,78311.000,83978.000,86155.000,89704.000,91244.000,95533.000,100465.000,119794.000,122492.000,128474.000,137249.000,136032.000,134421.000,159946.000,160965.000,176673.000,161804.000,166440.000,174091.000,208115.000,227258.000,219545.000,213319.000,209862.000,213763.000,210887.000,211328.000,210288.000,244333.000,245072.000,261075.000,298688.000,320988.000,339163.000,387769.000,353187.000,319789.000,317050.000,317132.000,316576.000,309012.000,301852.000,277200.000,250007.000,239721.000,242565.000,235279.000,248474.000,261805.000,255899.000,251111.000,245121.000,234277.000,249722.000,242861.000,234072.000,210767.000,205536.000,198132.000,192128.000
