data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,57632.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,183527.0
2015-12-31,T4,6.01.01.01,Lucro antes do imposto de renda e contribuição social,68617.0
2015-12-31,T4,6.01.01.02,Resultado de equivalência patrimonial,27661.0
2015-12-31,T4,6.01.01.03,"Depreciação, amortização e exaustão",39401.0
2015-12-31,T4,6.01.01.04,Resultado na baixa de ativos permanentes,165.0
2015-12-31,T4,6.01.01.05,Provisão para crédito de liquidação duvidosa,2531.0
2015-12-31,T4,6.01.01.06,Provisão para riscos,27467.0
2015-12-31,T4,6.01.01.07,Provisão diversas,2928.0
2015-12-31,T4,6.01.01.08,"Encargos financeiros, var. monetária e cambial",13021.0
2015-12-31,T4,6.01.01.09,Rendimentos de aplicações financeiras,-3331.0
2015-12-31,T4,6.01.01.10,Realização de despesas antecipadas,5067.0
2015-12-31,T4,6.01.01.11,Realização de receitas antecipadas,0.0
2015-12-31,T4,6.01.01.12,Imposto de renda e contribuição social diferidos,0.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-125895.0
2015-12-31,T4,6.01.02.01,Contas a receber de clientes,-669.0
2015-12-31,T4,6.01.02.02,Partes relacionadas a receber,-391.0
2015-12-31,T4,6.01.02.03,Estoques,-36023.0
2015-12-31,T4,6.01.02.04,Impostos a recuperar,-4085.0
2015-12-31,T4,6.01.02.05,Depósitos judiciais,-5588.0
2015-12-31,T4,6.01.02.06,Dividendos e juros s/capital próprio recebidos,0.0
2015-12-31,T4,6.01.02.07,Outros ativos,-12209.0
2015-12-31,T4,6.01.02.08,Fornecedores,-731.0
2015-12-31,T4,6.01.02.09,Partes relacionadas a pagar,0.0
2015-12-31,T4,6.01.02.10,Obrigações fiscais a recolher,-6617.0
2015-12-31,T4,6.01.02.11,Obrigações sociais e trabalhistas,-935.0
2015-12-31,T4,6.01.02.12,Outros passivos,2964.0
2015-12-31,T4,6.01.02.13,Juros pagos,-4782.0
2015-12-31,T4,6.01.02.14,Imposto de renda e contribuição social pagos,-56829.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-47351.0
2015-12-31,T4,6.02.01,Mútuo com empresa ligada a receber,726.0
2015-12-31,T4,6.02.02,Recebimento venda de imobilizado e intangível,876.0
2015-12-31,T4,6.02.03,Aquisição de imobilizado e intangível,-37944.0
2015-12-31,T4,6.02.04,Adições de variação cambial capitalizada,-14524.0
2015-12-31,T4,6.02.05,Aquisição de investimento/Aporte de capiltal,-18105.0
2015-12-31,T4,6.02.06,Aplicação financeira,-277192.0
2015-12-31,T4,6.02.07,Resgate de aplicação financeira,298812.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-18070.0
2015-12-31,T4,6.03.01,Captação de Financiamentos - Terceiros,246870.0
2015-12-31,T4,6.03.02,Amortização de empréstimos e financiamentos,-215838.0
2015-12-31,T4,6.03.03,Mútuo com empresa ligada,0.0
2015-12-31,T4,6.03.04,Pagamentos de dividendos e JCP,-49102.0
2015-12-31,T4,6.03.05,Aumento de capital,0.0
2015-12-31,T4,6.03.06,Ágio na emissão de ações,0.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-7789.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,13367.0
