# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-17 20:15:22
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2010,3.01,758745.000,758745.000,0.000,0.000,OK
2010,3.02,-432219.000,-432219.000,0.000,0.000,OK
2010,3.03,326526.000,326526.000,0.000,0.000,OK
2010,3.04,-202865.000,-202865.000,0.000,0.000,OK
2010,3.04.02,-101311.000,-101311.000,0.000,0.000,OK
2010,3.04.05,-22580.000,-22580.000,0.000,0.000,OK
2010,3.04.05.02,0.000,,,,SEM_ANUAL
2010,3.04.06,0.000,0.000,0.000,0.000,OK
2010,3.05,123661.000,123661.000,0.000,0.000,OK
2010,3.06,9724.000,9724.000,0.000,0.000,OK
2010,3.06.01,32400.000,32400.000,0.000,0.000,OK
2010,3.06.02,-22676.000,-22676.000,0.000,0.000,OK
2010,3.07,133385.000,133385.000,0.000,0.000,OK
2010,3.08,-31300.000,-31300.000,0.000,0.000,OK
2010,3.09,102085.000,102085.000,0.000,0.000,OK
2010,3.10,0.000,0.000,0.000,0.000,OK
2010,3.11,102085.000,102085.000,0.000,0.000,OK
2010,3.11.01,102084.000,102084.000,0.000,0.000,OK
2010,3.11.02,1.000,1.000,0.000,0.000,OK
2011,3.01,820238.000,820238.000,0.000,0.000,OK
2011,3.02,-496455.000,-496455.000,0.000,0.000,OK
2011,3.03,323783.000,323783.000,0.000,0.000,OK
2011,3.04,-206482.000,-206482.000,0.000,0.000,OK
2011,3.04.02,-95846.000,-95846.000,0.000,0.000,OK
2011,3.04.05,-24805.000,-24805.000,0.000,0.000,OK
2011,3.04.05.02,0.000,,,,SEM_ANUAL
2011,3.04.06,0.000,0.000,0.000,0.000,OK
2011,3.05,117301.000,117301.000,0.000,0.000,OK
2011,3.06,13839.000,13839.000,0.000,0.000,OK
2011,3.06.01,43659.000,43659.000,0.000,0.000,OK
2011,3.06.02,-29820.000,-29820.000,0.000,0.000,OK
2011,3.07,131140.000,131140.000,0.000,0.000,OK
2011,3.08,-33947.000,-33947.000,0.000,0.000,OK
2011,3.09,97193.000,97193.000,0.000,0.000,OK
2011,3.10,0.000,0.000,0.000,0.000,OK
2011,3.11,97193.000,97193.000,0.000,0.000,OK
2011,3.11.01,97193.000,97193.000,0.000,0.000,OK
