data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,133286.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,172370.0
2015-12-31,T4,6.01.01.01,Lucro liquido do exercicio,-12450.0
2015-12-31,T4,6.01.01.02,"Depreciação, amortização e exaustão",129185.0
2015-12-31,T4,6.01.01.03,Resultado na venda de ativos permanentes,39.0
2015-12-31,T4,6.01.01.04,Baixa de investimentos,980.0
2015-12-31,T4,6.01.01.05,Resultado da equivalencia patrimonial,0.0
2015-12-31,T4,6.01.01.06,Variação do valor justo dos ativos biologicos,-44347.0
2015-12-31,T4,6.01.01.07,"Juros, variação monetarias e cambias liquidas",99809.0
2015-12-31,T4,6.01.01.08,Provisão para perdas nos estoques,1.0
2015-12-31,T4,6.01.01.09,Imposto de renda e contribuição social do exercicio,-9310.0
2015-12-31,T4,6.01.01.10,Imposto de renda e contribuição social - diferidos,0.0
2015-12-31,T4,6.01.01.11,Resersão de obrigações por adesão ao Refis IV e outros,8463.0
2015-12-31,T4,6.01.01.12,Reversão de obrigação com acionistas,0.0
2015-12-31,T4,6.01.01.13,Ajuste de exercícios anteriores,0.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-39084.0
2015-12-31,T4,6.01.02.01,Titulos e valores mobiliarios,-75.0
2015-12-31,T4,6.01.02.02,Contas a receber de clientes,21838.0
2015-12-31,T4,6.01.02.03,Partes relacionadas,-19.0
2015-12-31,T4,6.01.02.04,Estoques,-61487.0
2015-12-31,T4,6.01.02.05,Impostos a recuperar,1231.0
2015-12-31,T4,6.01.02.06,Imposto de Renda e Contribuição Social - diferidos,0.0
2015-12-31,T4,6.01.02.07,Despesas antecipadas,-299.0
2015-12-31,T4,6.01.02.08,Depositos judiciais,-3382.0
2015-12-31,T4,6.01.02.09,Outros créditos,-740.0
2015-12-31,T4,6.01.02.10,Fornecedores,34838.0
2015-12-31,T4,6.01.02.11,Obrigações trabalhistas e tributarias,-7526.0
2015-12-31,T4,6.01.02.12,Tributos parcelados,-25763.0
2015-12-31,T4,6.01.02.13,Adiantamento de clientes,-3586.0
2015-12-31,T4,6.01.02.14,Outros passivos,6421.0
2015-12-31,T4,6.01.02.15,Contas a pagar,-535.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-86912.0
2015-12-31,T4,6.02.01,Aporte de Capital em Controladas,0.0
2015-12-31,T4,6.02.02,Redução de Capital em Controladas,1060.0
2015-12-31,T4,6.02.03,Acrescimo do imobilizado,-45536.0
2015-12-31,T4,6.02.04,Acrescimo do ativo biologico,-42436.0
2015-12-31,T4,6.02.05,Titulos e valores mobiliarios,0.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-49932.0
2015-12-31,T4,6.03.01,Amortizacao de emprestimos e debentures,-182059.0
2015-12-31,T4,6.03.02,Captação de emprestimos,131403.0
2015-12-31,T4,6.03.03,Emprestimos de sociedades controladas,0.0
2015-12-31,T4,6.03.04,Ações em Tesouraria,0.0
2015-12-31,T4,6.03.05,Distribuição de Dividendos/Juros sobre capital próprio,724.0
2015-12-31,T4,6.03.06,Ingresso de debêntures,0.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-3558.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,7459.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,3901.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,101364.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,145399.0
2016-12-31,T4,6.01.01.01,Lucro liquido do exercicio,36441.0
2016-12-31,T4,6.01.01.02,"Depreciação, amortização e exaustão",119096.0
2016-12-31,T4,6.01.01.03,Resultado na venda de ativos permanentes,70.0
2016-12-31,T4,6.01.01.04,Baixa de investimentos,-295.0
2016-12-31,T4,6.01.01.05,Resultado da equivalencia patrimonial,0.0
2016-12-31,T4,6.01.01.06,Variação do valor justo dos ativos biologicos,-29831.0
2016-12-31,T4,6.01.01.07,"Juros, variação monetarias e cambias liquidas",12595.0
2016-12-31,T4,6.01.01.08,Provisão para perdas nos estoques,0.0
2016-12-31,T4,6.01.01.09,Imposto de renda e contribuição social do exercicio,-4573.0
2016-12-31,T4,6.01.01.10,Imposto de renda e contribuição social - diferidos,0.0
2016-12-31,T4,6.01.01.11,Resersão de obrigações por adesão ao Refis IV e outros,11896.0
2016-12-31,T4,6.01.01.12,Reversão de obrigação com acionistas,0.0
2016-12-31,T4,6.01.01.13,Ajuste de exercícios anteriores,0.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-44035.0
2016-12-31,T4,6.01.02.01,Titulos e valores mobiliarios,3992.0
2016-12-31,T4,6.01.02.02,Contas a receber de clientes,-11243.0
