cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,3218235.000,3488055.000,3459970.000,3573380.000,3489080.000,3596891.000,3632412.000,3690901.000,4372827.000,4396561.000,4526204.000,4663349.000,4804693.000,4694424.000,4765652.000,4843260.000,4880080.000,4921915.000,4902324.000,4975788.000,5136789.000,5108277.000,5090446.000,4966150.000,5018723.000,5078279.000,4697072.000,4752448.000,4743226.000,4610199.000,4459510.000,4621332.000,4740971.000,5023946.000,4800939.000,4761196.000,4983545.000,5026070.000,4814436.000,5570520.000,5176777.000,5669593.000,5609529.000,5867100.000,5929910.000,6044828.000,6137225.000,6454900.000,6698124.000,6731478.000,6874003.000,7052266.000,7298629.000,7424200.000,5774564.000,5288254.000,5178914.000,5148045.000,5127147.000,5008874.000
2.01,Passivo Circulante,1065924.000,1076900.000,1162740.000,1109427.000,997696.000,997263.000,928341.000,859200.000,868208.000,1003330.000,1069185.000,938967.000,985831.000,1034654.000,906633.000,1073071.000,1017430.000,1073945.000,962436.000,1031767.000,1212047.000,1191575.000,1323101.000,1119053.000,1192013.000,1181383.000,1079285.000,1131799.000,1482517.000,1264242.000,1145817.000,1282685.000,1399971.000,1428829.000,1320422.000,1112963.000,1341434.000,1557932.000,1233165.000,1537914.000,1650669.000,1831360.000,1965768.000,2271734.000,1824743.000,2331582.000,1884879.000,1882568.000,2056378.000,1894147.000,1873217.000,1550141.000,1673576.000,1573466.000,1049839.000,1124580.000,987173.000,954003.000,816410.000,695522.000
2.01.01,Obrigações Sociais e Trabalhistas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.02,Fornecedores,50069.000,51509.000,50424.000,49372.000,43885.000,53468.000,75197.000,99573.000,76988.000,89064.000,89210.000,83040.000,68031.000,67503.000,94031.000,73366.000,64430.000,71580.000,88957.000,80582.000,66385.000,73184.000,78287.000,59634.000,45441.000,51444.000,48025.000,44545.000,43260.000,46484.000,55698.000,57528.000,90926.000,103814.000,100178.000,87231.000,86657.000,51814.000,47005.000,55906.000,40947.000,78365.000,57353.000,66369.000,60333.000,93125.000,93813.000,95680.000,111750.000,115360.000,144666.000,150645.000,134703.000,115067.000,78671.000,62912.000,63596.000,69469.000,65105.000,91982.000
2.01.03,Obrigações Fiscais,42485.000,43842.000,52253.000,56033.000,118550.000,116883.000,116350.000,105446.000,98270.000,87494.000,98846.000,94337.000,88517.000,81558.000,88193.000,89102.000,81185.000,78061.000,80310.000,81653.000,76777.000,73487.000,74892.000,73200.000,73931.000,70673.000,74603.000,71014.000,60702.000,56652.000,56733.000,55289.000,51526.000,55334.000,59363.000,53655.000,43333.000,23509.000,26036.000,24719.000,45294.000,40160.000,33859.000,33961.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.04,Empréstimos e Financiamentos,617910.000,606076.000,747376.000,629377.000,613405.000,570476.000,548599.000,449802.000,390183.000,571422.000,707794.000,587276.000,580945.000,629115.000,571502.000,720398.000,674321.000,711527.000,663357.000,743597.000,800608.000,775389.000,917734.000,754837.000,833996.000,768762.000,679331.000,666262.000,928057.000,698598.000,544961.000,560515.000,705055.000,629369.000,520990.000,428072.000,471940.000,589030.000,287769.000,320151.000,142878.000,123940.000,131832.000,102631.000,106019.000,71626.000,123833.000,134122.000,132711.000,80888.000,63740.000,135311.000,236286.000,160494.000,275634.000,325599.000,276311.000,261160.000,146326.000,89591.000
2.01.05,Outras Obrigações,355460.000,375473.000,312687.000,374645.000,221856.000,256436.000,188195.000,204379.000,280767.000,233350.000,163335.000,156814.000,223338.000,231478.000,137907.000,167705.000,174994.000,185769.000,121132.000,115085.000,190032.000,209051.000,191971.000,174117.000,174427.000,211333.000,186580.000,249319.000,269343.000,271591.000,285822.000,406109.000,360398.000,436858.000,447476.000,382247.000,585297.000,623667.000,726662.000,992812.000,1292179.000,1454989.000,1629541.000,1951414.000,1552003.000,2038504.000,1560020.000,1539185.000,1706510.000,1587614.000,1542706.000,1162243.000,1197528.000,1200712.000,648677.000,687511.000,599327.000,575616.000,566729.000,443356.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,22000.000,22000.000,10000.000,17500.000,25000.000,25000.000,15000.000,22500.000,22500.000,27008.000,8680.000,10850.000,78245.000,60464.000,60217.000,57265.000,64218.000,79171.000,90746.000,100659.000,181155.000,190917.000,202603.000,203244.000,192066.000,203454.000,192415.000,161758.000,154207.000,269912.000,145693.000,144326.000,129371.000,133906.000,113183.000,117359.000,106388.000,128327.000,107213.000,113581.000,105407.000,110285.000,122105.000,101942.000,105059.000,97193.000,46857.000,48558.000,47939.000,47758.000,38250.000,70593.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,742474.000,940023.000,768576.000,863301.000,896910.000,942680.000,1004214.000,1064893.000,1381122.000,1228525.000,1242944.000,1441350.000,1502986.000,1329269.000,1507019.000,1357126.000,1443155.000,1413419.000,1467524.000,1429817.000,1458580.000,1435994.000,1317095.000,1412321.000,1407581.000,1520833.000,1330100.000,1342857.000,1273782.000,1375744.000,1398187.000,1408181.000,1533501.000,1736019.000,1593572.000,1784072.000,1764669.000,1530994.000,1636831.000,1472481.000,1044691.000,1233289.000,1105303.000,1019731.000,1512829.000,1100952.000,1570424.000,1815637.000,1914322.000,2044715.000,2145601.000,2709558.000,2745140.000,2729947.000,2719179.000,2100249.000,2122729.000,2008902.000,2132623.000,2040437.000
2.02.01,Empréstimos e Financiamentos,558168.000,748956.000,598920.000,690775.000,788853.000,815112.000,895228.000,954210.000,1247291.000,1088019.000,1009245.000,1232247.000,1302622.000,1117480.000,1322899.000,1159195.000,1195951.000,1148754.000,1211115.000,1156720.000,1206547.000,1155037.000,1064938.000,1149322.000,1152974.000,1166672.000,969812.000,959942.000,750499.000,878946.000,845645.000,809406.000,861979.000,944913.000,774613.000,963186.000,933815.000,853375.000,836985.000,638080.000,310362.000,298058.000,288039.000,248738.000,207514.000,317932.000,326715.000,339321.000,645789.000,732043.000,881584.000,999770.000,1095086.000,1259140.000,1157897.000,960750.000,900510.000,851923.000,979403.000,1021173.000
2.02.02,Outras Obrigações,129956.000,133648.000,113873.000,114498.000,46707.000,65570.000,48089.000,47702.000,41861.000,42615.000,136314.000,109803.000,97637.000,98376.000,77372.000,82761.000,118314.000,128344.000,115342.000,122098.000,145199.000,151293.000,120875.000,129528.000,120727.000,210366.000,213499.000,229442.000,268739.000,245675.000,316065.000,384783.000,445580.000,565362.000,594907.000,610280.000,639142.000,594015.000,609287.000,659139.000,575679.000,777233.000,664055.000,627071.000,1158750.000,641034.000,1101045.000,1335177.000,1135447.000,1189112.000,1115887.000,1579690.000,1510516.000,1323140.000,1434574.000,1053270.000,1105420.000,1052878.000,1045006.000,943031.000
2.02.03,Tributos Diferidos,54350.000,57419.000,55783.000,58028.000,61350.000,61998.000,60897.000,62981.000,53964.000,51607.000,52772.000,49819.000,50038.000,47930.000,45169.000,44994.000,42940.000,42350.000,40858.000,42737.000,43933.000,44775.000,44737.000,42292.000,43497.000,43114.000,42549.000,42186.000,39272.000,37426.000,36972.000,30124.000,30129.000,32693.000,34057.000,29980.000,30815.000,54210.000,51962.000,47217.000,22248.000,20388.000,21337.000,21271.000,21865.000,22302.000,25604.000,25240.000,21113.000,24406.000,26986.000,30483.000,37808.000,40159.000,33829.000,23909.000,22707.000,22433.000,25227.000,27073.000
2.02.04,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38006.000,46284.000,44613.000,49481.000,52689.000,65483.000,61579.000,70176.000,85950.000,93971.000,100209.000,108262.000,62901.000,84889.000,86545.000,91179.000,90383.000,100681.000,104240.000,111287.000,215272.000,213697.000,199505.000,183868.000,195813.000,193051.000,189995.000,180626.000,160897.000,29394.000,138597.000,128045.000,136402.000,137610.000,131872.000,122651.000,124700.000,119684.000,117060.000,115899.000,111973.000,99154.000,121144.000,99615.000,101730.000,107508.000,92879.000,62320.000,94092.000,81668.000,82987.000,49160.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
