data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,3291023.0
2015-12-31,T4,1.01,Ativo Circulante,1779434.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,78840.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,314489.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,314489.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-12-31,T4,1.01.03,Contas a Receber,528683.0
2015-12-31,T4,1.01.03.01,Clientes,528683.0
2015-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.01.04,Estoques,814911.0
2015-12-31,T4,1.01.04.01,Imóveis a comercializar,814911.0
2015-12-31,T4,1.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.01.06,Tributos a Recuperar,2780.0
2015-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,2780.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.01.08,Outros Ativos Circulantes,39731.0
2015-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.08.03,Outros,39731.0
2015-12-31,T4,1.01.08.03.01,Impostos antecipados,0.0
2015-12-31,T4,1.01.08.03.02,Dividendos a receber de controladas em conjunto,32826.0
2015-12-31,T4,1.01.08.03.03,Certificado de Potencial Adicional de Construção - CEPAC,0.0
2015-12-31,T4,1.01.08.03.04,Outros créditos,6905.0
2015-12-31,T4,1.02,Ativo Não Circulante,1511589.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,1117350.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
