data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,1643335.0
2015-12-31,T4,1.01,Ativo Circulante,677454.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,40641.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,42178.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,42178.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,42178.0
2015-12-31,T4,1.01.03,Contas a Receber,153046.0
2015-12-31,T4,1.01.03.01,Clientes,153046.0
2015-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.01.04,Estoques,411603.0
2015-12-31,T4,1.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.01.06,Tributos a Recuperar,7905.0
2015-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,7905.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,645.0
2015-12-31,T4,1.01.08,Outros Ativos Circulantes,21436.0
2015-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.08.03,Outros,21436.0
2015-12-31,T4,1.01.08.03.01,Outros ativos,10818.0
2015-12-31,T4,1.01.08.03.02,Adiantamento a fornecedor de energia,10618.0
2015-12-31,T4,1.02,Ativo Não Circulante,965881.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,350334.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,37386.0
2015-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,37386.0
2015-12-31,T4,1.02.01.03,Contas a Receber,0.0
2015-12-31,T4,1.02.01.03.01,Clientes,0.0
2015-12-31,T4,1.02.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.02.01.04,Estoques,18082.0
2015-12-31,T4,1.02.01.05,Ativos Biológicos,188902.0
2015-12-31,T4,1.02.01.06,Tributos Diferidos,27752.0
2015-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,27752.0
2015-12-31,T4,1.02.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,0.0
2015-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2015-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2015-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,78212.0
2015-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.02.01.09.03,Impostos a Recuperar,8965.0
2015-12-31,T4,1.02.01.09.04,Depósitos Judiciais,3327.0
2015-12-31,T4,1.02.01.09.05,Depósitos para Reinvestimento,0.0
2015-12-31,T4,1.02.01.09.06,Adiantamento a fornecedor de energia,65711.0
2015-12-31,T4,1.02.01.09.07,Outros Créditos,209.0
2015-12-31,T4,1.02.02,Investimentos,124.0
2015-12-31,T4,1.02.02.01,Participações Societárias,124.0
2015-12-31,T4,1.02.02.01.01,Participações em Coligadas,0.0
2015-12-31,T4,1.02.02.01.04,Outras Participações Societárias,0.0
2015-12-31,T4,1.02.02.02,Propriedades para Investimento,0.0
2015-12-31,T4,1.02.03,Imobilizado,613052.0
2015-12-31,T4,1.02.03.01,Imobilizado em Operação,512508.0
2015-12-31,T4,1.02.03.02,Imobilizado Arrendado,0.0
2015-12-31,T4,1.02.03.03,Imobilizado em Andamento,100544.0
2015-12-31,T4,1.02.04,Intangível,2371.0
2015-12-31,T4,1.02.04.01,Intangíveis,2371.0
2015-12-31,T4,1.02.04.01.01,Contrato de Concessão,0.0
2015-12-31,T4,1.02.04.02,Goodwill,0.0
2016-12-31,T4,1,Ativo Total,1657620.0
2016-12-31,T4,1.01,Ativo Circulante,658305.0
2016-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,192400.0
2016-12-31,T4,1.01.02,Aplicações Financeiras,84260.0
2016-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,84260.0
2016-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2016-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2016-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2016-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2016-12-31,T4,1.01.03,Contas a Receber,136061.0
2016-12-31,T4,1.01.03.01,Clientes,136061.0
2016-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2016-12-31,T4,1.01.04,Estoques,185009.0
2016-12-31,T4,1.01.05,Ativos Biológicos,0.0
2016-12-31,T4,1.01.06,Tributos a Recuperar,17749.0
