cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,385763.0,348214.0,322943.0,290342.0,286407.0,282364.0,282761.0,230247.0,227779.0,225689.0,223346.0,221893.0,212647.0,210744.0,207158.0,187281.0,184121.0,183071.0,180937.0,173489.0,171162.0,139295.0,133136.0,121069.0,118956.0,116982.0,114844.0,116500.0,114719.0,113588.0,110811.0,109066.0,107496.0,104682.0,98508.0,93944.0,106253.0,104241.0,99686.0,105314.0,105853.0,105726.0,113853.0
1.01,Ativo Circulante,182053.0,145924.0,135031.0,177901.0,148694.0,145501.0,148192.0,120521.0,121258.0,116016.0,113354.0,89677.0,81261.0,89143.0,80549.0,82272.0,44785.0,51137.0,51744.0,71888.0,81635.0,30223.0,27182.0,26463.0,24431.0,22539.0,21731.0,20785.0,19571.0,16641.0,14227.0,17095.0,13665.0,10448.0,8313.0,6085.0,21021.0,17199.0,18561.0,20983.0,21645.0,20029.0,9018.0
1.01.01,Caixa e Equivalentes de Caixa,818.0,595.0,838.0,1136.0,739.0,617.0,304.0,449.0,137.0,415.0,264.0,253.0,114.0,326.0,162.0,614.0,132.0,143.0,976.0,280.0,130.0,137.0,111.0,95.0,134.0,873.0,1304.0,2113.0,1849.0,589.0,900.0,320.0,209.0,0.0,1169.0,578.0,604.0,113.0,84.0,217.0,7.0,11.0,28.0
1.01.02,Aplicações Financeiras,30869.0,14692.0,27188.0,18728.0,17018.0,20025.0,24025.0,16761.0,17752.0,20536.0,20741.0,23951.0,23694.0,23262.0,23596.0,27420.0,27023.0,25763.0,26047.0,60951.0,56684.0,24310.0,17766.0,17389.0,16875.0,15795.0,14278.0,12147.0,10734.0,12203.0,9394.0,7968.0,6379.0,3966.0,2814.0,2248.0,1408.0,0.0,0.0,613.0,0.0,0.0,7355.0
1.01.03,Contas a Receber,97289.0,80920.0,65506.0,76025.0,51330.0,49296.0,45211.0,35203.0,35210.0,28887.0,25661.0,15107.0,12020.0,15748.0,12152.0,9451.0,4065.0,11786.0,11186.0,2982.0,17238.0,2849.0,3409.0,5007.0,3429.0,3568.0,3838.0,3966.0,4013.0,1831.0,1875.0,1167.0,1628.0,1526.0,1697.0,1398.0,2928.0,1262.0,1267.0,1300.0,1151.0,62.0,655.0
1.01.04,Estoques,33709.0,31025.0,25672.0,59445.0,56748.0,52606.0,50787.0,48617.0,48067.0,45755.0,45097.0,42369.0,41795.0,41041.0,40131.0,38929.0,8267.0,8182.0,10409.0,5426.0,5351.0,691.0,3473.0,1655.0,1656.0,121.0,234.0,122.0,122.0,122.0,0.0,4966.0,4487.0,4150.0,1668.0,1100.0,15193.0,15085.0,16530.0,18159.0,19847.0,19028.0,110.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,19368.0,18692.0,15827.0,22567.0,22859.0,22957.0,27865.0,19491.0,20092.0,20423.0,21591.0,7997.0,3638.0,8766.0,4508.0,5858.0,5298.0,5263.0,3126.0,2249.0,2232.0,2236.0,2423.0,2317.0,2337.0,2182.0,2077.0,2437.0,2853.0,1896.0,2058.0,2674.0,962.0,806.0,965.0,761.0,888.0,739.0,680.0,694.0,640.0,928.0,870.0
