data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,101557.0
2010-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-76334.0
2010-03-31,T1,3.03,Resultado Bruto,25223.0
2010-03-31,T1,3.04,Despesas/Receitas Operacionais,-12202.0
2010-03-31,T1,3.04.01,Despesas com Vendas,-4161.0
2010-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-8162.0
2010-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2010-03-31,T1,3.04.04,Outras Receitas Operacionais,556.0
2010-03-31,T1,3.04.05,Outras Despesas Operacionais,-435.0
2010-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,13021.0
2010-03-31,T1,3.06,Resultado Financeiro,-3031.0
2010-03-31,T1,3.06.01,Receitas Financeiras,174.0
2010-03-31,T1,3.06.02,Despesas Financeiras,-3205.0
2010-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,9990.0
2010-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1255.0
2010-03-31,T1,3.08.01,Corrente,-2187.0
2010-03-31,T1,3.08.02,Diferido,932.0
2010-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,8735.0
2010-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,8735.0
2010-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,7160.0
2010-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,1575.0
2010-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2010-03-31,T1,3.99.01.01,ON,0.16
2010-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2010-03-31,T1,3.99.02.01,ON,0.16
2010-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,130660.0
2010-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-106251.0
2010-06-30,T2,3.03,Resultado Bruto,24409.0
2010-06-30,T2,3.04,Despesas/Receitas Operacionais,-9434.0
2010-06-30,T2,3.04.01,Despesas com Vendas,-3711.0
2010-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-7219.0
2010-06-30,T2,3.04.02.01,Despesas de pessoal,-2096.0
