cd_conta,ds_conta,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,101557.000,130660.000,69250.000,132603.000,39652.000,30831.000,55050.000,70083.000,32544.000,68458.000,30015.000,26382.000,22633.000,45133.000,34573.000,7041.000,2571.000,3235.000,9714.000,4193.000,6051.000,6735.000,8268.000,8392.000,4766.000,6468.000,2236.000,3624.000,1048.000,3422.000,1522.000,5496.000,962.000,1468.000,795.000,2056.000,28006.000,83.000,378.000,5296.000,347.000,297.000,735.000,647.000,434.000,147.000,846.000,3477.000,145.000,1572.000,1662.000,702.000,112.000,123.000,1827.000,521.000,363.000,212.000,390.000,1542.000,46.000,54.000,-345.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-76334.000,-106251.000,-56116.000,-85527.000,-33117.000,-31730.000,-29311.000,-25984.000,-26610.000,-54990.000,-21884.000,-21030.000,-16262.000,-29119.000,-26818.000,-6191.000,-89.000,-839.000,-6688.000,-2868.000,-3909.000,-3183.000,-6881.000,-6144.000,-3327.000,-4412.000,-1988.000,-2555.000,-1095.000,-2841.000,-1205.000,-3108.000,-1035.000,-1211.000,-1535.000,-1379.000,-31045.000,-582.000,-394.000,-448.000,-186.000,-134.000,-502.000,-1746.000,-82.000,0.000,-859.000,-3083.000,-144.000,0.000,-1854.000,-1542.000,0.000,0.000,-1463.000,-476.000,0.000,0.000,0.000,-880.000,-33.000,0.000,-29.000
3.03,Resultado Bruto,25223.000,24409.000,13134.000,47076.000,6535.000,-899.000,25739.000,44099.000,5934.000,13468.000,8131.000,5352.000,6371.000,16014.000,7755.000,850.000,2482.000,2396.000,3026.000,1325.000,2142.000,3552.000,1387.000,2248.000,1439.000,2056.000,248.000,1069.000,-47.000,581.000,317.000,2388.000,-73.000,257.000,-740.000,677.000,-3039.000,-499.000,-16.000,4848.000,161.000,163.000,233.000,-1099.000,352.000,147.000,-13.000,394.000,1.000,1572.000,-192.000,-840.000,112.000,123.000,364.000,45.000,363.000,212.000,390.000,662.000,13.000,54.000,-374.000
3.04,Despesas/Receitas Operacionais,-12202.000,-9434.000,-10062.000,-14649.000,-9880.000,-14003.000,-8443.000,-17113.000,-12766.000,-11276.000,-11151.000,-9526.000,-7968.000,-10420.000,-7204.000,-10052.000,-7285.000,-14172.000,-5716.000,-6247.000,-5235.000,-7162.000,-23249.000,-4362.000,-5105.000,-4130.000,-1095.000,-28992.000,-3532.000,-2759.000,-3422.000,-1600.000,-10074.000,-2436.000,-2182.000,-3888.000,-2407.000,-1016.000,-2314.000,-1730.000,-936.000,-902.000,-1604.000,-10624.000,-2360.000,-1311.000,-2014.000,-2803.000,-2592.000,-2419.000,-2681.000,-2029.000,-2279.000,-3187.000,-2658.000,-5978.000,-1722.000,-1694.000,-1314.000,2749.000,-1251.000,-1467.000,-2047.000
3.04.02,Despesas Gerais e Administrativas,-8162.000,-7219.000,-6491.000,-7134.000,-7337.000,-8995.000,-9888.000,-10080.000,-10561.000,-8810.000,-8930.000,-8498.000,-7120.000,-8753.000,-6688.000,-9620.000,-5938.000,-5869.000,-6276.000,-5073.000,-4862.000,-4329.000,-7521.000,-4263.000,-3504.000,-3218.000,-3395.000,-3126.000,-3042.000,-2996.000,-2897.000,-2579.000,-2130.000,-2742.000,-3021.000,-2420.000,-2128.000,-2184.000,-2452.000,-1902.000,-2037.000,-1799.000,-2131.000,-2508.000,-2192.000,-2192.000,-2048.000,-2397.000,-2396.000,-3182.000,-3121.000,-741.000,-2045.000,-2023.000,-1793.000,-1543.000,-1737.000,-1399.000,-1395.000,-3024.000,-771.000,-647.000,-1213.000
3.04.05,Outras Despesas Operacionais,-435.000,-922.000,-604.000,-3160.000,-705.000,-3757.000,556.000,-3232.000,-447.000,-531.000,-479.000,319.000,-404.000,69.000,-393.000,2264.000,-922.000,-7329.000,1242.000,670.000,-408.000,-1865.000,-1453.000,1281.000,-139.000,-359.000,-124.000,-23730.000,-425.000,-297.000,-154.000,1221.000,-7825.000,259.000,-125.000,-1943.000,843.000,878.000,-77.000,-1068.000,-95.000,1466.000,-26.000,4086.000,-148.000,-123.000,-107.000,432.000,-74.000,92.000,-48.000,-523.000,-41.000,-137.000,39.000,-3067.000,-105.000,-295.000,-124.000,2988.000,-224.000,-608.000,-319.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.000,1.000,3.000,0.000,-11.000,8.000,-3.000,0.000,-13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-173.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,13021.000,14975.000,3072.000,32427.000,-3345.000,-14902.000,17296.000,26986.000,-6832.000,2192.000,-3020.000,-4174.000,-1597.000,5594.000,551.000,-9202.000,-4803.000,-11776.000,-2690.000,-4922.000,-3093.000,-3610.000,-21862.000,-2114.000,-3666.000,-2074.000,-847.000,-27923.000,-3579.000,-2178.000,-3105.000,788.000,-10147.000,-2179.000,-2922.000,-3211.000,-5446.000,-1515.000,-2330.000,3118.000,-775.000,-739.000,-1371.000,-11723.000,-2008.000,-1164.000,-2027.000,-2409.000,-2591.000,-847.000,-2873.000,-2869.000,-2167.000,-3064.000,-2294.000,-5933.000,-1359.000,-1482.000,-924.000,3411.000,-1238.000,-1413.000,-2421.000
3.06,Resultado Financeiro,-3031.000,-3625.000,-1881.000,-677.000,-3194.000,-2180.000,-2142.000,-5207.000,-5170.000,-4418.000,-2951.000,-2167.000,-2837.000,-1820.000,-749.000,-2782.000,-1975.000,-1107.000,-1216.000,-161.000,287.000,1624.000,753.000,1148.000,1047.000,1100.000,1855.000,1305.000,1247.000,1231.000,1171.000,706.000,705.000,752.000,248.000,-4844.000,385.000,420.000,751.000,-3952.000,588.000,45.000,413.000,114.000,106.000,140.000,210.000,251.000,275.000,1014.000,488.000,98.000,268.000,153.000,91.000,135.000,-118.000,-279.000,169.000,149.000,-76.000,-488.000,-1079.000
3.06.01,Receitas Financeiras,174.000,1222.000,3540.000,5610.000,2036.000,3337.000,4475.000,1720.000,2357.000,1805.000,1963.000,1909.000,724.000,1804.000,2399.000,1349.000,1717.000,2055.000,1812.000,1909.000,2120.000,1970.000,1357.000,1596.000,1132.000,1202.000,1954.000,1441.000,1324.000,1324.000,1299.000,897.000,798.000,912.000,408.000,2517.000,426.000,426.000,804.000,428.000,588.000,255.000,425.000,116.000,106.000,148.000,211.000,251.000,288.000,1017.000,499.000,105.000,279.000,167.000,108.000,509.000,16.000,205.000,563.000,63.000,209.000,4.000,241.000
