codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-28.7662,-23.4388,1043.6533,9.189,7.0957,4.3457,5.7571,5.1324,2.2628,37.1473,15.9608,10.3457
P_VPA,P/VPA,Valuation,x,4.2232,5.4814,5.9467,0.2367,0.4461,0.6257,0.4003,0.4171,0.3631,0.2989,14.8011,9.5941
EV_EBITDA,EV/EBITDA,Valuation,x,-34.372,-31.7452,-142.6794,-0.6293,-1.4755,-3.3961,-3.4863,-3.3188,-1.9498,-98.554,-657.9548,-430.1762
EV_EBIT,EV/EBIT,Valuation,x,-34.372,-31.7452,-142.6794,-0.6293,-1.4755,-3.3961,-3.4863,-3.3188,-1.9498,-98.554,-657.9548,-430.1762
EV_RECEITA,EV/Receita,Valuation,x,35.8113,64.0884,100.278,2.1997,0.2698,24.4865,5.4086,7.4654,10.1587,13.9163,550.0065,359.5987
DY,Dividend Yield,Valuation,%,4.5147,,,,,1043.3213,,,,,,
PAYOUT,Payout,Valuation,%,144.5328,,,,,4533.987,,,,,,
ROE,ROE,Rentabilidade,%,13.1917,22.3943,2.3583,12.0388,6.0961,11.6564,6.7257,7.8103,14.8529,0.8013,4.5317,4.5317
ROA,ROA,Rentabilidade,%,11.544,19.6623,2.0905,10.749,5.4955,10.4828,5.8796,6.6952,12.6545,0.6414,3.1554,3.1554
ROIC,ROIC,Rentabilidade,%,-8.5956,-12.2591,-3.0699,-8.7325,-4.2243,-10.7436,-5.7868,-7.1604,-11.5005,-0.258,-1.2169,-1.2169
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-104.1873,-201.8837,-70.282,-349.5361,-18.2833,-721.0267,-155.1387,-224.9449,-521.0221,-14.1205,-83.5934,-83.5934
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,113.8253,299.4033,41.1386,416.4173,29.3605,762.0434,142.4144,185.0282,497.29,25.4886,169.5521,169.5521
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.6035,0.4987,2.9978,1.5187,9.9192,1.1969,1.7986,0.9028,0.21,-31.5,-10.4919,-10.4919
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0729,-0.0848,-0.1224,-0.1673,-0.3883,-0.1631,-0.1362,-0.0892,-0.0353,0.1404,0.2398,0.2398
ICJ,ICJ,Endividamento,x,-9.4952,-81.7773,-16.5112,-2.3745,-1.3779,-65.2143,-845.3333,-270.0,-32.351,-0.3224,-0.7609,-0.7609
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,100.0,,,,,,0.0,,,38.9533,43.6397,43.6397
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,6.5101,9.044,8.2659,11.0864,9.4267,2.8855,2.105,1.6899,2.181,2.0525,0.5003,0.5003
LIQ_SECA,Liquidez Seca,Liquidez,x,4.3348,5.3958,4.3606,5.8406,8.7152,2.705,2.0927,1.199,1.7867,0.2762,0.4942,0.4942
LIQ_GERAL,Liquidez Geral,Liquidez,x,7.8611,8.3046,9.0691,9.336,10.7811,8.6261,7.2484,6.6869,6.7047,4.0323,2.7411,2.7411
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.1014,0.0742,0.0518,0.0282,0.1946,0.0167,0.0421,0.0374,0.0275,0.0238,0.0175,0.0175
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,1899.4079,2011.4883,2141.4364,3026.3341,60.7009,893.7594,202.4839,450.6402,156.411,5775.2682,-2021.0739,-2021.0739
PME,PME,Eficiência,dias,1063.7868,1425.022,1849.0532,2715.9767,60.1608,232.0093,10.9145,505.0169,204.229,7428.6818,42.0382,42.0382
NCG_RECEITA,NCG/Receita,Eficiência,%,448.482,526.4128,475.4875,886.5177,8.9773,-9.4768,-68.2912,-32.0755,18.1572,582.2497,-280.0201,-280.0201
