data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,1894960.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-1392074.0
2015-12-31,T4,3.03,Resultado Bruto,502886.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-267247.0
2015-12-31,T4,3.04.01,Despesas com Vendas,0.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-222211.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2015-12-31,T4,3.04.04.01,Reversão de (provisão para) riscos,0.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-45153.0
2015-12-31,T4,3.04.05.01,Reversão de (provisão para) riscos,-7467.0
2015-12-31,T4,3.04.05.02,Outras Despesas Operacionais,-37686.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,117.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,235639.0
2015-12-31,T4,3.06,Resultado Financeiro,-63159.0
2015-12-31,T4,3.06.01,Receitas Financeiras,84683.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-147842.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,172480.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-65137.0
2015-12-31,T4,3.08.01,Corrente,-15855.0
2015-12-31,T4,3.08.02,Diferido,-49282.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,107343.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,107343.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,107343.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,0.69
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,0.68
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,2096113.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-1495062.0
2016-12-31,T4,3.03,Resultado Bruto,601051.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-262196.0
2016-12-31,T4,3.04.01,Despesas com Vendas,0.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-243317.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2016-12-31,T4,3.04.04.01,Reversão de (provisão para) riscos,0.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,-19998.0
2016-12-31,T4,3.04.05.01,Reversão de (provisão para) riscos,-6159.0
2016-12-31,T4,3.04.05.02,Outras Despesas Operacionais,-13839.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,1119.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,338855.0
2016-12-31,T4,3.06,Resultado Financeiro,-44479.0
2016-12-31,T4,3.06.01,Receitas Financeiras,108368.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-152847.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,294376.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-65627.0
2016-12-31,T4,3.08.01,Corrente,-16346.0
2016-12-31,T4,3.08.02,Diferido,-49281.0
2016-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,228749.0
2016-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
